energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.524267708479462,2.524267708479462,2.4779495507663407,0.0,0.0,0.0,2.5088283225750883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.745699999999999
0.015,2.5242701274797046,2.5242701274797046,2.4779517113253124,0.0,0.0,0.0,2.5088306554282407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0301,2.524277449167742,2.524277449167742,2.4779582507724625,0.0,0.0,0.0,2.5088377163693156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0451,2.524289576785195,2.524289576785195,2.4779690826690985,0.0,0.0,0.0,2.5088494120798295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0602,2.524306672399777,2.524306672399777,2.477984351737481,0.0,0.0,0.0,2.5088658988456785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0752,2.5243285100877153,2.5243285100877153,2.4780038561504902,0.0,0.0,0.0,2.508886958775307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0903,2.5243553816775877,2.5243553816775877,2.4780278565017433,0.0,0.0,0.0,2.5089128732856394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1053,2.524386932053289,2.524386932053289,2.4780560355538404,0.0,0.0,0.0,2.508943299886806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1204,2.5244235828394004,2.5244235828394004,2.478088769800282,0.0,0.0,0.0,2.508978645159694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1354,2.524464849685163,2.524464849685163,2.4781256265589677,0.0,0.0,0.0,2.509018441976431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1505,2.5245112840619814,2.5245112840619814,2.478167098264501,0.0,0.0,0.0,2.509063222129488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1655,2.524562272326623,2.524562272326623,2.478212636743214,0.0,0.0,0.0,2.50911239379882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1806,2.524618495863817,2.524618495863817,2.4782628504246276,0.0,0.0,0.0,2.509166614050754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1956,2.5246792116646546,2.5246792116646546,2.4783170755841084,0.0,0.0,0.0,2.5092251663044727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2107,2.524745231109327,2.524745231109327,2.4783760367127186,0.0,0.0,0.0,2.509288832977124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2257,2.5248156817345473,2.5248156817345473,2.4784389544628693,0.0,0.0,0.0,2.509356772643988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2408,2.5248915050138976,2.5248915050138976,2.4785066694664906,0.0,0.0,0.0,2.509429893164762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2558,2.524971698925471,2.524971698925471,2.4785782866684594,0.0,0.0,0.0,2.509507228173134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2709,2.5250573351499055,2.5250573351499055,2.4786547629336964,0.0,0.0,0.0,2.5095898110778356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2859,2.525147281986944,2.525147281986944,2.4787350874023932,0.0,0.0,0.0,2.5096765504587606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.301,2.5252427414537255,2.5252427414537255,2.4788203332773477,0.0,0.0,0.0,2.509768605394933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.316,2.5253424520362686,2.5253424520362686,2.4789093737842425,0.0,0.0,0.0,2.5098647592855934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3311,2.5254477462336107,2.5254477462336107,2.4790033985814963,0.0,0.0,0.0,2.509966297016239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3461,2.5255572325669613,2.5255572325669613,2.4791011648578034,0.0,0.0,0.0,2.510071876663909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3612,2.5256723741785114,2.5256723741785114,2.4792039788578695,0.0,0.0,0.0,2.5101829090716308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3762,2.5257916494579717,2.5257916494579717,2.4793104815980795,0.0,0.0,0.0,2.5102979268380077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3913,2.525916652367961,2.525916652367961,2.479422096053022,0.0,0.0,0.0,2.510418466929648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4063,2.5260457309841318,2.5260457309841318,2.4795373469187965,0.0,0.0,0.0,2.510542936295687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4214,2.52618061028282,2.52618061028282,2.479657774056397,0.0,0.0,0.0,2.5106729982073457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4364,2.5263195078272958,2.5263195078272958,2.4797817856807924,0.0,0.0,0.0,2.5108069337784613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4515,2.5264642798170875,2.5264642798170875,2.479911038708985,0.0,0.0,0.0,2.510946532781053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4665,2.526613013088717,2.526613013088717,2.480043824701071,0.0,0.0,0.0,2.511089950292835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4816,2.5267676952906095,2.5267676952906095,2.480181917812759,0.0,0.0,0.0,2.5112391027979926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4966,2.526926282302225,2.526926282302225,2.480323492762569,0.0,0.0,0.0,2.5113920191223396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5117,2.5270908934628578,2.5270908934628578,2.480470441140806,0.0,0.0,0.0,2.5115507426888404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5267,2.5272593534485024,2.5272593534485024,2.4806208206247,0.0,0.0,0.0,2.511713175840568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5418,2.5274339135477275,2.5274339135477275,2.480776640448282,0.0,0.0,0.0,2.5118814891812455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5568,2.527612266970392,2.527612266970392,2.480935841034645,0.0,0.0,0.0,2.512053458325143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5719,2.527796797229268,2.527796797229268,2.4811005494839993,0.0,0.0,0.0,2.5122313813141783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
