energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.038102316711375,3.038102316711375,2.9356000690394524,0.0,0.0,0.0,3.0039349008207346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0142
0.0149,3.0381061366963493,3.0381061366963493,2.9356033519284157,0.0,0.0,0.0,3.003938541773705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0298,3.0381175967705696,3.0381175967705696,2.9356132006914883,0.0,0.0,0.0,3.0039494647442093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0447,3.038136697292051,3.038136697292051,2.935629615617162,0.0,0.0,0.0,3.003967670067088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0597,3.038163644145976,3.038163644145976,2.935652773610048,0.0,0.0,0.0,3.0039933539673336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0746,3.0381980788818894,3.0381980788818894,2.935682366574622,0.0,0.0,0.0,3.004026174779467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0895,3.038240156579431,3.038240156579431,2.9357185277281737,0.0,0.0,0.0,3.004066280295678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1044,3.038289878553404,3.038289878553404,2.9357612581302996,0.0,0.0,0.0,3.004113671745703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1193,3.038347246357626,3.038347246357626,2.935810559033221,0.0,0.0,0.0,3.0041683505828245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1342,3.0384122617851093,3.0384122617851093,2.9358664318819487,0.0,0.0,0.0,3.004230318484056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1491,3.038484926868253,3.038484926868253,2.93592887831437,0.0,0.0,0.0,3.004299577350292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.164,3.0385652438789372,3.0385652438789372,2.9359979001613827,0.0,0.0,0.0,3.004376129306419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.179,3.038653831605767,3.038653831605767,2.9360740290498484,0.0,0.0,0.0,3.0044605640871276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1939,3.0387495116468823,3.0387495116468823,2.936156252158487,0.0,0.0,0.0,3.0045517584840837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2088,3.038852851891599,3.038852851891599,2.9362450573512664,0.0,0.0,0.0,3.0046502537114876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2237,3.038963855573863,3.038963855573863,2.936340447234355,0.0,0.0,0.0,3.004756052794027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2386,3.039082526168485,3.039082526168485,2.9364424246079786,0.0,0.0,0.0,3.00486915898165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2535,3.0392088673913595,3.0392088673913595,2.936550992466657,0.0,0.0,0.0,3.0049895757497915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
