energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4163279513418354,2.4163279513418354,2.483237176642341,0.0,0.0,0.0,2.4386310264420037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4745
0.0148,2.4163301396671937,2.4163301396671937,2.4832397194285956,0.0,0.0,0.0,2.4386333329209946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0296,2.4163367047003703,2.4163367047003703,2.483247347862949,0.0,0.0,0.0,2.43864025242123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0443,2.416347557993402,2.416347557993402,2.4832599591980014,0.0,0.0,0.0,2.4386516917282686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0591,2.4163628474936436,2.4163628474936436,2.4832777253919396,0.0,0.0,0.0,2.4386678067930756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0739,2.4163825145551012,2.4163825145551012,2.483300578363922,0.0,0.0,0.0,2.438688535824708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0887,2.4164065596910245,2.4164065596910245,2.4833285187934573,0.0,0.0,0.0,2.4387138793918353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1035,2.4164349835289047,2.4164349835289047,2.4833615475114215,0.0,0.0,0.0,2.4387438381897435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1182,2.4164675504695063,2.4164675504695063,2.4833993908663854,0.0,0.0,0.0,2.4387781639351327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.133,2.4165047044515324,2.4165047044515324,2.4834425648608462,0.0,0.0,0.0,2.4388173245879705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1478,2.416546239697432,2.416546239697432,2.4834908305360837,0.0,0.0,0.0,2.438861103310316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1626,2.4165921572917313,2.4165921572917313,2.4835441893282217,0.0,0.0,0.0,2.4389095013038946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1773,2.4166421038489028,2.4166421038489028,2.4836022307698427,0.0,0.0,0.0,2.4389621461558826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1921,2.4166967602200593,2.4166967602200593,2.4836657462701135,0.0,0.0,0.0,2.439019755570077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2069,2.4167558028712923,2.4167558028712923,2.483734360094089,0.0,0.0,0.0,2.4390819886122244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2217,2.416819233345489,2.416819233345489,2.483808074285193,0.0,0.0,0.0,2.439148846992057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
