energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8081023882683414,3.8483571737641284,3.6979634880163132,0.0,0.0,-0.0669500675991209,3.7848076833495945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2457
0.0224,3.8081200867788296,3.8483745764121244,3.6979798478052754,0.0,0.0,-0.06695120050514035,3.784824836998743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.4497564682512,0.0,
0.0448,3.808173184302816,3.8484267862286874,3.6980289289790242,0.0,0.0,-0.06695459939746891,3.7848762998368426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174.9293354507372,0.0,
0.0672,3.8082616868185717,3.848513808832204,3.6981107369590087,0.0,0.0,-0.06696026479897729,3.7849620775365946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762.468564584345,0.0,
0.0897,3.8083862369186656,3.8486362756317125,3.698225865554165,0.0,0.0,-0.06696823808093275,3.7850827927015147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2352.7208695978193,0.0,
0.1121,3.8085457415089756,3.84879311120713,3.6983733041113354,0.0,0.0,-0.06697844959576976,3.785237385609147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2940.4695277976607,0.0,
0.1345,3.8087406930557486,3.8489847990067645,3.698553507530473,0.0,0.0,-0.06699093129016687,3.785426333197662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.3675344787,0.0,
0.1569,3.8089711135310678,3.8492113596785256,3.6987664957368973,0.0,0.0,-0.06700568508592515,3.785649656315497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4116.444789184725,0.0,
0.1793,3.8092370289159376,3.8494728176367987,3.699012292291305,0.0,0.0,-0.06702271325552653,3.7859073796146805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4704.731222282179,0.0,
0.2017,3.8095384692088454,3.849769201070278,3.6992909243975447,0.0,0.0,-0.06704201842290435,3.786199531558889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5293.256800121014,0.0,
0.2241,3.8098754684357563,3.8501005419507583,3.699602422911676,0.0,0.0,-0.06706360356434418,3.7865261444327305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5882.05153020868,0.0,
0.2465,3.8102480646615158,3.8504668760433542,3.69994682235205,0.0,0.0,-0.06708747200948964,3.786887254352307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6471.1454663981995,0.0,
0.269,3.810658202455896,3.850870113344984,3.7003259193723954,0.0,0.0,-0.06711374934140263,3.7872847450577587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7063.2008513923765,0.0,
0.2914,3.8111022825124494,3.8513067130811676,3.7007363862642735,0.0,0.0,-0.06714220603954049,3.7877151272859635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7652.985245281561,0.0,
0.3138,3.81158209836201,3.8517784364232637,3.7011798799439877,0.0,0.0,-0.0671729581828929,3.7881801382430873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8243.159472124966,0.0,
0.3362,3.812097704383165,3.8522853344522834,3.7016564497226363,0.0,0.0,-0.06720601052873758,3.7886798295193618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8833.753823712423,0.0,
0.3586,3.8126491590705034,3.8528274621115286,3.7021661486433013,0.0,0.0,-0.06724136819462748,3.7892142566084446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9424.798664429907,0.0,
0.381,3.813236525054154,3.8534048782240693,3.7027090334987625,0.0,0.0,-0.06727903666014223,3.789783478925662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016.324436575016,0.0,
0.4034,3.8138598691208028,3.8540176455116697,3.703285164850405,0.0,0.0,-0.06731902176877003,3.7903875598276255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10608.36166570057,0.0,
0.4259,3.8145222868922932,3.8546688038130146,3.7038974025598197,0.0,0.0,-0.06736152382254126,3.7910294977550425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11203.587670641526,0.0,
0.4483,3.815217965668661,3.8553526359064447,3.7045403729372066,0.0,0.0,-0.06740617162819487,3.791703658170771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11796.742376353906,0.0,
0.4707,3.8159498484232253,3.8560720312806183,3.705216794646041,0.0,0.0,-0.0674531558434345,3.7924128914499615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12390.500806894806,0.0,
0.4931,3.816718018827077,3.856827068483234,3.705926743555355,0.0,0.0,-0.06750248379040855,3.7931572769552218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12984.893875378359,0.0,
0.5155,3.817522564834989,3.857617830074172,3.7066702994175165,0.0,0.0,-0.06755416316651686,3.7939368981088926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13579.952605402123,0.0,
0.5379,3.818363578715253,3.858444402652138,3.7074475458951475,0.0,0.0,-0.06760820204707275,3.794751842420846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14175.708136599078,0.0,
