energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.941675864144465,2.941675864144465,2.943472308927901,0.0,0.0,0.0,2.942274679072277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2694
0.0153,2.9416800102873863,2.9416800102873863,2.943476493191697,0.0,0.0,0.0,2.9422788379221565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0306,2.941692448904731,2.941692448904731,2.9434890461759786,0.0,0.0,0.0,2.9422913146618135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0459,2.9417131805621377,2.9417131805621377,2.9435099684593906,0.0,0.0,0.0,2.942312109861222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0612,2.9417422062025214,2.9417422062025214,2.943539261006476,0.0,0.0,0.0,2.9423412244705065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0765,2.9417795271461262,2.9417795271461262,2.943576925167806,0.0,0.0,0.0,2.9423786598200192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0918,2.941825145090811,2.941825145090811,2.9436229626802155,0.0,0.0,0.0,2.9424244176206127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1071,2.9418790621122923,2.9418790621122923,2.9436773756671224,0.0,0.0,0.0,2.942478499963902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1224,2.941941280664488,2.941941280664488,2.9437401666387917,0.0,0.0,0.0,2.9425409093225894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1378,2.9420122918366935,2.9420122918366935,2.943811831242896,0.0,0.0,0.0,2.942612138305428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1531,2.94209117663625,2.94209117663625,2.9438914420749036,0.0,0.0,0.0,2.9426912651158013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1684,2.942178372626591,2.942178372626591,2.9439794407737745,0.0,0.0,0.0,2.942778728675652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1837,2.9422738837815956,2.9422738837815956,2.9440758314047573,0.0,0.0,0.0,2.942874532989316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.199,2.9423777144559864,2.9423777144559864,2.9441806184227755,0.0,0.0,0.0,2.9429786824449162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2143,2.942489869386062,2.942489869386062,2.944293806673115,0.0,0.0,0.0,2.94309118181508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2296,2.9426103536904558,2.9426103536904558,2.944415401392245,0.0,0.0,0.0,2.943212036257719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2449,2.9427391728710037,2.9427391728710037,2.9445454082086995,0.0,0.0,0.0,2.943341251316902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2602,2.942876332813607,2.942876332813607,2.9446838331440373,0.0,0.0,0.0,2.9434788329237502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2755,2.943021839789268,2.943021839789268,2.944830682613798,0.0,0.0,0.0,2.9436247873974444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2908,2.9431757004550687,2.9431757004550687,2.944985963428617,0.0,0.0,0.0,2.9437791214462514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3061,2.9433379218553166,2.9433379218553166,2.9451496827953467,0.0,0.0,0.0,2.9439418421686603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3214,2.943508511422654,2.943508511422654,2.9453218483182813,0.0,0.0,0.0,2.94411295705453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3367,2.9436874769793606,2.9436874769793606,2.9455024680004427,0.0,0.0,0.0,2.9442924739863883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.352,2.9438748267386172,2.9438748267386172,2.945691550244863,0.0,0.0,0.0,2.9444804012406993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3673,2.94407056930587,2.94407056930587,2.945889103856092,0.0,0.0,0.0,2.9446767474892774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3827,2.9442760756140087,2.9442760756140087,2.9460965125866507,0.0,0.0,0.0,2.9448828879382227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.398,2.9444886861968476,2.9444886861968476,2.9463110924824045,0.0,0.0,0.0,2.9450961549587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4133,2.944709717837633,2.944709717837633,2.946534172649434,0.0,0.0,0.0,2.945317869441567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4286,2.9449391807285314,2.9449391807285314,2.946765763516413,0.0,0.0,0.0,2.945548041657825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4439,2.9451770854618253,2.9451770854618253,2.947005875921622,0.0,0.0,0.0,2.9457866822817578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4592,2.945423443031755,2.945423443031755,2.9472545211148273,0.0,0.0,0.0,2.9460338023927792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4745,2.9456782648363338,2.9456782648363338,2.947511710759182,0.0,0.0,0.0,2.9462894134772832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4898,2.945941562679225,2.945941562679225,2.947777456933208,0.0,0.0,0.0,2.9465535274305523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5051,2.9462133487718316,2.9462133487718316,2.9480517721329105,0.0,0.0,0.0,2.946826156558858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5204,2.9464936357352958,2.9464936357352958,2.9483346692738635,0.0,0.0,0.0,2.947107313581485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5357,2.9467824366026676,2.9467824366026676,2.948626161693465,0.0,0.0,0.0,2.9473970116329333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.551,2.947079764821118,2.947079764821118,2.9489262631532447,0.0,0.0,0.0,2.9476952642651604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5663,2.947385634254265,2.947385634254265,2.9492349878412236,0.0,0.0,0.0,2.948002085449918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5816,2.9477000591844895,2.9477000591844895,2.9495523503743777,0.0,0.0,0.0,2.9483174895811186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5969,2.9480230543154304,2.9480230543154304,2.949878365801184,0.0,0.0,0.0,2.9486414914773484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6122,2.9483546347745024,2.9483546347745024,2.9502130496042254,0.0,0.0,0.0,2.94897410638441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6275,2.948694816115487,2.948694816115487,2.950556417702919,0.0,0.0,0.0,2.949315349977964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6429,2.949045922427695,2.949045922427695,2.95091081621533,0.0,0.0,0.0,2.94966755369024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6582,2.9494034103945403,2.9494034103945403,2.9512716594579675,0.0,0.0,0.0,2.95002616008235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6735,2.949769548601826,2.949769548601826,2.951641237517925,0.0,0.0,0.0,2.950393444907192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6888,2.950144354339426,2.950144354339426,2.952019568093572,0.0,0.0,0.0,2.950769425590808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7041,2.950527845337956,2.950527845337956,2.9524066693349402,0.0,0.0,0.0,2.951154120003617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7194,2.9509200397717663,2.9509200397717663,2.952802559846907,0.0,0.0,0.0,2.95154754646348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7347,2.9513209562622302,2.9513209562622302,2.9532072586925566,0.0,0.0,0.0,2.9519497237390055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.75,2.951730613880965,2.951730613880965,2.953620785396569,0.0,0.0,0.0,2.9523606710528334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7653,2.9521490321532786,2.9521490321532786,2.954043159948707,0.0,0.0,0.0,2.952780408085088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7806,2.9525762310616033,2.9525762310616033,2.954474402807442,0.0,0.0,0.0,2.953208954976883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
