energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.419213548957285,4.419213548957285,5.107390769944392,0.0,0.0,0.0,4.648605955952988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3150999999999993
0.0227,4.419242857976678,4.419242857976678,5.107443492964745,0.0,0.0,0.0,4.648643069639367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0454,4.419330791782031,4.419330791782031,5.107601676478324,0.0,0.0,0.0,4.648754420014129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0681,4.4194773706219,4.4194773706219,5.10786536385494,0.0,0.0,0.0,4.648940035032914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0908,4.419682628267829,4.419682628267829,5.108234627417995,0.0,0.0,0.0,4.649199961317884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1135,4.419946612050205,4.419946612050205,5.10870956850515,0.0,0.0,0.0,4.649534264201853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1362,4.420269382908596,4.420269382908596,5.109290317553424,0.0,0.0,0.0,4.649943027790205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1589,4.420651015456899,4.420651015456899,5.109977034208877,0.0,0.0,0.0,4.650426355040892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1816,4.42109159806313,4.42109159806313,5.110769907461028,0.0,0.0,0.0,4.65098436786243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2043,4.421591232944525,4.421591232944525,5.11166915580209,0.0,0.0,0.0,4.65161720723038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.227,4.4221500362777615,4.4221500362777615,5.112675027412077,0.0,0.0,0.0,4.652325033322533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2497,4.4227681383250586,4.4227681383250586,5.113787800368645,0.0,0.0,0.0,4.653108025672921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2724,4.423445683576277,4.423445683576277,5.115007782883654,0.0,0.0,0.0,4.653966383345403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2951,4.424182830907598,4.424182830907598,5.116335313565892,0.0,0.0,0.0,4.65490032512703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3178,4.42497975375702,4.42497975375702,5.117770761710364,0.0,0.0,0.0,4.655910089741468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3405,4.425836640317648,4.425836640317648,5.119314527615641,0.0,0.0,0.0,4.6569959360836455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3632,4.426753693748955,4.426753693748955,5.120967042928507,0.0,0.0,0.0,4.658158143475473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3859,4.42773113240697,4.42773113240697,5.1227287710177425,0.0,0.0,0.0,4.659397011943894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4086,4.42876919009393,4.42876919009393,5.12460020737681,0.0,0.0,0.0,4.660712862521557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4313,4.429868116328406,4.429868116328406,5.126581880057017,0.0,0.0,0.0,4.662106037571276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.454,4.431028176636602,4.431028176636602,5.128674350131065,0.0,0.0,0.0,4.663576901134756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4767,4.43224965286609,4.43224965286609,5.130878212188655,0.0,0.0,0.0,4.665125839306945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4994,4.433532843522588,4.433532843522588,5.133194094864844,0.0,0.0,0.0,4.666753260636674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
