energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.382001570288561,3.382001570288561,3.382001570288561,0.0,0.0,0.0,3.3820015702885606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.879
0.0181,3.382008514205158,3.382008514205158,3.382008514205158,0.0,0.0,0.0,3.382008514205158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0362,3.382029346308415,3.382029346308415,3.382029346308415,0.0,0.0,0.0,3.3820293463084155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0543,3.38206406765887,3.38206406765887,3.38206406765887,0.0,0.0,0.0,3.38206406765887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0724,3.382112680024148,3.382112680024148,3.382112680024148,0.0,0.0,0.0,3.382112680024148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0905,3.3821751858794946,3.3821751858794946,3.3821751858794946,0.0,0.0,0.0,3.3821751858794946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1086,3.382251588407898,3.382251588407898,3.382251588407898,0.0,0.0,0.0,3.382251588407898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1267,3.3823418915008228,3.3823418915008228,3.3823418915008228,0.0,0.0,0.0,3.382341891500823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1448,3.382446099758715,3.382446099758715,3.382446099758715,0.0,0.0,0.0,3.382446099758715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1629,3.3825642184917752,3.3825642184917752,3.3825642184917752,0.0,0.0,0.0,3.382564218491775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.181,3.382696253720879,3.382696253720879,3.382696253720879,0.0,0.0,0.0,3.3826962537208787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1991,3.382842212178419,3.382842212178419,3.382842212178419,0.0,0.0,0.0,3.382842212178419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2172,3.383002101309514,3.383002101309514,3.383002101309514,0.0,0.0,0.0,3.3830021013095135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2353,3.3831759292731696,3.3831759292731696,3.3831759292731696,0.0,0.0,0.0,3.3831759292731696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2533,3.3833626291750707,3.3833626291750707,3.3833626291750707,0.0,0.0,0.0,3.3833626291750707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2714,3.3835642850033354,3.3835642850033354,3.3835642850033354,0.0,0.0,0.0,3.383564285003336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2895,3.38377990837939,3.38377990837939,3.38377990837939,0.0,0.0,0.0,3.38377990837939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3076,3.384009510328165,3.384009510328165,3.384009510328165,0.0,0.0,0.0,3.384009510328165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3257,3.3842531025963334,3.3842531025963334,3.3842531025963334,0.0,0.0,0.0,3.384253102596334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3438,3.3845106976540964,3.3845106976540964,3.3845106976540964,0.0,0.0,0.0,3.3845106976540964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3619,3.384782308697278,3.384782308697278,3.384782308697278,0.0,0.0,0.0,3.3847823086972775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.38,3.3850679496494602,3.3850679496494602,3.3850679496494602,0.0,0.0,0.0,3.3850679496494602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3981,3.385367635164248,3.385367635164248,3.385367635164248,0.0,0.0,0.0,3.3853676351642483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4162,3.385681380627718,3.385681380627718,3.385681380627718,0.0,0.0,0.0,3.385681380627718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4343,3.386009202160882,3.386009202160882,3.386009202160882,0.0,0.0,0.0,3.386009202160882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4524,3.3863511166223152,3.3863511166223152,3.3863511166223152,0.0,0.0,0.0,3.3863511166223152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4705,3.3867071416110215,3.3867071416110215,3.3867071416110215,0.0,0.0,0.0,3.3867071416110215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4886,3.3870772954692216,3.3870772954692216,3.3870772954692216,0.0,0.0,0.0,3.3870772954692216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5067,3.387461597285452,3.387461597285452,3.387461597285452,0.0,0.0,0.0,3.387461597285452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
