energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.726315227654473,3.726315227654473,3.726315227654473,0.0,0.0,0.0,3.726315227654473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8529
0.0241,3.726329500649169,3.726329500649169,3.726329500649169,0.0,0.0,0.0,3.7263295006491695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0482,3.7263723208581636,3.7263723208581636,3.7263723208581636,0.0,0.0,0.0,3.726372320858163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0723,3.7264436919565407,3.7264436919565407,3.7264436919565407,0.0,0.0,0.0,3.726443691956541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0964,3.726543620070395,3.726543620070395,3.726543620070395,0.0,0.0,0.0,3.726543620070395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1204,3.7266715215764625,3.7266715215764625,3.7266715215764625,0.0,0.0,0.0,3.726671521576462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1445,3.7268284733108987,3.7268284733108987,3.7268284733108987,0.0,0.0,0.0,3.7268284733108987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1686,3.7270140151028706,3.7270140151028706,3.7270140151028706,0.0,0.0,0.0,3.7270140151028706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1927,3.7272281628939647,3.7272281628939647,3.7272281628939647,0.0,0.0,0.0,3.7272281628939647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2168,3.727470935090467,3.727470935090467,3.727470935090467,0.0,0.0,0.0,3.727470935090467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2409,3.7277423525681486,3.7277423525681486,3.7277423525681486,0.0,0.0,0.0,3.7277423525681486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.265,3.7280424386772673,3.7280424386772673,3.7280424386772673,0.0,0.0,0.0,3.7280424386772673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2891,3.728371219248563,3.728371219248563,3.728371219248563,0.0,0.0,0.0,3.728371219248563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3132,3.72872872259967,3.72872872259967,3.72872872259967,0.0,0.0,0.0,3.7287287225996706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3373,3.7291149795421346,3.7291149795421346,3.7291149795421346,0.0,0.0,0.0,3.729114979542134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3613,3.729528241691171,3.729528241691171,3.729528241691171,0.0,0.0,0.0,3.729528241691171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3854,3.729971988592334,3.729971988592334,3.729971988592334,0.0,0.0,0.0,3.729971988592334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4095,3.7304445963994413,3.7304445963994413,3.7304445963994413,0.0,0.0,0.0,3.7304445963994417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4336,3.730946105972962,3.730946105972962,3.730946105972962,0.0,0.0,0.0,3.730946105972962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4577,3.7314765607122804,3.7314765607122804,3.7314765607122804,0.0,0.0,0.0,3.7314765607122804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4818,3.7320360065666605,3.7320360065666605,3.7320360065666605,0.0,0.0,0.0,3.7320360065666605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5059,3.732624492046826,3.732624492046826,3.732624492046826,0.0,0.0,0.0,3.732624492046826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.53,3.733242068237181,3.733242068237181,3.733242068237181,0.0,0.0,0.0,3.7332420682371805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5541,3.7338887888088244,3.7338887888088244,3.7338887888088244,0.0,0.0,0.0,3.7338887888088244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5781,3.7345618449698113,3.7345618449698113,3.7345618449698113,0.0,0.0,0.0,3.7345618449698113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6022,3.735266904198631,3.735266904198631,3.735266904198631,0.0,0.0,0.0,3.7352669041986304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6263,3.7360012842209485,3.7360012842209485,3.7360012842209485,0.0,0.0,0.0,3.7360012842209485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6504,3.7367650491866344,3.7367650491866344,3.7367650491866344,0.0,0.0,0.0,3.736765049186635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6745,3.7375582659072326,3.7375582659072326,3.7375582659072326,0.0,0.0,0.0,3.7375582659072326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6986,3.738381003873025,3.738381003873025,3.738381003873025,0.0,0.0,0.0,3.738381003873025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7227,3.739233335270955,3.739233335270955,3.739233335270955,0.0,0.0,0.0,3.739233335270955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7468,3.740115335003207,3.740115335003207,3.740115335003207,0.0,0.0,0.0,3.740115335003207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7709,3.7410270807065844,3.7410270807065844,3.7410270807065844,0.0,0.0,0.0,3.741027080706585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7949,3.741964684097471,3.741964684097471,3.741964684097471,0.0,0.0,0.0,3.741964684097471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.819,3.7429360414114083,3.7429360414114083,3.7429360414114083,0.0,0.0,0.0,3.7429360414114083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8431,3.743937393856703,3.743937393856703,3.743937393856703,0.0,0.0,0.0,3.743937393856703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8672,3.744968830205517,3.744968830205517,3.744968830205517,0.0,0.0,0.0,3.744968830205517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
