energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.715893685339251,3.715893685339251,3.8098969868314785,0.0,0.0,0.0,3.747228119169993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9700999999999995
0.0193,3.71590325453243,3.71590325453243,3.8099084462270802,0.0,0.0,0.0,3.7472383184306466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0387,3.7159321613573932,3.7159321613573932,3.8099430631301785,0.0,0.0,0.0,3.747269128614988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.058,3.7159801097835166,3.7159801097835166,3.8100004833743824,0.0,0.0,0.0,3.7473202343138055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0773,3.7160472025148765,3.7160472025148765,3.810080830515862,0.0,0.0,0.0,3.7473917451818717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0967,3.716133940870517,3.716133940870517,3.8101847057139113,0.0,0.0,0.0,3.747484195818315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.116,3.716239436578456,3.716239436578456,3.8103110462227545,0.0,0.0,0.0,3.747596639793222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1353,3.7163640943606233,3.7163640943606233,3.8104603379655173,0.0,0.0,0.0,3.747729508895588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1547,3.716508717926809,3.716508717926809,3.8106335449796402,0.0,0.0,0.0,3.7478836602777528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.174,3.716671826222777,3.716671826222777,3.8108288952004266,0.0,0.0,0.0,3.7480575158819938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1934,3.716855120807492,3.716855120807492,3.8110484284853645,0.0,0.0,0.0,3.748252890033449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2127,3.7170567246180988,3.7170567246180988,3.8112898988268116,0.0,0.0,0.0,3.7484677826876696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.232,3.7172775465894174,3.7172775465894174,3.811554397231107,0.0,0.0,0.0,3.748703163469981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2514,3.717518895821421,3.717518895821421,3.811843494432709,0.0,0.0,0.0,3.7489604286918503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2707,3.717778300761701,3.717778300761701,3.812154232770259,0.0,0.0,0.0,3.749236944764554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.29,3.7180569734900297,3.7180569734900297,3.8124880671667194,0.0,0.0,0.0,3.7495340047155934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
