energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,6.815755814477229,8.954307979826545,7.546028857240844,0.0,0.0,0.18588814037052886,7.772030883848206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2222999999999997
0.0171,6.815841881166028,8.954586490085603,7.546161020680504,0.0,0.0,0.1858969743425833,7.7721964639773775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0342,6.816100108422398,8.955422249173964,7.546557567165379,0.0,0.0,0.18592348080195423,7.772693308253913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0514,6.816533602029751,8.956825735812457,7.54722330990453,0.0,0.0,0.1859679838754716,7.7735275492489135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0685,6.817137458292291,8.958781781788236,7.548150790619083,0.0,0.0,0.18602998896219108,7.774690010233203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0856,6.817913884862563,8.961298523655522,7.549343501037139,0.0,0.0,0.18610973498912348,7.776185303185074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1027,6.8188631276961065,8.964378036452786,7.550801949618054,0.0,0.0,0.18620726303611365,7.778014371255648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1199,6.819992561239411,8.968045849690569,7.55253763046807,0.0,0.0,0.18632335056473834,7.7801920137993505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.137,6.821289411058229,8.972262354802469,7.554531103026,0.0,0.0,0.18645670757031474,7.7826942896289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1541,6.822760149957348,8.97705073340368,7.556792533603721,0.0,0.0,0.18660802568330426,7.785534472321582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1712,6.824405247168501,8.982414993272599,7.559322894170141,0.0,0.0,0.1867773831824984,7.788714378203747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1884,6.826236387487021,8.98839612833562,7.562140448336787,0.0,0.0,0.186966017706308,7.792257654719809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2055,6.8282328653011115,8.994929647269377,7.565213650945563,0.0,0.0,0.18717183361585832,7.796125387838683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2226,6.830405457133337,9.002054187031927,7.5685594259071145,0.0,0.0,0.1873959815106744,7.800339690024127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2397,6.832754864229214,9.009775858280012,7.572179230464609,0.0,0.0,0.18763857812072346,7.804903317657946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2569,6.835297149179265,9.018151811128588,7.57609824184711,0.0,0.0,0.1879013322551477,7.809849067384988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.274,6.838003576500799,9.027091942309559,7.58027261013659,0.0,0.0,0.18818132590897363,7.815122709648982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2911,6.84088929076681,9.036651036186086,7.58472615541102,0.0,0.0,0.18848017903772452,7.820755494121305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3082,6.843955238625633,9.046837575872473,7.589460853626994,0.0,0.0,0.18879804866210953,7.826751222708367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3254,6.847221955242719,9.057725876903982,7.594508999248648,0.0,0.0,0.18913713005487243,7.833152277131783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3425,6.850652536793511,9.069199187146173,7.599814155869048,0.0,0.0,0.18949365931353038,7.839888626602911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3596,6.854266587592328,9.081329454293837,7.605407237922415,0.0,0.0,0.18986974038445759,7.847001093269526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3767,6.858065318410787,9.094127928517258,7.611290786992835,0.0,0.0,0.1902655729895086,7.854494677973626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3939,6.86207386142279,9.107687478698173,7.617504483820195,0.0,0.0,0.19068385864044882,7.86242194131372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.411,6.866246964044597,9.121863329474342,7.623978936912418,0.0,0.0,0.19111995677711724,7.870696410143786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4281,6.870608811741429,9.136745997227907,7.630752418906902,0.0,0.0,0.1915764743730901,7.879369075958746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4452,6.875160904472364,9.15235005899739,7.637828100082883,0.0,0.0,0.19205365678227515,7.888446354517545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4624,6.879933128741826,9.16878879500976,7.645253390198995,0.0,0.0,0.19255473620678992,7.89799177131686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4795,6.884871657971532,9.185887656023455,7.652945480166307,0.0,0.0,0.19307415685785453,7.907901598053765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4966,6.890005413219811,9.203757620356944,7.660950338828627,0.0,0.0,0.19361505232013174,7.918237790801794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5137,6.895336216507559,9.222417379212436,7.66927184826185,0.0,0.0,0.19417771690943056,7.9290084813272825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5308,6.900865976484292,9.241886808782231,7.677914084037067,0.0,0.0,0.19476245770831777,7.940222289767863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.548,6.906630799301543,9.26230824691158,7.686934726987478,0.0,0.0,0.1953732118100045,7.9519579244002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5651,6.912565753213696,9.283466826444457,7.6962333931008455,0.0,0.0,0.19600321234992396,7.964088657586333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5822,6.918705951921309,9.305502743250234,7.7058662759728,0.0,0.0,0.19665629115871716,7.9766916570481134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5993,6.925053681516268,9.328441444231256,7.715838303744997,0.0,0.0,0.19733280857813687,7.989777809830841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6165,6.931650302062783,9.352452386185156,7.7262159921366,0.0,0.0,0.19803730501949401,8.00343956012818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6336,6.938421617022976,9.377285357045412,7.736884105715753,0.0,0.0,0.19876197866352238,8.017530359928047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6507,6.9454079702510025,9.403107943644137,7.747907633665456,0.0,0.0,0.19951125764565739,8.0321411825202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6678,6.9526120850437,9.429952908970169,7.7592925094478975,0.0,0.0,0.20028555838540818,8.047285834487255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.685,6.960080879271457,9.458021554874856,7.771114768162163,0.0,0.0,0.2010900642056895,8.063072400769492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7021,6.967730491030779,9.487024999589865,7.783243481795723,0.0,0.0,0.2019158675580376,8.079332990805456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7192,6.975606797546973,9.517163182173832,7.795753120995966,0.0,0.0,0.20276803022905135,8.09617436690559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7363,6.983713038309132,9.548478746521644,7.808650827405629,0.0,0.0,0.20364702562866918,8.113614204078802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7535,6.992102059374977,9.581211317331118,7.822023000568026,0.0,0.0,0.20455872251467272,8.131778792424708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7706,7.00067986655486,9.615029450952472,7.8357220313709615,0.0,0.0,0.20549302320271795,8.150477116292764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7877,7.009498242324068,9.65017233621942,7.849832724216696,0.0,0.0,0.20645566210179148,8.169834434253394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8048,7.018561048691682,9.686696377195634,7.864363703273307,0.0,0.0,0.20744716600933297,8.189873709720208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.822,7.027927514885713,9.724888636852576,7.879412785362385,0.0,0.0,0.2084741312871423,8.210742979033556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8391,7.037492974230254,9.76437071410518,7.894814527186356,0.0,0.0,0.20952516854637696,8.232226071840596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8562,7.0473155750163965,9.805430931434042,7.910665137903315,0.0,0.0,0.21060672087892213,8.254470548117917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8733,7.057399948731028,9.848145538006545,7.926975105141656,0.0,0.0,0.2117193549713973,8.277506863959744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8905,7.067812274815341,9.892862318273108,7.943854995538081,0.0,0.0,0.21287042923264424,8.30150986287551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9076,7.078436594458565,9.93915131726961,7.961120199098003,0.0,0.0,0.21404713750771834,8.326236036942058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9247,7.089338002336664,9.987364736451836,7.978879701799359,0.0,0.0,0.21525665457133814,8.351860813529285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9418,7.10052211007334,10.037608661165933,7.997146403656422,0.0,0.0,0.21649955206190344,8.378425724965233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.959,7.112062770611026,10.090311859474122,8.016045350106605,0.0,0.0,0.2177839605984726,8.406139993397252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9761,7.123832031993922,10.144988959286856,8.035371249988906,0.0,0.0,0.21909549575004772,8.434730747089894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9932,7.135902688386849,10.20207923892338,8.0552476789789,0.0,0.0,0.22044205068758704,8.464409868763042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0103,7.148281649089201,10.26173600386852,8.075690782922159,0.0,0.0,0.22182411931020146,8.495236145293292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0274,7.160976216676369,10.324128553897085,8.096717701242497,0.0,0.0,0.22324215248756882,8.527274157271984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0446,7.17407121742698,10.38983545013598,8.118474954732948,0.0,0.0,0.22470515661553314,8.560793874098636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0617,7.1874226261810925,10.458302390011527,8.140729074886313,0.0,0.0,0.2261964397782636,8.595484697026311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0788,7.2011143439209,10.53013578238852,8.163625534229086,0.0,0.0,0.22772462146787656,8.631625220179501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0959,7.215155662948681,10.605597099882763,8.187186561048161,0.0,0.0,0.22928979601996352,8.669313107959868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1131,7.229641805310106,10.685457403940676,8.211579915853353,0.0,0.0,0.23090137292890905,8.708893041701378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1302,7.244415023145103,10.769123635523401,8.23654782075133,0.0,0.0,0.2325403349676059,8.750028826473278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1473,7.25956992795776,10.857428921492026,8.262257919236152,0.0,0.0,0.2342153984125544,8.79308558956198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1644,7.2751188875732655,10.950809675414481,8.288740494619233,0.0,0.0,0.2359256714694296,8.838223019202326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1816,7.291169862385888,11.05036606842949,8.316190659035058,0.0,0.0,0.23768010923739513,8.885908863283479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1987,7.307550933650908,11.155530077047558,8.344325801466049,0.0,0.0,0.23945637362602376,8.935802270721505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2158,7.324370307977188,11.267552772234783,8.373343453546749,0.0,0.0,0.24126186753951362,8.988422177919572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2329,7.3416457904901495,11.387250887652083,8.403288658795601,0.0,0.0,0.24309287450196138,9.044061778979279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2501,7.359502501061534,11.516380817221124,8.434396036373316,0.0,0.0,0.24495520677977964,9.103426451551991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2672,7.377755291738922,11.654631850224478,8.466362032373898,0.0,0.0,0.2468203382079576,9.1662497247791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2843,7.396531975170148,11.804178872860563,8.499431094049806,0.0,0.0,0.24868996002201496,9.233380647360171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3014,7.415861400531374,11.966807283404087,8.533679545897558,0.0,0.0,0.25055254752767675,9.30544940994434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3186,7.435893675790362,12.14578643672439,8.569403516156221,0.0,0.0,0.2524062145353755,9.383694542890325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3357,7.456427043884057,12.341568963577398,8.606267475115217,0.0,0.0,0.2542234215130063,9.468087827525558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3528,7.477594750954904,12.55757225163418,8.644505880335334,0.0,0.0,0.2560394232129395,9.559890960974807,0.0001,0.0018,0.0002,0.0,0.0,-0.0001,0.0007,2.5070683223853925,34.82304826843244,4.663447495455497,0.0,0.0,13.548577376665218,15.520963979512718,
1.3699,7.499391432367872,12.795088205301887,8.684048116070858,0.0,0.0,0.25793573137472475,9.659509251246872,0.0008,0.0245,0.0028,0.0,0.0,-0.0015,0.009366666666666667,20.280533245761674,475.4957490093043,65.96283465570535,0.0,0.0,205.03880609955016,209.2232182780726,
1.3871,7.521939219610718,13.054618182168952,8.725035488431823,0.0,0.0,0.2600207391787143,9.767197630070498,0.0017,0.0711,0.0062,0.0,0.0,-0.0032,0.02633333333333333,43.57178075575219,1383.2707854829043,147.54665307202674,0.0,0.0,441.1223515697347,592.3000314969971,
1.4042,7.544983211939188,13.328019177731782,8.766966163717957,0.0,0.0,0.2623213165857134,9.879989517796309,0.0028,0.1887,0.01,0.0,0.0,-0.005,0.06716666666666667,72.53896977979508,3678.0761197837137,240.33540999482204,0.0,0.0,694.6659166474391,1520.6019510025021,
