energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2627331583327006,3.2627331583327006,3.380194279307469,0.0,0.0,0.0,3.30188686532429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3262
0.0187,3.2627402085311905,3.2627402085311905,3.380202349705154,0.0,0.0,0.0,3.3018942555891786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0373,3.2627612089176474,3.2627612089176474,3.3802263890094535,0.0,0.0,0.0,3.3019162689482493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.056,3.2627963864974143,3.2627963864974143,3.3802666572449795,0.0,0.0,0.0,3.3019531434132694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0746,3.2628453670162356,3.2628453670162356,3.3803227262790463,0.0,0.0,0.0,3.3020044867705054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,3.262908679933548,3.262908679933548,3.3803952025913735,0.0,0.0,0.0,3.302070854152823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1119,3.262985651664315,3.262985651664315,3.380483315613936,0.0,0.0,0.0,3.3021515396475216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1306,3.26307711424316,3.26307711424316,3.3805880184378427,0.0,0.0,0.0,3.3022474156413875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1492,3.263182094603719,3.263182094603719,3.3807081978664417,0.0,0.0,0.0,3.30235746235796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1679,3.2633017275463256,3.2633017275463256,3.380845153848034,0.0,0.0,0.0,3.302482869646895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1865,3.2634347403055743,3.2634347403055743,3.380997430277859,0.0,0.0,0.0,3.302622303629669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2052,3.263582570707469,3.263582570707469,3.3811666742969253,0.0,0.0,0.0,3.3027772719039543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2238,3.2637436460027263,3.2637436460027263,3.381351086526668,0.0,0.0,0.0,3.3029461261773734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2425,3.263919707372674,3.263919707372674,3.3815526617261056,0.0,0.0,0.0,3.303130692157151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2611,3.264108881731851,3.264108881731851,3.381769256790481,0.0,0.0,0.0,3.3033290067513943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2798,3.2643132140163362,3.2643132140163362,3.3820032146126486,0.0,0.0,0.0,3.3035432142151073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2984,3.2645305303846364,3.2645305303846364,3.382252047822243,0.0,0.0,0.0,3.303771036197172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3171,3.264763179997369,3.264763179997369,3.382518448052435,0.0,0.0,0.0,3.304014936015724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3357,3.2650086877689497,3.2650086877689497,3.3827995830404203,0.0,0.0,0.0,3.3042723195261066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3544,3.2652697076248676,3.2652697076248676,3.383098493857532,0.0,0.0,0.0,3.3045459697024224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.373,3.2655434626793034,3.2655434626793034,3.3834120026336882,0.0,0.0,0.0,3.3048329759974315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3917,3.2658329122337495,3.2658329122337495,3.3837435006680607,0.0,0.0,0.0,3.3051364417118534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4103,3.266134976977211,3.266134976977211,3.3840894636799868,0.0,0.0,0.0,3.3054531392114694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.429,3.266452922269867,3.266452922269867,3.3844536340787283,0.0,0.0,0.0,3.3057864928728207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4476,3.2667833656814116,3.2667833656814116,3.3848321402804693,0.0,0.0,0.0,3.3061329572144307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4663,3.2671298793853443,3.2671298793853443,3.3852290767801874,0.0,0.0,0.0,3.3064962785169585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4849,3.2674887770681873,3.2674887770681873,3.3856402237083842,0.0,0.0,0.0,3.3068725926149196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5036,3.2678639385438917,3.2678639385438917,3.386070028715656,0.0,0.0,0.0,3.3072659686011465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
