energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.611700649669338,3.611700649669338,3.4462373497189693,0.0,0.0,0.0,3.5565462163525488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.595000000000001
0.0174,3.6117143907100817,3.6117143907100817,3.446247409404987,0.0,0.0,0.0,3.55655873027505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0347,3.611755299754927,3.611755299754927,3.4462773582676967,0.0,0.0,0.0,3.5565959859258505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0521,3.6118238538330085,3.6118238538330085,3.4463275447400865,0.0,0.0,0.0,3.5566584174687015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0694,3.611919271733274,3.611919271733274,3.4463973956095058,0.0,0.0,0.0,3.5567453130253512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0868,3.612042666100685,3.612042666100685,3.446487723540814,0.0,0.0,0.0,3.5568576852473943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1041,3.6121926307947194,3.6121926307947194,3.4465974968416777,0.0,0.0,0.0,3.5569942528103717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1215,3.6123709145260707,3.6123709145260707,3.4467279926494916,0.0,0.0,0.0,3.557156607233878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,3.6125754856750025,3.6125754856750025,3.446877720494462,0.0,0.0,0.0,3.557342897281489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1562,3.6128087297252707,3.6128087297252707,3.447048422364952,0.0,0.0,0.0,3.557555293938498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1735,3.6130679887831363,3.6130679887831363,3.4472381485832484,0.0,0.0,0.0,3.557791375383174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1909,3.613356286071263,3.613356286071263,3.447449106505275,0.0,0.0,0.0,3.5580538928826004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2082,3.6136703363810523,3.6136703363810523,3.4476788866818984,0.0,0.0,0.0,3.558339853148001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2256,3.61401380189949,3.61401380189949,3.447930162491667,0.0,0.0,0.0,3.558652588763549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.243,3.6143849812792803,3.6143849812792803,3.4482016823515975,0.0,0.0,0.0,3.558990548303386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2603,3.6147815397656697,3.6147815397656697,3.448491731453507,0.0,0.0,0.0,3.5593516036616157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2777,3.6152081017866973,3.6152081017866973,3.4488036844168595,0.0,0.0,0.0,3.559739962663418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.295,3.6156598067565637,3.6156598067565637,3.449133978354861,0.0,0.0,0.0,3.560151197289329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3124,3.616141922280324,3.616141922280324,3.4494864561594394,0.0,0.0,0.0,3.560590100240029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3297,3.616648954854389,3.616648954854389,3.449857092142752,0.0,0.0,0.0,3.5610516672838433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3471,3.617186817408986,3.617186817408986,3.4502501986150196,0.0,0.0,0.0,3.5615412778109974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3644,3.6177493813556163,3.6177493813556163,3.45066128591726,0.0,0.0,0.0,3.562053349542831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3818,3.618343207366652,3.618343207366652,3.451095137066104,0.0,0.0,0.0,3.5625938505998023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3991,3.618961529345385,3.618961529345385,3.451546797124051,0.0,0.0,0.0,3.5631566186049404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4165,3.6196115583950745,3.6196115583950745,3.452021521245774,0.0,0.0,0.0,3.563748212678641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4339,3.620289867483881,3.620289867483881,3.452516792933313,0.0,0.0,0.0,3.5643655093003583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4512,3.6209923833436726,3.6209923833436726,3.4530296255643087,0.0,0.0,0.0,3.565004797417218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4686,3.6217272993144127,3.6217272993144127,3.4535659861869807,0.0,0.0,0.0,3.5656735282719354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4859,3.6224862422880415,3.6224862422880415,3.454119749359193,0.0,0.0,0.0,3.566364077978425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5033,3.6232780639740256,3.6232780639740256,3.4546973584856557,0.0,0.0,0.0,3.567084495477902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5206,3.6240937432085194,3.6240937432085194,3.455292217168779,0.0,0.0,0.0,3.567826567861939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.538,3.6249427937393155,3.6249427937393155,3.455911247115065,0.0,0.0,0.0,3.568598944864565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5553,3.6258155427307055,3.6258155427307055,3.4565473790303085,0.0,0.0,0.0,3.56939282149724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5727,3.6267221699271954,3.6267221699271954,3.4572080150186864,0.0,0.0,0.0,3.5702174516243588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.59,3.6276523469294375,3.6276523469294375,3.457885610802919,0.0,0.0,0.0,3.5710634348872645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6074,3.6286169237315087,3.6286169237315087,3.4585880511333076,0.0,0.0,0.0,3.5719406328654415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6247,3.6296049121984026,3.6296049121984026,3.459307314516034,0.0,0.0,0.0,3.5728390463042796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6421,3.630627837126485,3.630627837126485,3.460051770750618,0.0,0.0,0.0,3.5737691483345295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6595,3.6316801783771533,3.6316801783771533,3.4608173793366284,0.0,0.0,0.0,3.5747259120303116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6768,3.6327557438389175,3.6327557438389175,3.46159961590528,0.0,0.0,0.0,3.575703701194372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6942,3.633867080705344,3.633867080705344,3.462407583386292,0.0,0.0,0.0,3.576713914932327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7115,3.6350015303919303,3.6350015303919303,3.4632320557904883,0.0,0.0,0.0,3.5777450388581165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7289,3.636172327635652,3.636172327635652,3.464082627800886,0.0,0.0,0.0,3.5788090943573967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7462,3.6373661372226733,3.6373661372226733,3.4649495872016094,0.0,0.0,0.0,3.5798939538823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7636,3.6385968870848484,3.6385968870848484,3.465843023392778,0.0,0.0,0.0,3.581012265854158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7809,3.639850559877146,3.639850559877146,3.466752735009005,0.0,0.0,0.0,3.5821512849210992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7983,3.641141782707415,3.641141782707415,3.467689309297719,0.0,0.0,0.0,3.58332429157085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8156,3.6424558502848985,3.6424558502848985,3.4686420526610338,0.0,0.0,0.0,3.5845179177436104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.833,3.6438080952118965,3.6438080952118965,3.4696220534932447,0.0,0.0,0.0,3.585746081305679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8504,3.645191155058472,3.645191155058472,3.470623943391542,0.0,0.0,0.0,3.5870020845028283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8677,3.6465969637621796,3.6465969637621796,3.471641853348704,0.0,0.0,0.0,3.5882785936243544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8851,3.6480419258095456,3.6480419258095456,3.4726876307771146,0.0,0.0,0.0,3.5895904941320684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9024,3.6495095874678376,3.6495095874678376,3.4737493362082263,0.0,0.0,0.0,3.5909228370479673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9198,3.651017076057868,3.651017076057868,3.4748393272188323,0.0,0.0,0.0,3.5922911597781897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9371,3.6525472269674037,3.6525472269674037,3.475945160007725,0.0,0.0,0.0,3.5936798713141775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9545,3.654117897921542,3.654117897921542,3.4770797062359016,0.0,0.0,0.0,3.595105167359662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
