energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.737224376989427,2.737224376989427,2.961486832693406,0.0,0.0,0.0,2.8119785288907533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8303
0.0184,2.7372280645942926,2.7372280645942926,2.961491174100554,0.0,0.0,0.0,2.8119824344297135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0368,2.7372391275362524,2.7372391275362524,2.9615041984699317,0.0,0.0,0.0,2.811994151180812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0552,2.737257566197279,2.737257566197279,2.961525906245297,0.0,0.0,0.0,2.8120136795466184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0736,2.737283381214084,2.737283381214084,2.9615562981663652,0.0,0.0,0.0,2.8120410201981776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.092,2.7373165734781564,2.7373165734781564,2.961595375268776,0.0,0.0,0.0,2.8120761740750297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1104,2.7373571441358306,2.7373571441358306,2.9616431388842615,0.0,0.0,0.0,2.8121191423853076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1288,2.737405094588434,2.737405094588434,2.9616995906407864,0.0,0.0,0.0,2.812169926605885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1472,2.737460426492443,2.737460426492443,2.9617647324626777,0.0,0.0,0.0,2.812228528482521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1656,2.7375231417596018,2.7375231417596018,2.9618385665707994,0.0,0.0,0.0,2.812294950030001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.184,2.737593242557148,2.737593242557148,2.9619210954828423,0.0,0.0,0.0,2.81236919353238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2024,2.737670731308068,2.737670731308068,2.9620123220134835,0.0,0.0,0.0,2.8124512615432065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2208,2.737755610691271,2.737755610691271,2.9621122492747505,0.0,0.0,0.0,2.8125411568857643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2392,2.7378478836419524,2.7378478836419524,2.9622208806762576,0.0,0.0,0.0,2.812638882653387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2576,2.7379475533518267,2.7379475533518267,2.9623382199255874,0.0,0.0,0.0,2.812744442209747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.276,2.7380546232694893,2.7380546232694893,2.962464271028674,0.0,0.0,0.0,2.8128578391892174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2944,2.7381690971007453,2.7381690971007453,2.9625990382901284,0.0,0.0,0.0,2.812979077497206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3128,2.7382909788090544,2.7382909788090544,2.962742526313767,0.0,0.0,0.0,2.8131081613106255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3312,2.738420272615846,2.738420272615846,2.9628947400029695,0.0,0.0,0.0,2.8132450950782206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3496,2.7385569830010543,2.7385569830010543,2.963055684561214,0.0,0.0,0.0,2.8133898835211077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.368,2.7387011147034714,2.7387011147034714,2.963225365492626,0.0,0.0,0.0,2.8135425316331895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3864,2.738852672721368,2.738852672721368,2.9634037886024904,0.0,0.0,0.0,2.8137030446817426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4048,2.739011662312884,2.739011662312884,2.9635909599977888,0.0,0.0,0.0,2.8138714282078525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4232,2.7391780889966784,2.7391780889966784,2.9637868860878984,0.0,0.0,0.0,2.814047688027085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4416,2.739351958552394,2.739351958552394,2.9639915735851554,0.0,0.0,0.0,2.8142318302299807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.46,2.739533277021356,2.739533277021356,2.9642050295055675,0.0,0.0,0.0,2.81442386118276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4784,2.739722050707155,2.739722050707155,2.964427261169541,0.0,0.0,0.0,2.81462378752795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4968,2.739918286176289,2.739918286176289,2.964658276202516,0.0,0.0,0.0,2.8148316161850317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5152,2.740121990258869,2.740121990258869,2.9648980825358,0.0,0.0,0.0,2.8150473543511794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5336,2.7403331700493254,2.7403331700493254,2.9651466884073736,0.0,0.0,0.0,2.8152710095020077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.552,2.7405518329071454,2.7405518329071454,2.9654041023627062,0.0,0.0,0.0,2.8155025893923322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5704,2.740777986457642,2.740777986457642,2.9656703332555745,0.0,0.0,0.0,2.815742102056953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5888,2.741011638592725,2.741011638592725,2.9659453902489847,0.0,0.0,0.0,2.8159895558114783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6072,2.7412527974717786,2.7412527974717786,2.9662292828161174,0.0,0.0,0.0,2.816244959253225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6256,2.741501471522466,2.741501471522466,2.966522020741219,0.0,0.0,0.0,2.81650832126205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.644,2.741757669441637,2.741757669441637,2.966823614120649,0.0,0.0,0.0,2.816779651001308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6624,2.7420214001962506,2.7420214001962506,2.96713407336388,0.0,0.0,0.0,2.817058957918794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6808,2.7422926730242687,2.7422926730242687,2.967453409194533,0.0,0.0,0.0,2.81734625174769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6992,2.7425714974356747,2.7425714974356747,2.9677816326514694,0.0,0.0,0.0,2.8176415425076065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7176,2.742857883213463,2.742857883213463,2.9681187550899475,0.0,0.0,0.0,2.817944840505625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
