energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8304886411734653,3.0747819464563078,3.0466690400316594,0.0,0.0,0.0,2.983979875887144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.632
0.0193,2.8304924342452398,3.074786659902078,3.046673616896062,0.0,0.0,0.0,2.9839842370144596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0386,2.830503813583877,3.0748008004123366,3.0466873476528464,0.0,0.0,0.0,2.983997320549687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0579,2.8305227795594896,3.0748243685059067,3.046710232792783,0.0,0.0,0.0,2.984019126952726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0771,2.830549175651745,3.0748571697795484,3.046742083524674,0.0,0.0,0.0,2.984049476318656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0964,2.830583277679264,3.074899547117801,3.0467832327664657,0.0,0.0,0.0,2.9840886858545104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1157,2.8306249689283813,3.074951355662756,3.04683353981898,0.0,0.0,0.0,2.9841366214700393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.135,2.830674250755359,3.0750125973157805,3.046893006480791,0.0,0.0,0.0,2.984193284850644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1543,2.8307311247635925,3.075083274324817,3.0469616348783086,0.0,0.0,0.0,2.984258677988906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1736,2.830795592803735,3.0751633892844747,3.047039427465851,0.0,0.0,0.0,2.984332803184687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
