energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.5364240601358046,3.5364240601358046,3.2582759413293467,0.0,0.0,0.0,3.443708020533652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3801000000000005
0.0179,3.5364381083766783,3.5364381083766783,3.2582847573439495,0.0,0.0,0.0,3.443720324699102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0359,3.536480569017009,3.536480569017009,3.2583114033417817,0.0,0.0,0.0,3.443757513791933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0538,3.536550974898509,3.536550974898509,3.2583555852622146,0.0,0.0,0.0,3.4438191783530776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0717,3.5366494911044444,3.5366494911044444,3.2584174052135646,0.0,0.0,0.0,3.443905462474151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0897,3.5367769148678496,3.5367769148678496,3.258497361348065,0.0,0.0,0.0,3.444017063694588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1076,3.5369318442627136,3.5369318442627136,3.258594571286671,0.0,0.0,0.0,3.4441527532706995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1255,3.5371149255511214,3.5371149255511214,3.2587094372747227,0.0,0.0,0.0,3.4443130961256556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1435,3.5373274380890742,3.5373274380890742,3.258842758009216,0.0,0.0,0.0,3.444499211395788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1614,3.537567043827865,3.537567043827865,3.258993062200952,0.0,0.0,0.0,3.4447090499522273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
