energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.0653604165714925,3.037646951868947,3.1975969705342835,0.0,0.0,0.014712261650688454,3.1002014463249075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4910000000000005
0.0182,3.065365690866807,3.0376522288520564,3.197602735827341,0.0,0.0,0.01471233903637599,3.100206885182068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0364,3.0653815139809475,3.0376680600383215,3.1976200319606334,0.0,0.0,0.014712571199062897,3.1002232019933005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0547,3.0654080606461647,3.037694620275539,3.1976490499469628,0.0,0.0,0.014712960709398893,3.1002505769562223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0729,3.0654450418823953,3.037731620479536,3.197689473927729,0.0,0.0,0.014713503338726956,3.1002887120965537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0911,3.0654925753704094,3.037779178452059,3.1977414325718843,0.0,0.0,0.014714200829687026,3.100337728798118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1093,3.065550663167059,3.037837296329317,3.1978049281700005,0.0,0.0,0.014715053232992492,3.1003976292221256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1275,3.0656193077862377,3.0379059767221963,3.1978799635217707,0.0,0.0,0.014716060610633968,3.1004684160100684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1458,3.065698976564329,3.0379856873265516,3.197967049534618,0.0,0.0,0.014717229851289476,3.100550571141833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.164,3.0657888022504767,3.038075560567491,3.1980652382867634,0.0,0.0,0.014718548261375726,3.100643200368244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1822,3.065889195069783,3.0381760070329045,3.1981749782752544,0.0,0.0,0.01472002190012547,3.100746726792647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2004,3.06600015937107,3.0382870312397445,3.198296274343312,0.0,0.0,0.014721650874847472,3.100861154984709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2187,3.066122396992923,3.0384093355953303,3.1984298937794766,0.0,0.0,0.014723445538424897,3.100987208789243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2369,3.066254577298798,3.038541588938674,3.1985743821576937,0.0,0.0,0.014725386407734204,3.1011235161317217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2551,3.0663973449250315,3.038684436474957,3.1987304442548505,0.0,0.0,0.01472748300402626,3.1012707418849463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2733,3.0665507060648625,3.0388378846374877,3.198898086968568,0.0,0.0,0.01472973548027773,3.101428892556973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2915,3.066714667373881,3.0390019403401074,3.199077317711454,0.0,0.0,0.01473214400093895,3.1015979751418143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3098,3.066890224453983,3.0391776000434856,3.199269224958087,0.0,0.0,0.014734723265826352,3.1017790164851853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.328,3.0670754662678203,3.039362951884919,3.19947171984765,0.0,0.0,0.014737445274643988,3.1019700460001296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3462,3.0672713310471353,3.0395589349489476,3.1996858281562353,0.0,0.0,0.014740323891534941,3.102172031384106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3644,3.067477827309502,3.0397655580849503,3.1999115593707534,0.0,0.0,0.014743359327266094,3.102384981588402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3826,3.067694964040108,3.039982830628521,3.2001489234990528,0.0,0.0,0.014746551804269224,3.102608906055894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4009,3.067924031704864,3.040212044238548,3.200399331428252,0.0,0.0,0.014749920396818154,3.1028451357905547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4191,3.0681625368029675,3.040450704209035,3.200660057565854,0.0,0.0,0.014753428536754806,3.1030910995259524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4373,3.0684117122015224,3.04070004458573,3.200932449846035,0.0,0.0,0.014757094457167204,3.103348068877762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4555,3.0686715687716997,3.0409600766660163,3.201216520378155,0.0,0.0,0.014760918427693604,3.103616055271957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4738,3.0689436339506115,3.041232329388239,3.2015139391813605,0.0,0.0,0.014764923048575731,3.103896634173404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
