energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8316603234396704,3.7460334947041516,3.8846034888329513,0.0,0.0,0.0,3.8207657689922576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9266
0.0186,3.831669850021162,3.7460424670238477,3.8846132935434072,0.0,0.0,0.0,3.820775203529472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0371,3.831698225671688,3.746069191749577,3.884642497628012,0.0,0.0,0.0,3.820803305016426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0557,3.831745758674735,3.7461139591872836,3.8846914183881327,0.0,0.0,0.0,3.8208503787500505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0743,3.831812349412531,3.7461766754458177,3.884759953326758,0.0,0.0,0.0,3.8209163260617025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0928,3.831897489981783,3.746256862078108,3.88484757975192,0.0,0.0,0.0,3.82100064393727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1114,3.8320021053824376,3.7463553901385462,3.8849552497231556,0.0,0.0,0.0,3.821104248414713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.13,3.8321257922393865,3.746471879569729,3.885082548152352,0.0,0.0,0.0,3.821226739987156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1485,3.8322677385994792,3.7466055654907118,3.8852286394520696,0.0,0.0,0.0,3.8213673145140867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1671,3.8324294866271877,3.7467579001140066,3.88539511090641,0.0,0.0,0.0,3.8215274992158683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1856,3.832609305661044,3.74692725326594,3.8855801814127813,0.0,0.0,0.0,3.821705580113255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2042,3.8328091493355574,3.747115464612346,3.8857858617707737,0.0,0.0,0.0,3.8219034919062254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2228,3.8330281077058075,3.7473216768752042,3.8860112155852526,0.0,0.0,0.0,3.822120333388755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2413,3.8332648613268874,3.7475446471095792,3.886254885002291,0.0,0.0,0.0,3.822354797812919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2599,3.8335219824101783,3.747786797430518,3.8865195175161715,0.0,0.0,0.0,3.8226094324522895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2785,3.8337982564323676,3.748046983642023,3.8868038632866413,0.0,0.0,0.0,3.822883034453677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.297,3.834092058554571,3.748323675135033,3.887106250165998,0.0,0.0,0.0,3.823173994618534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
