energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.967393602297038,3.9958875192659407,4.022253030933563,0.0,0.0,0.042235123774745184,3.9951780508321804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1213
0.0189,3.9674057413194346,3.9958994654775193,4.022265760830663,0.0,0.0,0.0422355059679605,3.995190322542539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0377,3.967441902679914,3.995935052434715,4.0223036824139475,0.0,0.0,0.04223664450393084,3.9952268791761925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0566,3.9675024736820443,3.995994661191344,4.022367201976734,0.0,0.0,0.042238551598496904,3.995288112283374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0755,3.9675873305750096,3.9960781697987398,4.022456189973894,0.0,0.0,0.04224122339161245,3.995373896782548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0944,3.967696479475398,3.9961855840472404,4.022570653141182,0.0,0.0,0.042244660126598964,3.99548423888794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1132,3.9678291582127994,3.9963161535898206,4.022709792605532,0.0,0.0,0.04224883786933571,3.9956183681360504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1321,3.9679867878393784,3.9964712765295203,4.022875099120105,0.0,0.0,0.042253801444854196,3.9957777211630012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.151,3.9681687382805273,3.996650332380281,4.0230659125294075,0.0,0.0,0.042259531108242085,3.9959616610634057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1699,3.9683750226652905,3.996853333570311,4.023282247292839,0.0,0.0,0.04226602738181256,3.9961702011761466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1887,3.9686043715003247,3.997079030268975,4.023522772827737,0.0,0.0,0.04227325040685568,3.996402058199012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2076,3.9688592412443433,3.9973298391969174,4.0237900661749215,0.0,0.0,0.04228127768359433,3.9966597155387276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2265,3.9691384948000175,3.997604640668066,4.024082935801356,0.0,0.0,0.042290073554505175,3.99694202375648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2454,3.9694421523544245,3.9979034537902316,4.024401403943109,0.0,0.0,0.04229963882276766,3.9972490033625885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2642,3.969768435662064,3.998224527894833,4.024743606736892,0.0,0.0,0.042309917648295024,3.9975788567645965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2831,3.9701208394582306,3.9985713010352137,4.02511321067592,0.0,0.0,0.04232102032076752,3.9979351170564548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.302,3.9704977183552583,3.998942153123431,4.0255084914574155,0.0,0.0,0.04233289521970617,3.9983161209787017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3208,3.9708969114293806,3.999334956812971,4.025927184024345,0.0,0.0,0.042345474473317955,3.9987196840888988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3397,3.9713226943961484,3.999753918293514,4.026373774484176,0.0,0.0,0.042358893056703956,3.9991501290579463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3586,3.971773039642764,4.000197041227029,4.02684613784176,0.0,0.0,0.04237308733575836,3.9996054062371846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3775,3.9722479798895116,4.00066435657728,4.027344310153831,0.0,0.0,0.04238805861266445,4.000085548873541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3963,3.9727448415733826,4.001153232476618,4.027865488809324,0.0,0.0,0.0424037228797803,4.000587854286441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4152,3.973268946657142,4.001668903986394,4.02841525815984,0.0,0.0,0.04242024821906293,4.001117702934459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4341,3.9738177556376826,4.002208870954529,4.02899095648514,0.0,0.0,0.04243755489044277,4.001672527692451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.453,3.9743913085473666,4.002773171257442,4.02959262791437,0.0,0.0,0.042455644487436654,4.002252369239726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4718,3.9749864161569937,4.003358665638839,4.030216928953806,0.0,0.0,0.04247441674624265,4.002854003583213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4907,3.9756094529456356,4.0039716239598935,4.030870549116607,0.0,0.0,0.04249407310536627,4.003483875340712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5096,3.976257364660715,4.004609039545128,4.0315502868148485,0.0,0.0,0.042514517605170096,4.004138897006897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5284,3.976926573150043,4.005267390544282,4.0322523904933165,0.0,0.0,0.04253563770192526,4.0048154513958805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5473,3.9776242468072036,4.005953727185743,4.032984383552476,0.0,0.0,0.04255766003474934,4.005520785848474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5662,3.978346943256057,4.006664660954526,4.033742657228329,0.0,0.0,0.042580476395989934,4.006251420479637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5851,3.979094715679021,4.007400242148743,4.034527270189511,0.0,0.0,0.04260408890357568,4.007007409339092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6039,3.9798634635159926,4.008156435144168,4.035333922580772,0.0,0.0,0.04262836848956876,4.007784607080311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6228,3.98066142172482,4.008941338249326,4.036171258473786,0.0,0.0,0.042653575709350265,4.008591339482645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6417,3.9814846267406154,4.009751050325599,4.037035122155629,0.0,0.0,0.0426795858797432,4.0094235997406145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6606,3.982333139513481,4.010585629001378,4.037925580898591,0.0,0.0,0.04270640142877042,4.010281449804483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6794,3.983202332373381,4.011440520426564,4.038837781371208,0.0,0.0,0.04273387657726634,4.011160211390384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6983,3.9841015166814864,4.012324880287942,4.039781499186496,0.0,0.0,0.04276230618904516,4.012069298718641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7172,3.9850262031614454,4.0132342905399,4.040752026705803,0.0,0.0,0.042791548925556505,4.013004173469049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7361,3.985976460751186,4.014168816342952,4.041749440062361,0.0,0.0,0.04282160753398994,4.013964905718833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7549,3.98694712933191,4.015123380567436,4.042768326568208,0.0,0.0,0.042852319311525895,4.014946278822518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7738,3.9879486078677293,4.0161082068590765,4.043819605757887,0.0,0.0,0.042884013876960975,4.01595880682823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7927,3.9889758762164806,4.017118355385345,4.044898012392649,0.0,0.0,0.04291653303134281,4.016997414664824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8115,3.9900233712042876,4.018148353044604,4.045997710160444,0.0,0.0,0.04294970122969955,4.018056478136446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8304,3.9911023153237397,4.019209231829644,4.047130485212772,0.0,0.0,0.04298387447206794,4.019147344122052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8493,3.992207286689156,4.020295657172188,4.048290650143002,0.0,0.0,0.043018881769767266,4.0202645313347825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8682,3.99333836884063,4.02140770798445,4.049478297320174,0.0,0.0,0.043054726454204655,4.021408124715085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.887,3.994489455224578,4.022539377543174,4.050687019026697,0.0,0.0,0.04309121562161443,4.02257195059815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9059,3.9956728789337945,4.023702787515646,4.051929770780449,0.0,0.0,0.04312874094443235,4.0237684790766295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9248,3.9968826766247183,4.0248920715225625,4.053200295904379,0.0,0.0,0.04316711415202133,4.024991681350553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9437,3.9981189405999,4.0261073167172565,4.054498696535195,0.0,0.0,0.04320633892686288,4.026241651284117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9625,3.999375013732579,4.027341975951984,4.055817985613109,0.0,0.0,0.043246204719865414,4.027511658432557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9814,4.000664354889011,4.028609274888495,4.057172304827797,0.0,0.0,0.043287139481512756,4.0288153115351015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0003,4.001980452278142,4.02990280872498,4.058554820523888,0.0,0.0,0.043328937380879784,4.03014602717567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0191,4.00331623087615,4.031215620306406,4.059958105641616,0.0,0.0,0.04337137443552943,4.031496652274725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.038,4.004686004385842,4.032561773187995,4.061397203165326,0.0,0.0,0.04341490622690108,4.032881660246388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0569,4.0060828448518935,4.033934454191732,4.062864841368123,0.0,0.0,0.04345931356006668,4.034294046803916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0758,4.0075068607740265,4.0353337656815675,4.06436114049289,0.0,0.0,0.043504600767429305,4.035733922316161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0946,4.008950412220148,4.03675219652952,4.065878078305153,0.0,0.0,0.04355052564987702,4.037193562351607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1135,4.0104289689772425,4.038204942873101,4.0674319175722236,0.0,0.0,0.04359758127755308,4.038688609807522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1324,4.01193504068637,4.039684639918057,4.06901479418262,0.0,0.0,0.04364553033913463,4.040211491595682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
