energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.636087097801722,3.636087097801722,3.4153699001564153,0.0,0.0,0.0,3.56251469858662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7964
0.0184,3.636098089421139,3.636098089421139,3.4153791154010196,0.0,0.0,0.0,3.562525098081099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0369,3.636131304399578,3.636131304399578,3.4154069624086776,0.0,0.0,0.0,3.5625565237359447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0553,3.636186386182139,3.636186386182139,3.4154531421287992,0.0,0.0,0.0,3.562608638164359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0738,3.636263937726522,3.636263937726522,3.415518159871006,0.0,0.0,0.0,3.562682011774683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0922,3.636363126536922,3.636363126536922,3.4156013174073943,0.0,0.0,0.0,3.5627758568270793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1106,3.63648431960227,3.63648431960227,3.4157029220575748,0.0,0.0,0.0,3.562890520420705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1291,3.6366283646143067,3.6366283646143067,3.415823684054626,0.0,0.0,0.0,3.5630268044277464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1475,3.6367937152957945,3.6367937152957945,3.415962306537799,0.0,0.0,0.0,3.563183245709796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.166,3.6369821816898873,3.6369821816898873,3.4161203063609706,0.0,0.0,0.0,3.5633615565802486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
