energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.1995796493373025,2.1862362351073217,2.1803779536894967,0.0,0.0,-0.001059191986455052,2.18873127937804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8057
0.0169,2.1995809070698265,2.1862374719192537,2.180379155821098,0.0,0.0,-0.0010591902438883245,2.188732511603393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.74644996279759,0.0,
0.0339,2.199584710100096,2.18624121169145,2.1803827907292552,0.0,0.0,-0.001059184974798218,2.1887362375069337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.82248243693044,0.0,
0.0508,2.1995910137457324,2.1862474104844587,2.1803888157053186,0.0,0.0,-0.001059176240921578,2.1887424133118363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.56810286560315,0.0,
0.0677,2.1995998330333153,2.186256083074473,2.180397245109017,0.0,0.0,-0.0010591640211563653,2.188751053738935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.31289613398988,0.0,
0.0847,2.1996112426590546,2.186267302914567,2.1804081503307042,0.0,0.0,-0.0010591482116027145,2.188762231968109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.38642744660876,0.0,
0.1016,2.1996251085695064,2.186280938180273,2.1804214032386082,0.0,0.0,-0.0010591289974978828,2.1887758166627957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.1287314518048,0.0,
0.1186,2.1996415950769426,2.186297150449685,2.180437160875113,0.0,0.0,-0.0010591061505225519,2.18879196880058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.1992013292494,0.0,
0.1355,2.199660508478904,2.186315749241191,2.1804552380946265,0.0,0.0,-0.0010590799383698765,2.1888104986049073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.9379074744983,0.0,
0.1524,2.199681938604791,2.186336822888589,2.180475720747495,0.0,0.0,-0.0010590502357094769,2.1888314940802918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.6744055246818,0.0,
0.1694,2.1997060349793394,2.186360518427733,2.1804987517385777,0.0,0.0,-0.0010590168343033537,2.1888551017152165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.7381985795755,0.0,
0.1863,2.1997325144906776,2.186386557454468,2.1805240604635143,0.0,0.0,-0.0010589801255083138,2.18888104413622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.4694349972968,0.0,
0.2032,2.1997615118473393,2.186415072434558,2.180551775664144,0.0,0.0,-0.0010589399214168155,2.1889094533153473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.1976329342896,0.0,
0.2202,2.199793221479791,2.18644625456188,2.1805820831615925,0.0,0.0,-0.001058895951099844,2.1889405197344214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.2522382521192,0.0,
0.2371,2.199827270827037,2.1864797374708456,2.1806146268557667,0.0,0.0,-0.001058848729747122,2.18897387838455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,781.9735065900744,0.0,
0.2541,2.199864063377268,2.186515917934763,2.1806497923786043,0.0,0.0,-0.0010587976962304082,2.189009924563545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0205803053555,0.0,
0.271,2.199903166849718,2.186554370861667,2.1806871665504444,0.0,0.0,-0.0010587434484966803,2.189048234753943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.7338029802016,0.0,
0.2879,2.199944790826413,2.1865953023441005,2.180726949669438,0.0,0.0,-0.0010586856941064945,2.189089014279984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.4425969375242,0.0,
0.3049,2.199989204674471,2.1866389772645305,2.180769399171697,0.0,0.0,-0.0010586240573287223,2.1891325270368998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.4762791269068,0.0,
0.3218,2.200035886569774,2.1866848824773353,2.180814016294252,0.0,0.0,-0.001058559260344822,2.189178261780454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.1753494964537,0.0,
0.3387,2.200085091038445,2.1867332682706326,2.1808610442871728,0.0,0.0,-0.0010584909478589674,2.1892264678654167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.8691528194536,0.0,
0.3557,2.2001371324408536,2.1867844437705317,2.1809107835841224,0.0,0.0,-0.0010584186810733613,2.1892774532651695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.886908549028,0.0,
0.3726,2.2001913993361875,2.1868378077060124,2.180962649770695,0.0,0.0,-0.0010583433067165363,2.189330618937632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.5693025971834,0.0,
0.3896,2.200248534793814,2.1868939924421937,2.181017257444986,0.0,0.0,-0.001058263929115316,2.1893865948936644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.5750137914672,0.0,
0.4065,2.2003078675226266,2.1869523378539153,2.1810739649916826,0.0,0.0,-0.0010581814783120857,2.189444723456075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.2448686801247,0.0,
0.4234,2.2003697270683977,2.187013167999112,2.1811330873529373,0.0,0.0,-0.0010580954938510325,2.189505327473482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.9080490691272,0.0,
0.4404,2.200434502911924,2.187076865872324,2.1811949967482085,0.0,0.0,-0.001058005431342606,2.189568788510819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451.8935779554781,0.0,
0.4573,2.2005014339950413,2.1871426830758094,2.1812589657709465,0.0,0.0,-0.0010579123460180706,2.1896343609472657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.542517541718,0.0,
0.4742,2.2005708949179974,2.187210987971075,2.181325352417769,0.0,0.0,-0.0010578157140906325,2.189702411768947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.1839315713516,0.0,
0.4912,2.2006433202878464,2.1872822079264798,2.1813945720293244,0.0,0.0,-0.0010577149275319351,2.189773366747884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1619.1467047286676,0.0,
0.5081,2.2007178591722427,2.187355506166895,2.181465811308244,0.0,0.0,-0.0010576111672196593,2.189846392215794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.7721649163198,0.0,
0.5251,2.200795394868477,2.1874317512821833,2.1815399144198793,0.0,0.0,-0.0010575032001610414,2.1899223535235133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.718312080995,0.0,
0.542,2.2008750164032396,2.1875100474564535,2.1816160106887077,0.0,0.0,-0.00105739229136214,2.1900003581828003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.326668252065,0.0,
0.5589,2.2009571736184403,2.1875908370382904,2.1816945300098007,0.0,0.0,-0.0010572778109205737,2.190080846888844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1841.9260661382218,0.0,
0.5759,2.2010423765015354,2.187674621518919,2.1817759597511674,0.0,0.0,-0.0010571590440969472,2.190164319257207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1897.8451252976843,0.0,
0.5928,2.2011296239980487,2.1877604165024565,2.181859343154094,0.0,0.0,-0.0010570373824287766,2.190249794551533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953.4256840394319,0.0,
