energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.6067116171258267,2.6067116171258267,2.6157133330418914,0.0,0.0,0.0,2.609712189097848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1152999999999995
0.0158,2.6067139843330915,2.6067139843330915,2.6157158493635935,0.0,0.0,0.0,2.6097146060099257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0315,2.606721026176835,2.606721026176835,2.615723334788839,0.0,0.0,0.0,2.60972179571417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0473,2.6067328325326704,2.6067328325326704,2.615735884865983,0.0,0.0,0.0,2.609733849977108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.063,2.606749254234898,2.606749254234898,2.615753341051442,0.0,0.0,0.0,2.609750616507079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0788,2.606770500875027,2.606770500875027,2.6157759261661724,0.0,0.0,0.0,2.609772309305409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,2.606796304015481,2.606796304015481,2.615803354895273,0.0,0.0,0.0,2.609798654308745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1103,2.6068269929839465,2.6068269929839465,2.6158359773551885,0.0,0.0,0.0,2.6098299877743605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1261,2.6068624191595493,2.6068624191595493,2.615873635611224,0.0,0.0,0.0,2.6098661579767746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1418,2.606902314294991,2.606902314294991,2.6159160445695635,0.0,0.0,0.0,2.609906891053182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1576,2.6069471875755976,2.6069471875755976,2.6159637455635267,0.0,0.0,0.0,2.6099527069049073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1733,2.6069964720570487,2.6069964720570487,2.6160161359932053,0.0,0.0,0.0,2.6100030267024343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1891,2.6070507967621297,2.6070507967621297,2.6160738846018092,0.0,0.0,0.0,2.61005849270869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2048,2.607109475334447,2.607109475334447,2.6161362618598827,0.0,0.0,0.0,2.6101184041762586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2206,2.607173256695037,2.607173256695037,2.616204063989178,0.0,0.0,0.0,2.6101835257930843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2364,2.6072417836505215,2.6072417836505215,2.6162769113846935,0.0,0.0,0.0,2.610253492895245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2521,2.6073145791697083,2.6073145791697083,2.616354297043638,0.0,0.0,0.0,2.6103278184610184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
