energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.573816526087004,2.527132985094762,2.5989189292203148,0.0,0.0,0.0,2.5666228134673603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.135
0.0149,2.57381943018244,2.527135736451199,2.5989219522622475,0.0,0.0,0.0,2.566625706298629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0298,2.573828142572288,2.52714399061706,2.5989310214980486,0.0,0.0,0.0,2.566634384895799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0447,2.573842663567199,2.5271577478819167,2.5989461372577676,0.0,0.0,0.0,2.566648849568961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0597,2.573863149754694,2.5271771565896533,2.598967462553958,0.0,0.0,0.0,2.566669256299435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0746,2.5738893287153477,2.5272019586377685,2.5989947138246485,0.0,0.0,0.0,2.5666953337259213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0895,2.5739213184629506,2.527232265818982,2.5990280139374873,0.0,0.0,0.0,2.5667271994064733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1044,2.5739591201385177,2.5272680791970066,2.599067364104793,0.0,0.0,0.0,2.566764854480106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1193,2.5740027350905947,2.527309400029039,2.5991127657593975,0.0,0.0,0.0,2.5668083002930104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1342,2.574052164875419,2.5273562297658883,2.5991642205548104,0.0,0.0,0.0,2.566857538398706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1491,2.574107411257092,2.5274085700521507,2.5992217303653797,0.0,0.0,0.0,2.5669125705582077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.164,2.5741684762078605,2.5274664227264685,2.5992852972866105,0.0,0.0,0.0,2.566973398740313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.179,2.5742358304746364,2.5275302337380476,2.5993554114020094,0.0,0.0,0.0,2.567040491871565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1939,2.574308578403767,2.527599154513844,2.5994311404101706,0.0,0.0,0.0,2.5671129577759273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2088,2.5743871520878034,2.5276735943767403,2.599512934164064,0.0,0.0,0.0,2.5671912268762025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2237,2.574471554335367,2.52775355594511,2.5996007956479525,0.0,0.0,0.0,2.567275301976143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2386,2.5745617881646226,2.527839042032663,2.599694728068725,0.0,0.0,0.0,2.56736518608867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2535,2.5746578568036194,2.5279300556487967,2.5997947348563795,0.0,0.0,0.0,2.567460882436265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2684,2.57475976369072,2.5280265999989817,2.5999008196643265,0.0,0.0,0.0,2.567562394451343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2834,2.5748682553650584,2.5281293822792215,2.6000137597218154,0.0,0.0,0.0,2.5676704657886984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2983,2.574981889153518,2.528237035678656,2.600132053286899,0.0,0.0,0.0,2.567783659373024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
