energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.271316024452576,3.45974055884232,4.107089700192985,0.0,0.0,0.0,3.946048761162627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3381999999999996
0.0154,4.271330963220464,3.4597512181330266,4.107105021479429,0.0,0.0,0.0,3.9460624009443066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0309,4.271376169338247,3.4597834741919407,4.1071513854759125,0.0,0.0,0.0,3.9461036763353667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0463,4.271451062968127,3.4598369134102547,4.10722819851004,0.0,0.0,0.0,3.94617205829614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0618,4.271556622586308,3.459912234174611,4.107336465845876,0.0,0.0,0.0,3.946268440868932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0772,4.271691494230739,3.4600084706732845,4.107474801167383,0.0,0.0,0.0,3.9463915886904686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0926,4.271856272244344,3.460126047364017,4.107643817097234,0.0,0.0,0.0,3.9465420455685316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1081,4.272052331355244,3.4602659456455815,4.107844927534048,0.0,0.0,0.0,3.946721068178291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1235,4.272277156819982,3.4604263716604287,4.108075557367829,0.0,0.0,0.0,3.9469263619494135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.139,4.272533685978735,3.460609422001985,4.108338724928611,0.0,0.0,0.0,3.9471606109697768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1544,4.272818628486997,3.460812749503543,4.108631060526765,0.0,0.0,0.0,3.9474208128391015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
