energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.9420163862102626,1.964839111528812,1.9516247016227424,0.0,0.0,0.0,1.9528267331206057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2766
0.0164,1.9420172752391494,1.964840031745636,1.9516255998668577,0.0,0.0,0.0,1.9528276356172143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0327,1.9420199206875695,1.9648427699988313,1.951628272736537,0.0,0.0,0.0,1.9528303211409792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0491,1.9420243550523075,1.9648473599253715,1.9516327530650779,0.0,0.0,0.0,1.952834822680919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0655,1.9420305675870295,1.964853790402202,1.9516390299941808,0.0,0.0,0.0,1.952841129327804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0818,1.9420385042662227,1.9648620055089014,1.951647048937541,0.0,0.0,0.0,1.952849186237555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0982,1.9420482625843283,1.964872106160636,1.9516569083991162,0.0,0.0,0.0,1.9528590923813602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1146,1.9420597994091073,1.9648840477126468,1.9516685647983398,0.0,0.0,0.0,1.9528708039733644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1309,1.9420730283209562,1.9648977407142902,1.9516819308184206,0.0,0.0,0.0,1.9528842332845555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1473,1.9420881118243285,1.9649133533717587,1.9516971706463557,0.0,0.0,0.0,1.9528995452808144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1637,1.9421049743956762,1.9649308075129515,1.9517142079738736,0.0,0.0,0.0,1.952916663294167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,1.9421234972104204,1.9649499801457173,1.9517329227428357,0.0,0.0,0.0,1.952935466699658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1964,1.942143907803588,1.9649711067886209,1.9517535448438434,0.0,0.0,0.0,1.9529561864786842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2128,1.9421660982508455,1.964994075732384,1.9517759652314366,0.0,0.0,0.0,1.9529787130715555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
