energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.016221992525818,4.032466681780129,3.6182200920572734,0.0,0.0,0.00654054968933777,3.88896958878774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.744
0.0163,4.016233936303953,4.0324787503616335,3.6182288832431846,0.0,0.0,0.00654059673248107,3.888980523302924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0325,4.016269475801046,4.032514661221853,3.618255041920588,0.0,0.0,0.006540736714004935,3.8890130596478287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0488,4.016329052230162,4.032574860191838,3.6182988926180037,0.0,0.0,0.006540971376449449,3.889067601680001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0651,4.016412523600162,4.03265920380941,3.6183603304475866,0.0,0.0,0.00654130016843626,3.8891440192857196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0814,4.016519895669656,4.0327676979111935,3.6184393591214383,0.0,0.0,0.00654172312369928,3.8892423175674296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0976,4.016650297542256,4.032899462522399,3.618535336973779,0.0,0.0,0.006542236825562526,3.889361699012811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1139,4.016805348126889,4.033056133497878,3.6186494547235077,0.0,0.0,0.006542847668808983,3.889503645449425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1302,4.016984326523776,4.03323698243746,3.6187811807936985,0.0,0.0,0.006543552834186861,3.8896674965849782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1464,4.017185927180311,4.03344069018101,3.6189295532157657,0.0,0.0,0.0065443472009139025,3.889852056859029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1627,4.017412652934821,4.033669785769074,3.619096412733068,0.0,0.0,0.0065452406577001555,3.8900596171456545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.179,4.01766334845718,4.0339231018451125,3.61928090761057,0.0,0.0,0.00654622868253354,3.890289119304287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1953,4.0179380310806145,4.034200655977132,3.6194830490179943,0.0,0.0,0.006547311377043897,3.8905405786919136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2115,4.01823481413248,4.034500541825659,3.6197014468693887,0.0,0.0,0.006548481339689365,3.890812267609176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2278,4.0185573821632055,4.034826482525853,3.619938810682971,0.0,0.0,0.006549753135066407,3.891107558457343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2441,4.018903999175614,4.03517672400098,3.6201938608965305,0.0,0.0,0.0065511199631049085,3.891424861357708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2603,4.019272341575125,4.035548918429914,3.620464885657243,0.0,0.0,0.006552572704977143,3.8917620485540936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2766,4.0196669823669104,4.035947686720279,3.620755247419112,0.0,0.0,0.006554129445861399,3.8921233055021003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2929,4.0200857490860304,4.0363708337739705,3.621063345143803,0.0,0.0,0.006555781671112032,3.8925066426679344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3091,4.020525879800429,4.036815568853619,3.621387144297107,0.0,0.0,0.00655751853637481,3.8929095309837187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3254,4.020992838843799,4.037287413552008,3.6217306621168808,0.0,0.0,0.006559361664356613,3.8933369715042296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3417,4.02148401596704,4.037783730415596,3.6220919752375305,0.0,0.0,0.006561300818190404,3.893786573873389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.358,4.02199944536717,4.038304554105203,3.622471105673397,0.0,0.0,0.006563336198958325,3.894258368381923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3742,4.022535777690814,4.038846500317625,3.6228655867022925,0.0,0.0,0.006565454644856874,3.894749288236911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3905,4.023099671776494,4.039416297706707,3.6232803125631214,0.0,0.0,0.006567682529934313,3.895265427348774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4068,4.023687930848016,4.040010716159628,3.62371292827442,0.0,0.0,0.006570007305224053,3.895803858427355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.423,4.0242967628533375,4.040625924036775,3.6241606416165335,0.0,0.0,0.006572414057969804,3.8963611095022155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4393,4.024933726889124,4.0412695597281,3.6246290073511167,0.0,0.0,0.006574932752499828,3.896944097989447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4556,4.025595184269781,4.041937946584445,3.625115345503926,0.0,0.0,0.006577549093623278,3.8975494921193836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4719,4.026281181396757,4.04263113163721,3.6256196859127026,0.0,0.0,0.006580263355031968,3.898177332982223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4881,4.026987331975443,4.043344682767578,3.6261387997673875,0.0,0.0,0.006583058266698542,3.8988236048368026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5044,4.0277224036296,4.044087459639355,3.6266791278376447,0.0,0.0,0.00658596862725213,3.899496330368867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5207,4.028482164645407,4.04485518635512,3.627237554334799,0.0,0.0,0.006588977791519357,3.9001916351117756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5369,4.029261780152323,4.045642977502678,3.62781052116018,0.0,0.0,0.0065920667041555765,3.900905092938394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5532,4.0300709301510755,4.046460614765758,3.628405137385835,0.0,0.0,0.006595273825889013,3.9016455607675558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5695,4.030904935385667,4.047303370001478,3.6290179585945466,0.0,0.0,0.0065985807324461816,3.902408754660564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5858,4.03176385493663,4.048171303093782,3.629649022722534,0.0,0.0,0.006601987773700331,3.903194726917649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.602,4.032642250810757,4.049058919150919,3.6302943293563543,0.0,0.0,0.0066054734850206735,3.9039984997726767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6183,4.033551029891099,4.049977239735583,3.6309618853508336,0.0,0.0,0.006609081270425746,3.9048300516591716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6346,4.03448491134678,4.050920928794297,3.6316478049614025,0.0,0.0,0.006612790305685452,3.905684548367494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6508,4.03543800115682,4.051884030589225,3.632347753685737,0.0,0.0,0.006616577297116093,3.906556595143927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6671,4.036422134015689,4.052878504347586,3.6330704165744816,0.0,0.0,0.006620489402677231,3.9074570183125856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6834,4.037431574354452,4.053898554477197,3.6338115746162694,0.0,0.0,0.00662450397687934,3.9083805678159727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6997,4.038466394546576,4.0549442543374745,3.634571274200675,0.0,0.0,0.006628621450416884,3.909327307694909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7159,4.039520086420989,4.056009027534072,3.635344731412719,0.0,0.0,0.006632816055452396,3.91029128178926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7322,4.040605734435612,4.057106096366194,3.636141543739765,0.0,0.0,0.006637140029716947,3.9112844581805235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7485,4.04171699076977,4.058229046509467,3.636957043966494,0.0,0.0,0.0066415682650700445,3.9123010270819107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7647,4.04284688212382,4.05937083149908,3.6377861082364484,0.0,0.0,0.006646073110956587,3.913334607286449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.781,4.044009439680349,4.060545630470132,3.6386390243340436,0.0,0.0,0.006650710672155221,3.914398031494842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7973,4.045197852050159,4.0617465606092935,3.6395107860947307,0.0,0.0,0.006655453967289548,3.915485066251394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8135,4.046404676378991,4.062966100895,3.640395926878004,0.0,0.0,0.006660273436887872,3.916588901383998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8298,4.047644899790838,4.064219396641031,3.6413054306539157,0.0,0.0,0.00666522910811835,3.917723242361928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8461,4.048911243023056,4.065499092181536,3.642233949542077,0.0,0.0,0.006670292100934016,3.91888142824889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8624,4.050203798807107,4.0668052815153946,3.643181542796575,0.0,0.0,0.006675462971903225,3.920063541039692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8786,4.051514490435726,4.06812980299363,3.644142281711741,0.0,0.0,0.006680709570750985,3.921262191713699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8949,4.052859595826965,4.0694891065934495,3.6451280889059965,0.0,0.0,0.006686097250842871,3.9224922637754704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9112,4.054231204302688,4.070875198492752,3.6461331559805785,0.0,0.0,0.006691594556235471,3.9237465195920063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9274,4.05562075797851,4.072279430705036,3.6471512039934844,0.0,0.0,0.006697167358639914,3.925017130892344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9437,4.057045514961488,4.073719243965781,3.648194867213633,0.0,0.0,0.006702885080087605,3.9263198753803006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.96,4.058497085374622,4.075186160120812,3.6492579882595892,0.0,0.0,0.006708714298763884,3.9276470779183406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9763,4.059975577401125,4.0766802888356946,3.650340636080086,0.0,0.0,0.006714655668560133,3.9289988341056348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9925,4.061471782546169,4.078192324510518,3.6514360589360177,0.0,0.0,0.006720672370430389,3.930366721997568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0088,4.06300428471477,4.0797410480280405,3.652557852041052,0.0,0.0,0.0067268393645100585,3.931767728261288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0251,4.064564046268526,4.081317326509025,3.6536993870192944,0.0,0.0,0.006733120555782821,3.9331935865989482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0413,4.066141364002869,4.082911354298647,3.654853553239607,0.0,0.0,0.006739477066190499,3.934635423847041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0576,4.0677558303138275,4.084542931728373,3.6560346755688835,0.0,0.0,0.006745988096501377,3.936111145870361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0739,4.069397915152249,4.0862024281947615,3.657235768191669,0.0,0.0,0.006752615506912247,3.93761203717956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0902,4.071067743367986,4.087889970263213,3.658456910445679,0.0,0.0,0.00675936005804093,3.9391382080256263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1064,4.072754941747116,4.089595075001341,3.659690506511558,0.0,0.0,0.006766180064529902,3.9406801744200046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1227,4.07448046910358,4.091338924066104,3.6609518680010424,0.0,0.0,0.006773160513041344,3.942257087056909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.139,4.076234128673617,4.093111212916854,3.662233525988494,0.0,0.0,0.006780260476949479,3.943859622526322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1552,4.078005036944875,4.094900942763979,3.663527515819379,0.0,0.0,0.006787436117868606,3.9454778318427444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
