energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7500755291225447,3.320167487766135,3.505121382448323,0.0,0.0,-0.020891565767628205,3.525121466445668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7077
0.0163,3.7500843680690576,3.3201740018953423,3.5051288719006335,0.0,0.0,-0.02089141129013856,3.525129080621678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.78938627896062,0.0,
0.0327,3.75011110263464,3.3201937047185726,3.5051515247196754,0.0,0.0,-0.020890944030921142,3.5251521106909625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0383809199094,0.0,
0.049,3.7501554082377737,3.3202263569538815,3.5051890658132763,0.0,0.0,-0.0208901695986659,3.5251902770016437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.8117916946112,0.0,
0.0653,3.7502173960701892,3.3202720404278434,3.505241589286215,0.0,0.0,-0.020889085943448033,3.525243675261416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.5692701153615,0.0,
0.0816,3.750297069497333,3.3203307574534513,3.505309097835244,0.0,0.0,-0.020887692857243872,3.5253123082620093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.305507379946,0.0,
0.098,3.750395084773562,3.3204029914517004,3.5053921473117104,0.0,0.0,-0.020885978669598116,3.525396741178991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1435.4795707145956,0.0,
0.1143,3.750510251908342,3.320487865174895,3.5054897291782234,0.0,0.0,-0.0208839639564171,3.52549594875382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674.1571549632895,0.0,
0.1306,3.7506431205431867,3.320585783380962,3.5056023088657358,0.0,0.0,-0.020881638828710556,3.525610404263295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.7974857608085,0.0,
0.147,3.7507946763556594,3.3206974721002886,3.5057307211972613,0.0,0.0,-0.02087898570770129,3.52574095655107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2152.858859642084,0.0,
0.1633,3.7509630793325446,3.3208215749303336,3.5058734067620105,0.0,0.0,-0.020876036439270215,3.525886020341629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2391.4083054861285,0.0,
0.1796,3.7511492084207365,3.3209587391572732,3.506031109867979,0.0,0.0,-0.020872775233081762,3.526046352481996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2629.904365252718,0.0,
0.1959,3.751353073742565,3.3211089717375355,3.5062038386256673,0.0,0.0,-0.02086920146217052,3.5262219613685892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2868.3416367030077,0.0,
0.2123,3.751576100773908,3.3212733225593176,3.506392800264362,0.0,0.0,-0.020865289624183946,3.526414074532529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3108.176898559491,0.0,
0.2286,3.7518155817992516,3.321449795677655,3.506595700089616,0.0,0.0,-0.020861086672652088,3.526620359188841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3346.4798563197314,0.0,
0.2449,3.7520728353276733,3.3216393620741056,3.506813654626252,0.0,0.0,-0.020856568907647425,3.5268419506760105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.7076513020606,0.0,
0.2613,3.7523496176607662,3.3218433152095477,3.5070481511981724,0.0,0.0,-0.02085170483007736,3.5270803613561625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3824.315550164901,0.0,
0.2776,3.752642568474907,3.3220591782067914,3.507296342165131,0.0,0.0,-0.02084655282195149,3.527332696282277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062.375949657491,0.0,
0.2939,3.7529533368682193,3.3222881654572425,3.507559623956632,0.0,0.0,-0.02084108320064619,3.527600375427364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.344568212801,0.0,
0.3103,3.753284010846373,3.322531814597725,3.5078397646944675,0.0,0.0,-0.020835258414754837,3.5278851967128553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4539.674835044829,0.0,
