energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4650780402064982,2.4338238587721372,2.443827169123824,0.0,0.0,-0.0035614012032312535,2.4475763560341535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2287
0.0156,2.4650803621395525,2.4338261046323115,2.443829384956566,0.0,0.0,-0.003561413498667584,2.4475786172428102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.35812968656147,0.0,
0.0311,2.4650872685623537,2.433832784780716,2.443835975789493,0.0,0.0,-0.0035614500709167836,2.4475853430441874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.11236542542338,0.0,
0.0467,2.4650988487864485,2.4338439855993212,2.4438470268464827,0.0,0.0,-0.0035615113940024577,2.4475966204107507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.47341145683237,0.0,
0.0622,2.465114954671899,2.433859563796069,2.443862396746133,0.0,0.0,-0.003561596685239206,2.447612305071367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.23247479856644,0.0,
0.0778,2.4651357944946994,2.4338797208150282,2.4438822842316337,0.0,0.0,-0.003561707050112425,2.4476325998471204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.6003223663327,0.0,
0.0933,2.4651611016615833,2.43390419878751,2.443906434873053,0.0,0.0,-0.003561841080002659,2.4476572451073824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.368074511473,0.0,
0.1089,2.465191203436643,2.4339333142421045,2.4439351609546156,0.0,0.0,-0.003562000512113832,2.4476865595444544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.7466109542455,0.0,
0.1245,2.4652259522935136,2.4339669244711652,2.443968321663191,0.0,0.0,-0.0035621845698715826,2.4477203994759567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.1319740378534,0.0,
0.14,2.465265081871128,2.4340047718248026,2.4440056627794577,0.0,0.0,-0.0035623918476968153,2.447758505491796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.920031878415,0.0,
0.1556,2.465309098180978,2.43404734571369,2.444047667149916,0.0,0.0,-0.003562625032190959,2.4478013703481944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.3219278207675,0.0,
0.1711,2.4653574381457846,2.4340941014910684,2.444093797393794,0.0,0.0,-0.0035628811471656863,2.4478484456768825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1035.1283483674836,0.0,
0.1867,2.4654107268834506,2.434145643764511,2.4441446500076105,0.0,0.0,-0.003563163512226723,2.447900340218524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.5506752635706,0.0,
0.2023,2.465468668945973,2.434201686741514,2.4441999429977743,0.0,0.0,-0.0035634705704898173,2.4479567662284203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.9847205218432,0.0,
0.2178,2.465530849891281,2.4342618295361067,2.4442592808178327,0.0,0.0,-0.0035638001343466794,2.4480173200817403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.8259970847887,0.0,
0.2334,2.4655980738261425,2.4343268498671327,2.4443234307488275,0.0,0.0,-0.0035641564754236277,2.448082784814034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.286339230299,0.0,
0.2489,2.4656694807929034,2.4343959159333304,2.4443915720940783,0.0,0.0,-0.0035645350456935876,2.448152322940104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.1556887394509,0.0,
0.2645,2.4657459942079,2.434469920843407,2.444464585971749,0.0,0.0,-0.0035649407519967222,2.4482268336743522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.6462443614741,0.0,
0.28,2.465826635279938,2.4345479178582243,2.4445415382863174,0.0,0.0,-0.003565368416273348,2.44830536380816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1694.547562901079,0.0,
0.2956,2.4659124468400653,2.434630915576135,2.444623424089813,0.0,0.0,-0.0035658235817209445,2.448388928835338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0722581644643,0.0,
0.3112,2.46600292601772,2.434718427570966,2.444709763431207,0.0,0.0,-0.003566303595256242,2.4484770390066313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883.6155601168725,0.0,
0.3267,2.4660974505838142,2.4348098519768326,2.4447999624709364,0.0,0.0,-0.003566805169129815,2.448569088343861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.5722238581513,0.0,
0.3423,2.466197242910807,2.4349063710280516,2.4448951875542524,0.0,0.0,-0.0035673348045742424,2.4486662671643704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2072.155581753437,0.0,
0.3578,2.4663010264198255,2.4350067499692547,2.444994220434091,0.0,0.0,-0.0035678857419015695,2.4487673322743904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2166.1540081482635,0.0,
0.3734,2.46641014322089,2.4351122868309165,2.4450983416868235,0.0,0.0,-0.0035684651222192857,2.4488735905795433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260.781377627242,0.0,
0.389,2.4665239418510514,2.4352223514648736,2.4452069295630863,0.0,0.0,-0.0035690695049408394,2.4489844076263374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355.432317736559,0.0,
0.4045,2.466641651126393,2.4353361979390202,2.445319248091123,0.0,0.0,-0.0035696948108861503,2.449099032385512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449.5008544780894,0.0,
