energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.8430754913449303,3.8430754913449303,2.6319000292766006,0.0,0.0,0.0,3.4393503373221535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1265
0.0155,3.8430875817090655,3.8430875817090655,2.63190368722407,0.0,0.0,0.0,3.439359616880734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.031,3.8431238536916776,3.8431238536916776,2.631914661232048,0.0,0.0,0.0,3.4393874562051345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0465,3.8431843099634024,3.8431843099634024,2.631932951797202,0.0,0.0,0.0,3.4394338572413354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.062,3.8432689549760473,3.8432689549760473,2.6319585597474484,0.0,0.0,0.0,3.439498823233181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0775,3.8433777949633994,3.8433777949633994,2.6319914862420246,0.0,0.0,0.0,3.439582358722941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.093,3.8435108379426923,3.8435108379426923,2.6320317327716882,0.0,0.0,0.0,3.4396844695523576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1084,3.843667001537288,3.843667001537288,2.632078970795229,0.0,0.0,0.0,3.439804324623269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1239,3.843848325367472,3.843848325367472,2.6321338159354193,0.0,0.0,0.0,3.4399434888901212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1394,3.8440538868688923,3.8440538868688923,2.6321959875576404,0.0,0.0,0.0,3.440101253765141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1549,3.84428370120201,3.84428370120201,2.6322654884794865,0.0,0.0,0.0,3.4402776302945024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1704,3.844537785323175,3.844537785323175,2.6323423218517794,0.0,0.0,0.0,3.44047263083271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1859,3.84481615798845,3.84481615798845,2.6324264911590314,0.0,0.0,0.0,3.4406862690453104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2014,3.845118839757443,3.845118839757443,2.6325180002200543,0.0,0.0,0.0,3.4409185599116463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2169,3.845445852997994,3.845445852997994,2.63261685318849,0.0,0.0,0.0,3.4411695197281595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2324,3.8457972218909227,3.8457972218909227,2.632723054553538,0.0,0.0,0.0,3.441439166111794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2479,3.846172972435271,3.846172972435271,2.6328366091406306,0.0,0.0,0.0,3.441727518003724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2634,3.8465731324540617,3.8465731324540617,2.6329575221122186,0.0,0.0,0.0,3.4420345956734475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2789,3.8469977316002884,3.8469977316002884,2.6330857989685343,0.0,0.0,0.0,3.442360420723037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2944,3.8474468013634353,3.8474468013634353,2.6332214455485814,0.0,0.0,0.0,3.4427050160918173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3098,3.8479172411530826,3.8479172411530826,2.6333635216517783,0.0,0.0,0.0,3.4430660013193144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3253,3.8484151955655035,3.8484151955655035,2.633513878905437,0.0,0.0,0.0,3.4434480900121485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3408,3.8489377259080366,3.8489377259080366,2.633671625396085,0.0,0.0,0.0,3.4438490257373857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3563,3.849484871077001,3.849484871077001,2.633836768325093,0.0,0.0,0.0,3.444268836826365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3718,3.850056671843691,3.850056671843691,2.634009315237733,0.0,0.0,0.0,3.444707552975038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3873,3.850653170863392,3.850653170863392,2.634189274024398,0.0,0.0,0.0,3.445165205250394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4028,3.8512744126848,3.8512744126848,2.6343766529218313,0.0,0.0,0.0,3.445641826097144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4183,3.8519204437598846,3.8519204437598846,2.6345714605144694,0.0,0.0,0.0,3.4461374493447465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4338,3.85259131245415,3.85259131245415,2.6347737057358507,0.0,0.0,0.0,3.446652110214717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4493,3.853287069057383,3.853287069057383,2.6349833978700046,0.0,0.0,0.0,3.4471858453282564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4648,3.854007765794862,3.854007765794862,2.6352005465529995,0.0,0.0,0.0,3.4477386927142413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4803,3.854753456838957,3.854753456838957,2.635425161774506,0.0,0.0,0.0,3.4483106918174733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4958,3.8555241983213113,3.8555241983213113,2.6356572538793546,0.0,0.0,0.0,3.4489018835073257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5112,3.856314833229382,3.856314833229382,2.635895263872853,0.0,0.0,0.0,3.4495083101105393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5267,3.8571356893081976,3.8571356893081976,2.636142293793733,0.0,0.0,0.0,3.4501378908033757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5422,3.8579817756965658,3.8579817756965658,2.6363968337061285,0.0,0.0,0.0,3.450786795033087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5577,3.8588531564804187,3.8588531564804187,2.636658895390835,0.0,0.0,0.0,3.451455069450558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5732,3.859749897772436,3.859749897772436,2.6369284909929434,0.0,0.0,0.0,3.4521427621792715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5887,3.8606720677271897,3.8606720677271897,2.6372056330237514,0.0,0.0,0.0,3.4528499228260436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6042,3.8616197365564116,3.8616197365564116,2.637490334362914,0.0,0.0,0.0,3.4535766024919123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
