energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.982423031362573,2.0923088474512115,2.117656308423406,0.0,0.0,0.014822556368749342,2.0641293957457303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2553
0.0173,1.9824241579915232,2.0923101434176443,2.117657669720455,0.0,0.0,0.01482257534881053,2.0641306570432074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0346,1.9824275378978986,2.0923140313408255,2.1176617536372584,0.0,0.0,0.014822632289408604,2.064134440958661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0518,1.9824331321030653,2.0923204663877737,2.1176685130823962,0.0,0.0,0.014822726534132427,2.064140703857745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0691,1.9824410057528912,2.0923295235033974,2.1176780267815727,0.0,0.0,0.014822859180910529,2.064149518679287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0864,1.9824511329718768,2.0923411729331436,2.11769026348416,0.0,0.0,0.014823029794422302,2.0641608564630602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1037,1.9824635139354072,2.09235541489186,2.117705223420792,0.0,0.0,0.014823238378392958,2.06417471741602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1209,1.9824780577858414,2.0923721448806347,2.117722796830411,0.0,0.0,0.014823483403050779,2.0641909998322956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1382,1.982494933889845,2.0923915577431007,2.1177431883865734,0.0,0.0,0.014823767722875508,2.0642098933398394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1555,1.9825140644970263,2.0924135640638344,2.1177663041744337,0.0,0.0,0.01482409002927375,2.0642313109117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1728,1.98253544993877,2.092438164248815,2.1177921446298056,0.0,0.0,0.014824450329285277,2.0642552529391303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1901,1.9825590905855768,2.0924653587518884,2.117820710239932,0.0,0.0,0.014824848630780159,2.064281719859132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2073,1.9825848306753806,2.0924949684250453,2.117851812835608,0.0,0.0,0.014825282311188636,2.064310537312011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2246,1.982612969958021,2.0925273381137695,2.117885814662101,0.0,0.0,0.014825756422791134,2.0643420409112974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2419,1.9826433657890028,2.0925623037661953,2.117922543409998,0.0,0.0,0.014826268564415504,2.064376070988399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2592,1.9826760186951713,2.0925998660277623,2.117961999772223,0.0,0.0,0.014826818747255398,2.064412628165052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2764,1.9827107209591004,2.0926397859910866,2.118003932809609,0.0,0.0,0.014827403473760927,2.064451479919932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2937,1.9827478766977467,2.0926825285796413,2.118048830907753,0.0,0.0,0.014828029555874575,2.0644930787283804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.311,1.9827872913236155,2.0927278699973613,2.118096459003591,0.0,0.0,0.014828693717708197,2.064537206774856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3283,1.9828289655203262,2.0927758110818195,2.1181468179963154,0.0,0.0,0.014829395973789478,2.0645838648661536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3456,1.9828729000108054,2.092826352718789,2.1181999088368935,0.0,0.0,0.014830136339483045,2.064633053855496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
