energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.355140519265628,3.546253582838866,3.495988661150601,0.0,0.0,0.0742193901833679,3.465794254418365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3465000000000003
0.0153,3.3551495485336655,3.5462637666577366,3.4959981240464075,0.0,0.0,0.07422014724473326,3.4658038130792694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0306,3.355176637143202,3.546294319003786,3.4960265135222492,0.0,0.0,0.07422241851819808,3.4658324898897455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0458,3.3552214337630453,3.54634484356606,3.496073461210107,0.0,0.0,0.0742261746106097,3.465879912846404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0611,3.3552845318237416,3.546416009560142,3.496139588759164,0.0,0.0,0.07423146538821014,3.465946710047682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0764,3.355365701270567,3.546507557382226,3.496224654677163,0.0,0.0,0.07423827171433532,3.4660326377766517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0917,3.3554649493493924,3.546619495033753,3.4963286660559167,0.0,0.0,0.07424659439297548,3.466137703479687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1069,3.3555814592791062,3.546750901098435,3.496450766315308,0.0,0.0,0.07425636516511723,3.466261042230949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1222,3.3557167745053778,3.5469035161097944,3.496592572235598,0.0,0.0,0.07426771374980574,3.4664042876169234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1375,3.3558701997302993,3.5470765555862322,3.4967533543135785,0.0,0.0,0.07428058216750646,3.4665667032100367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
