energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.1974584859990305,4.1974584859990305,2.4646487256980114,0.0,0.0,0.0,3.619855232565358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1931
0.0157,4.197485759259246,4.197485759259246,2.4646526555355974,0.0,0.0,0.0,3.619874724684697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0315,4.1975682793076485,4.1975682793076485,2.4646645456668046,0.0,0.0,0.0,3.6199337014273674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0472,4.197705014396707,4.197705014396707,2.464684246583645,0.0,0.0,0.0,3.620031425125686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.063,4.197897727921954,4.197897727921954,2.4647120109351928,0.0,0.0,0.0,3.6201691555930338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0787,4.198144010402373,4.198144010402373,2.464747489610171,0.0,0.0,0.0,3.620345170138306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,4.1984470380308405,4.1984470380308405,2.464791137597274,0.0,0.0,0.0,3.620561737886318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1102,4.198803022119582,4.198803022119582,2.464842406066225,0.0,0.0,0.0,3.620816150101796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.126,4.199216553693251,4.199216553693251,2.464901952503213,0.0,0.0,0.0,3.6211116866299053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1417,4.199682462538814,4.199682462538814,2.464969028176949,0.0,0.0,0.0,3.621444651084859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1575,4.200206757456387,4.200206757456387,2.4650444932994677,0.0,0.0,0.0,3.621819336070747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1732,4.200782883540027,4.200782883540027,2.465127398989865,0.0,0.0,0.0,3.6222310553566395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.189,4.201418271224009,4.201418271224009,2.465218808485207,0.0,0.0,0.0,3.622685116977742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2047,4.20210497688709,4.20210497688709,2.46531757243943,0.0,0.0,0.0,3.6231758420712032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2205,4.20285185737836,4.20285185737836,2.465424957485201,0.0,0.0,0.0,3.623709557413974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2362,4.203649575477214,4.203649575477214,2.465539613428271,0.0,0.0,0.0,3.6242795881275662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,4.2045084201594065,4.2045084201594065,2.465663010739383,0.0,0.0,0.0,3.6248932836860654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2677,4.205417654850649,4.205417654850649,2.4657935979251677,0.0,0.0,0.0,3.6255429692088215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2835,4.206389007306899,4.206389007306899,2.46593304980947,0.0,0.0,0.0,3.6262370214744224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2992,4.207410334965619,4.207410334965619,2.466079613080245,0.0,0.0,0.0,3.626966761003828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.315,4.208494811970923,4.208494811970923,2.466235167502915,0.0,0.0,0.0,3.6277415971482534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3307,4.209628882245362,4.209628882245362,2.4663977573577807,0.0,0.0,0.0,3.628551840616168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3465,4.2108271748979,4.2108271748979,2.46656946801468,0.0,0.0,0.0,3.6294079392701604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3622,4.212074711904501,4.212074711904501,2.46674814068706,0.0,0.0,0.0,3.630299188165354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.378,4.213387586900693,4.213387586900693,2.466936067087344,0.0,0.0,0.0,3.6312370802962435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3937,4.214749390563794,4.214749390563794,2.467130884631695,0.0,0.0,0.0,3.6322098885864276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4095,4.216177691621214,4.216177691621214,2.4673350921899377,0.0,0.0,0.0,3.633230158477455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4252,4.217654639162783,4.217654639162783,2.467546122578253,0.0,0.0,0.0,3.634285133634606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.441,4.219199288596764,4.219199288596764,2.4677666827164986,0.0,0.0,0.0,3.6353884199700084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4567,4.220792336181331,4.220792336181331,2.4679939999446288,0.0,0.0,0.0,3.6365262241024303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4725,4.222454336640994,4.222454336640994,2.468230990204563,0.0,0.0,0.0,3.6377132211621834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
