energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.1797756526302807,2.170828844837711,2.039005444365658,0.0,0.0,0.0,2.1298699806112165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.531500000000001
0.0167,2.1797770411692454,2.1708302083401403,2.039006563063297,0.0,0.0,0.0,2.129871270857561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0335,2.1797812401212258,2.1708343315812795,2.0390099460103372,0.0,0.0,0.0,2.1298751725709475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0502,2.1797881995788257,2.1708411655530284,2.0390155529897633,0.0,0.0,0.0,2.1298816393738726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.067,2.1797980030234934,2.1708507922306257,2.0390234512453866,0.0,0.0,0.0,2.129890748833169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0837,2.17981053393462,2.1708630971931493,2.03903354688149,0.0,0.0,0.0,2.129902392669753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1004,2.1798258425899113,2.1708781298100366,2.0390458803798523,0.0,0.0,0.0,2.129916617593267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1172,2.1798440459533093,2.1708960049340758,2.039060545941715,0.0,0.0,0.0,2.129933532276367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1339,2.1798649276655047,2.17091651010484,2.0390773692205526,0.0,0.0,0.0,2.1299529356636326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1507,2.179888738211056,2.1709398912872526,2.0390965519760096,0.0,0.0,0.0,2.1299750604914394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1674,2.179915194585578,2.170965870576996,2.0391178661605,0.0,0.0,0.0,2.129999643774358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1841,2.179944430703958,2.1709945794705603,2.0391414196087325,0.0,0.0,0.0,2.13002680992775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2009,2.1799766472153657,2.1710262149946455,2.03916737390857,0.0,0.0,0.0,2.1300567453728605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2176,2.1800114612050936,2.1710604011355903,2.03919542051137,0.0,0.0,0.0,2.130089094284018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2344,2.180049290281395,2.171097547965563,2.0392258957770717,0.0,0.0,0.0,2.130124244674677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2511,2.1800896848207127,2.1711372139648435,2.0392584374112346,0.0,0.0,0.0,2.1301617787322638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2678,2.1801328624398426,2.1711796128200893,2.0392932206468197,0.0,0.0,0.0,2.1302018986355837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2846,2.180179107570084,2.1712250238263437,2.039330474526108,0.0,0.0,0.0,2.1302448686408453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3013,2.1802278705580243,2.1712729072380346,2.039369756169808,0.0,0.0,0.0,2.130290177988622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3181,2.180279736336815,2.1713238374307,2.039411536679012,0.0,0.0,0.0,2.1303383701488428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3348,2.180334088448424,2.171377209059318,2.0394553193614726,0.0,0.0,0.0,2.130388872289738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3515,2.180391228316801,2.1714333181033068,2.0395013469220196,0.0,0.0,0.0,2.130441964447376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3683,2.1804515242928777,2.1714925262601,2.0395499159535593,0.0,0.0,0.0,2.1304979888355127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.385,2.180514259721182,2.1715541297954766,2.0396004490614965,0.0,0.0,0.0,2.1305562795260515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4018,2.180580187141847,2.171618867663316,2.039653552285581,0.0,0.0,0.0,2.130617535696915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4185,2.180648522966889,2.1716859704052354,2.039708594328586,0.0,0.0,0.0,2.13068102923357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4352,2.180719652573307,2.1717558164356454,2.039765885469256,0.0,0.0,0.0,2.130747118159403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.452,2.1807940284099705,2.1718288500281844,2.039825789975855,0.0,0.0,0.0,2.1308162228046696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4687,2.180870766475582,2.1719042031248046,2.0398875956975,0.0,0.0,0.0,2.130887521765962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4854,2.180950302585912,2.171982303665981,2.039951653501981,0.0,0.0,0.0,2.130961419917958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5022,2.181033139731083,2.1720636455513676,2.0400183683183233,0.0,0.0,0.0,2.1310383845335914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5189,2.1811182933437596,2.1721472619743563,2.040086947034969,0.0,0.0,0.0,2.1311175007843617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5357,2.1812067848848278,2.1722341559446408,2.0401582121138495,0.0,0.0,0.0,2.131199717647773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5524,2.1812975625824884,2.1723232946663638,2.0402313163502344,0.0,0.0,0.0,2.1312840578663623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5691,2.1813911465240583,2.1724151888254415,2.040306678408511,0.0,0.0,0.0,2.1313710045860037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5859,2.1814881241683626,2.1725104152591443,2.040384771152258,0.0,0.0,0.0,2.1314611035265885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6026,2.1815873428837973,2.1726078421366632,2.0404646662102897,0.0,0.0,0.0,2.131553283743583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6194,2.1816899928532867,2.1727086381330514,2.040547321763308,0.0,0.0,0.0,2.131648650916549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
