energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.331550284220377,2.2347151209556433,2.2799356602847434,0.0,0.0,0.0,2.2820670218202546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5184999999999995
0.016,2.331552222769189,2.2347168115671527,2.2799374563958152,0.0,0.0,0.0,2.2820688302440524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.032,2.331558038459928,2.2347218834395544,2.2799428447698937,0.0,0.0,0.0,2.282074255556459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0481,2.3315678041992793,2.2347304001524897,2.2799518929560127,0.0,0.0,0.0,2.2820833657692607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0641,2.3315813988968026,2.234742256098933,2.2799644887599335,0.0,0.0,0.0,2.2820960479185564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0801,2.3315988714034837,2.234757493876467,2.2799806774416713,0.0,0.0,0.0,2.282112347573874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0961,2.3316202221189464,2.234776113826578,2.2800004593694516,0.0,0.0,0.0,2.2821322651049925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1121,2.331645451531545,2.234798116366594,2.2800238349932758,0.0,0.0,0.0,2.282155800963805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1281,2.331674560218385,2.2348235019897125,2.2800508048449304,0.0,0.0,0.0,2.2821829556843425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1442,2.3317077672264626,2.2348524617142878,2.2800815718728926,0.0,0.0,0.0,2.2822139336045475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1602,2.3317446608053234,2.2348846364408175,2.28011575457745,0.0,0.0,0.0,2.2822483506078637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1762,2.3317854359283636,2.234920196190272,2.2801535336015206,0.0,0.0,0.0,2.2822863885733855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1922,2.331830093528807,2.2349591417601675,2.2801949098050542,0.0,0.0,0.0,2.282328048364676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2082,2.331878634628848,2.235001474024066,2.280239884130003,0.0,0.0,0.0,2.282373330927639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2243,2.331931400218283,2.2350474903357913,2.2802887725045595,0.0,0.0,0.0,2.2824225543528778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2403,2.3319877360309675,2.2350966200956757,2.280340968732003,0.0,0.0,0.0,2.2824751082862154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2563,2.3320479589531553,2.2351491396345704,2.2803967664074207,0.0,0.0,0.0,2.2825312883317155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2723,2.332112070364519,2.2352050501315412,2.280456166802186,0.0,0.0,0.0,2.2825910957660818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2883,2.332180071734114,2.235264352842078,2.2805191712700923,0.0,0.0,0.0,2.2826545319487614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3044,2.3322524261915207,2.235327451623834,2.280586208900628,0.0,0.0,0.0,2.2827220289053276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3204,2.3323282365807443,2.2353935640572384,2.2806564484553293,0.0,0.0,0.0,2.2827927496977707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3364,2.3324079418842474,2.2354630729397584,2.2807302966504217,0.0,0.0,0.0,2.282867103824809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3524,2.332491543930465,2.2355359798340526,2.2808077551709616,0.0,0.0,0.0,2.282945092978493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3684,2.3325790446378747,2.2356122863797183,2.280888825784965,0.0,0.0,0.0,2.283026718934186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3844,2.3326704460150305,2.235691994293388,2.2809735103435322,0.0,0.0,0.0,2.28311198355065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4005,2.3327663580886426,2.23577563551833,2.281062374033172,0.0,0.0,0.0,2.283201455880048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4165,2.3328655916053336,2.23586217291422,2.281154314985579,0.0,0.0,0.0,2.2832940265017108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4325,2.3329687323742547,2.235952117303944,2.2812498759491344,0.0,0.0,0.0,2.2833902418757774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4485,2.3330757827665165,2.2360454707140605,2.2813490591091723,0.0,0.0,0.0,2.283490104196583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4645,2.3331867452440944,2.2361422352488303,2.2814518667348453,0.0,0.0,0.0,2.28359361574259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4806,2.333302352657242,2.2362430499398234,2.2815589778042638,0.0,0.0,0.0,2.283701460133776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4966,2.3334211715473527,2.236346664702756,2.2816690641953548,0.0,0.0,0.0,2.283812300148488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5126,2.333543910473173,2.236453697385657,2.2817827823799726,0.0,0.0,0.0,2.2839267967462678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5286,2.333670572262532,2.236564150405597,2.2819001349646673,0.0,0.0,0.0,2.2840449525442654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
