energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.217486778722919,2.844281820877307,3.097387535171028,0.0,0.0,0.0,3.0530520449237515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5121
0.0145,3.217495432603783,2.8442888366897043,3.097395427049925,0.0,0.0,0.0,3.0530598987811373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.029,3.2175213949177355,2.8443098847421897,3.0974191033126663,0.0,0.0,0.0,3.0530834609908637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0435,3.2175646676791527,2.8443449668808767,3.097458565837627,0.0,0.0,0.0,3.0531227334658855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.058,3.217625254245791,2.8443940861831343,3.097513817755906,0.0,0.0,0.0,3.053177719394944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0725,3.2177031593197287,2.844457246958509,3.09758486345224,0.0,0.0,0.0,3.053248423243493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0869,3.217797672848535,2.8445338741637656,3.0976710555141684,0.0,0.0,0.0,3.0533342008421562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1014,3.217910114867449,2.8446250388003333,3.0977735979053116,0.0,0.0,0.0,3.053436250524365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1159,3.218039897513847,2.8447302651859143,3.09789195470225,0.0,0.0,0.0,3.053554039134004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,3.2181870308725116,2.844849562565688,3.098026135309617,0.0,0.0,0.0,3.0536875762492723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1449,3.2183515263816,2.844982941426449,3.0981761503944685,0.0,0.0,0.0,3.053836872734173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1594,3.218533396835481,2.845130413499589,3.0983420118889,0.0,0.0,0.0,3.054001940741323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1739,3.218732656387943,2.845291991764359,3.098523732993157,0.0,0.0,0.0,3.054182793715153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1884,3.218949320555615,2.8454676904515908,3.0987213281790043,0.0,0.0,0.0,3.0543794463954033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2029,3.219183406221921,2.845657525047594,3.098934813193461,0.0,0.0,0.0,3.054591914820992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2174,3.219434931641204,2.845861512298611,3.099164205062782,0.0,0.0,0.0,3.0548202163341984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2319,3.2197039164432666,2.8460796702155218,3.0994095220969204,0.0,0.0,0.0,3.0550643695852364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2464,3.219990381638309,2.846312018078884,3.099670783894163,0.0,0.0,0.0,3.0553243945371187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2608,3.2202921932996382,2.8465568273292625,3.0999460447087355,0.0,0.0,0.0,3.0555983551125454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2753,3.220613566901575,2.846817519802136,3.1002391496662254,0.0,0.0,0.0,3.0558900787899788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2898,3.22095249208488,2.8470924675741154,3.1005482657976655,0.0,0.0,0.0,3.056197741818887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
