energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4835496838196445,2.4423891916772478,2.46101263540049,0.0,0.0,0.011724122303230975,2.4623171702991278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0501000000000005
0.0162,2.4835522255489035,2.4423916831005243,2.4610151661618413,0.0,0.0,0.011724151016869449,2.4623196916037564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0325,2.4835599136693984,2.4423992190571013,2.4610228211070426,0.0,0.0,0.011724237868987235,2.462327317944514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0487,2.483572654078062,2.4424117073052614,2.4610355065391314,0.0,0.0,0.011724381797278607,2.4623399559741515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0649,2.4835904786322485,2.4424291790699972,2.461053254178017,0.0,0.0,0.011724583162909466,2.462357637293421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0812,2.4836135450717993,2.4424517889664155,2.4610762210829455,0.0,0.0,0.01172484374970005,2.4623805183737204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0974,2.4836415710621944,2.4424792602447365,2.461104126137779,0.0,0.0,0.011725160370362192,2.4624083191482367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1136,2.483674683259721,2.4425117170502455,2.4611370954523255,0.0,0.0,0.011725534458559103,2.462441165254097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1299,2.4837131342542906,2.4425494069683262,2.4611753805266625,0.0,0.0,0.01172596887135749,2.4624793072497595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1461,2.4837564534040646,2.4425918686670687,2.46121851274991,0.0,0.0,0.011726458295374413,2.4625222782736813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1623,2.483804862198941,2.442639319245943,2.461266712656366,0.0,0.0,0.011727005237277745,2.46257029803375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1786,2.4838587081478707,2.4426920993277816,2.4613203262555348,0.0,0.0,0.011727613628388965,2.462623711243729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1948,2.48391733217505,2.4427495628750204,2.4613786973157077,0.0,0.0,0.011728276027374538,2.462681864121926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2111,2.4839814598133256,2.442812421049515,2.461442548239166,0.0,0.0,0.01172900063805746,2.4627454763673353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2273,2.484050306139734,2.4428799044570164,2.461511097490053,0.0,0.0,0.011729778597613164,2.462813769362268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2435,2.484124250912975,2.4429523853283475,2.4615847231885093,0.0,0.0,0.011730614203946369,2.462887119809944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2598,2.484203800129281,2.443030359630744,2.461663929147517,0.0,0.0,0.011731513182813928,2.4629660296358473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.276,2.484287980107639,2.4431128729481832,2.4617477458876307,0.0,0.0,0.011732464538691069,2.463049532981151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2922,2.484377265660063,2.4432003906798005,2.461836646172136,0.0,0.0,0.01173347364569857,2.4631381008373334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3085,2.4844722580130623,2.4432935021337334,2.461931228633352,0.0,0.0,0.011734547308399535,2.463232329593383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3247,2.484571794465153,2.443391067616175,2.4620303355868893,0.0,0.0,0.011735672394723241,2.4633310658894056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3409,2.4846764450118375,2.4434936458214844,2.462134534568789,0.0,0.0,0.011736855356909673,2.463434875134037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
