energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8453025479915954,2.739677278374825,2.8294622120346946,0.0,0.0,0.03451953534512702,2.8048140128003713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2629
0.0164,2.8453066181197024,2.7396811857350736,2.829466408861105,0.0,0.0,0.03451968820241361,2.8048180709052937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0328,2.8453188286549285,2.7396929079681804,2.8294789995025216,0.0,0.0,0.034520146783174346,2.8048302453752103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0492,2.8453391800500345,2.7397124455312074,2.8294999844454987,0.0,0.0,0.034520911114108745,2.8048505366755805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0656,2.8453676730597017,2.739739799185993,2.8295293645010418,0.0,0.0,0.0345219812397232,2.804878945582246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0819,2.8454040606758695,2.7397747318529557,2.8295668850163485,0.0,0.0,0.03452334790523878,2.8049152258483914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0983,2.845448790723272,2.7398176735175954,2.829613007817639,0.0,0.0,0.03452502795923457,2.8049598240195017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1147,2.8455016664505983,2.7398684353780345,2.8296675301003416,0.0,0.0,0.0345270140476827,2.805012543976325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1311,2.8455626898194484,2.7399270194145746,2.829730453972491,0.0,0.0,0.034529306286291236,2.8050733877355047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1475,2.845631863094053,2.739993427913082,2.8298017818674177,0.0,0.0,0.034531904808631955,2.805142357624851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1639,2.845709188841549,2.740067663465256,2.829881516543967,0.0,0.0,0.034534809766160704,2.80521945628359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1803,2.845794669932255,2.7401497289689067,2.829969661086811,0.0,0.0,0.03453802132823881,2.8053046866626574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1967,2.8458883095399665,2.7402396276283385,2.8300662189068952,0.0,0.0,0.034541539682159485,2.8053980520250668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2131,2.84599011114235,2.7403373629546985,2.8301711937416933,0.0,0.0,0.03454536503317394,2.805499555946247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2294,2.846099383236563,2.7404422712451026,2.8302838726910604,0.0,0.0,0.034549471474505045,2.8056085090575755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2458,2.8462174706493526,2.7405556438220433,2.8304056426874937,0.0,0.0,0.03455390963192015,2.8057262523862967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2622,2.846343732289146,2.740676865416691,2.8305358428453156,0.0,0.0,0.03455865550861969,2.805852146850384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2786,2.8464781728512896,2.7408059407700964,2.8306744782110065,0.0,0.0,0.03456370938191108,2.8059861972774645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.295,2.846620797337223,2.740942874932589,2.830821554160102,0.0,0.0,0.034569071547240315,2.806128408809972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3114,2.846771611055039,2.7410876732643152,2.8309770763978577,0.0,0.0,0.03457474231823403,2.8062787869057373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3278,2.8469306196200597,2.741240341435896,2.831141050959895,0.0,0.0,0.0345807220267472,2.806437337338617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3442,2.847097828955476,2.7414008854290772,2.8313134842128234,0.0,0.0,0.03458701102291279,2.806604066199126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3606,2.8472732452930014,2.741569311537382,2.831494382855042,0.0,0.0,0.03459360967519307,2.806778979895142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3769,2.847455730576892,2.7417445273584247,2.8316825735281856,0.0,0.0,0.03460047530394837,2.806960943821167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3933,2.8476475307055322,2.7419286896629655,2.831880372646125,0.0,0.0,0.034607692553198774,2.8071521976715412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4097,2.847847558344945,2.7421207547967525,2.832086659199039,0.0,0.0,0.03461522067185202,2.807351657446912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4261,2.84805582096625,2.7423207303064556,2.832301441218358,0.0,0.0,0.0346230601021533,2.8075593308303546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4425,2.848272326352874,2.7425286240546187,2.832524727071516,0.0,0.0,0.034631211304979266,2.8077752258263367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4589,2.848497082601436,2.7427444442205955,2.832756525462859,0.0,0.0,0.03463967475990858,2.80799935076163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4753,2.8487300981226404,2.7429681993014747,2.8329968454346863,0.0,0.0,0.03464845096529228,2.808231714286267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4917,2.848971381642209,2.743199898113148,2.833245696368275,0.0,0.0,0.03465754043832932,2.808472325374544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5081,2.849220942201865,2.7434395497912965,2.833503087984921,0.0,0.0,0.03466694371514422,2.8087211933260274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5245,2.8494787891603286,2.743687163792476,2.8337690303471232,0.0,0.0,0.03467666135086873,2.8089783277666425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5408,2.84974328421233,2.743941167266259,2.8340418340944216,0.0,0.0,0.03468663179003014,2.8092420951910033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5572,2.850017682640172,2.74420468686915,2.834324857204839,0.0,0.0,0.034696977959633335,2.809515742238054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
