energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,5.541442762728512,5.8193235370669285,5.760130356128889,0.0,0.0,0.0,5.706965551974776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7203
0.0138,5.541476002384201,5.819362637833146,5.760166190878523,0.0,0.0,0.0,5.70700161036529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0276,5.541575725957286,5.819479946139535,5.76027370048662,0.0,0.0,0.0,5.707109790861146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0413,5.541740503528058,5.81967378166364,5.760451344553613,0.0,0.0,0.0,5.7072885432484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0551,5.541972763476631,5.819947003950392,5.760701743032953,0.0,0.0,0.0,5.707540503486658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0689,5.542271576206784,5.820298523604977,5.76102389650329,0.0,0.0,0.0,5.7078646654383505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0827,5.54263698316791,5.820728394698348,5.761417853203202,0.0,0.0,0.0,5.7082610770231526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0965,5.543069035073369,5.821236683390413,5.761883672159509,0.0,0.0,0.0,5.70872979687443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1102,5.543563937650428,5.82181893334708,5.762417267550503,0.0,0.0,0.0,5.709266712849337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.124,5.544128984617605,5.822483734419325,5.763026509266548,0.0,0.0,0.0,5.709879742767826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1378,5.544760883901983,5.823227223669706,5.763707854685794,0.0,0.0,0.0,5.710565320752494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1516,5.545459723478406,5.8240495159087855,5.7644614062768555,0.0,0.0,0.0,5.711323548554682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
