energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.273643575520539,4.273643575520539,3.723430471018011,0.0,0.0,0.0,4.090239207353029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6027
0.014,4.273660910935234,4.273660910935234,3.7234436145005447,0.0,0.0,0.0,4.090255145457005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.028,4.273712918822145,4.273712918822145,3.7234830460324324,0.0,0.0,0.0,4.090302961225574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.042,4.273799604110138,4.273799604110138,3.723548768866815,0.0,0.0,0.0,4.09038265902903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.056,4.273920975015539,4.273920975015539,3.7236407884265352,0.0,0.0,0.0,4.090494246152538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.07,4.274077043044526,4.274077043044526,3.723759112305166,0.0,0.0,0.0,4.090637732798073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.084,4.274267822996332,4.274267822996332,3.72390375026903,0.0,0.0,0.0,4.090813132087231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.098,4.274493332967506,4.274493332967506,3.724074714259267,0.0,0.0,0.0,4.091020460064759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.112,4.274753594357026,4.274753594357026,3.7242720183947364,0.0,0.0,0.0,4.09125973570293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.126,4.275048631872438,4.275048631872438,3.724495678975266,0.0,0.0,0.0,4.091530980906714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,4.275378473536921,4.275378473536921,3.724745714485369,0.0,0.0,0.0,4.091834220519737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.154,4.275743150697203,4.275743150697203,3.7250221455986594,0.0,0.0,0.0,4.0921694823310215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.168,4.27614269803261,4.27614269803261,3.7253249951825667,0.0,0.0,0.0,4.092536797082595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.182,4.276577153564919,4.276577153564919,3.725654288303732,0.0,0.0,0.0,4.092936198477856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.196,4.277046558669317,4.277046558669317,3.726010052233785,0.0,0.0,0.0,4.0933677231908066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.21,4.277550958086199,4.277550958086199,3.7263923164557884,0.0,0.0,0.0,4.093831410876062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.224,4.278090399934044,4.278090399934044,3.7268011126711,0.0,0.0,0.0,4.094327304179729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.238,4.278664935723253,4.278664935723253,3.7272364748066757,0.0,0.0,0.0,4.09485544875106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.252,4.279274620370979,4.279274620370979,3.727698439023203,0.0,0.0,0.0,4.095415893255054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.266,4.279919512216921,4.279919512216921,3.728187043723503,0.0,0.0,0.0,4.096008689385782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,4.280599673040345,4.280599673040345,3.728702329561423,0.0,0.0,0.0,4.096633891880704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.294,4.2813151680777555,4.2813151680777555,3.7292443394515606,0.0,0.0,0.0,4.097291558535691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.308,4.2820660660419465,4.2820660660419465,3.7298131185793015,0.0,0.0,0.0,4.097981750221065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3219,4.282846696223042,4.282846696223042,3.7304043649498433,0.0,0.0,0.0,4.098699252465309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3359,4.283668365973677,4.283668365973677,3.7310266351607617,0.0,0.0,0.0,4.099454455702705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3499,4.284525665273357,4.284525665273357,3.731675823519414,0.0,0.0,0.0,4.100242384688709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3639,4.285418676924873,4.285418676924873,3.732351984389889,0.0,0.0,0.0,4.101063112746545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3779,4.286347487317704,4.286347487317704,3.7330551744658598,0.0,0.0,0.0,4.101916716367089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3919,4.287312186453478,4.287312186453478,3.7337854527840606,0.0,0.0,0.0,4.102803275230339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4059,4.2883128679724685,4.2883128679724685,3.7345428807383567,0.0,0.0,0.0,4.103722872227764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4199,4.2893496291813396,4.2893496291813396,3.735327522094507,0.0,0.0,0.0,4.104675593485729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4339,4.290422571081974,4.290422571081974,3.7361394430052015,0.0,0.0,0.0,4.105661528389716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4479,4.291531798401612,4.291531798401612,3.7369787120262576,0.0,0.0,0.0,4.106680769609827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4619,4.292677419623992,4.292677419623992,3.7378454001327954,0.0,0.0,0.0,4.107733413126926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4759,4.293859547021919,4.293859547021919,3.7387395807365613,0.0,0.0,0.0,4.108819558260133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4899,4.295078296690953,4.295078296690953,3.7396613297035346,0.0,0.0,0.0,4.1099393076951465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5039,4.29633378858443,4.29633378858443,3.740610725372442,0.0,0.0,0.0,4.111092767513767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5179,4.297626146549758,4.297626146549758,3.741587848573699,0.0,0.0,0.0,4.112280047224405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5319,4.298955498365988,4.298955498365988,3.7425927826490675,0.0,0.0,0.0,4.113501259793681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5459,4.300321975782758,4.300321975782758,3.743625613472143,0.0,0.0,0.0,4.11475652167922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5599,4.301725714560647,4.301725714560647,3.7446864294692426,0.0,0.0,0.0,4.116045952863512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5739,4.303166854512851,4.303166854512851,3.7457753216412955,0.0,0.0,0.0,4.117369676888999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
