energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.097807903997605,2.097807903997605,2.074098974999594,0.0,0.0,0.0,2.089904927664935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3352
0.0157,2.0978090775549907,2.0978090775549907,2.0741000805063488,0.0,0.0,0.0,2.089906078538777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0314,2.097812598246493,2.097812598246493,2.074103397044046,0.0,0.0,0.0,2.0899095311790106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0471,2.0978184661301325,2.0978184661301325,2.074108924665004,0.0,0.0,0.0,2.0899152856417564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0628,2.0978266813026285,2.0978266813026285,2.0741166634563832,0.0,0.0,0.0,2.0899233420205467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0785,2.097837243899371,2.097837243899371,2.0741266135402636,0.0,0.0,0.0,2.0899337004463354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0942,2.097850154094484,2.097850154094484,2.074138775073583,0.0,0.0,0.0,2.089946361087517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1098,2.0978653074860216,2.0978653074860216,2.074153049700249,0.0,0.0,0.0,2.089961221557431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1255,2.097882898598316,2.097882898598316,2.0741696206537226,0.0,0.0,0.0,2.0899784726167847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1412,2.0979028380615965,2.0979028380615965,2.074188403735076,0.0,0.0,0.0,2.089998026619423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1569,2.097925126204622,2.097925126204622,2.0742093992406554,0.0,0.0,0.0,2.0900198838832997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1726,2.09794976339491,2.09794976339491,2.074232607501746,0.0,0.0,0.0,2.090044044763855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1883,2.0979767500387565,2.0979767500387565,2.074258028884589,0.0,0.0,0.0,2.090070509654034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.204,2.0980060865812526,2.0980060865812526,2.0742856637903904,0.0,0.0,0.0,2.0900992789842987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2197,2.098037773506312,2.098037773506312,2.074315512655354,0.0,0.0,0.0,2.0901303532226594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2354,2.098071811336701,2.098071811336701,2.07434757595069,0.0,0.0,0.0,2.0901637328746974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
