energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.377729155501246,4.377729155501246,5.61765636691274,0.0,0.0,0.0,4.791038225971744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1516000000000006
0.0148,4.377746022450002,4.377746022450002,5.617685984733341,0.0,0.0,0.0,4.791059343211114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0297,4.377797081594178,4.377797081594178,5.617775643361155,0.0,0.0,0.0,4.791123268849837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0445,4.377881652530853,4.377881652530853,5.617924149244263,0.0,0.0,0.0,4.791229151435323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,4.377999972180639,4.377999972180639,5.61813192043038,0.0,0.0,0.0,4.791377288263885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0742,4.378153194465684,4.378153194465684,5.618400986112035,0.0,0.0,0.0,4.791569125014468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.089,4.378339277588831,4.378339277588831,5.618727764457393,0.0,0.0,0.0,4.791802106545018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1038,4.378559153912729,4.378559153912729,5.619113897178543,0.0,0.0,0.0,4.792077401668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1187,4.3788146740198215,4.3788146740198215,5.619562639573481,0.0,0.0,0.0,4.792397329204374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1335,4.379102432951973,4.379102432951973,5.620068017998711,0.0,0.0,0.0,4.792757627967553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1483,4.379424059367374,4.379424059367374,5.620632899546462,0.0,0.0,0.0,4.793160339427071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1632,4.379782102178086,4.379782102178086,5.621261768971377,0.0,0.0,0.0,4.79360865777585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.178,4.3801717903151465,4.3801717903151465,5.621946254920898,0.0,0.0,0.0,4.794096611850397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1928,4.3805954502181965,4.3805954502181965,5.622690452853673,0.0,0.0,0.0,4.794627117763356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2077,4.381056331436491,4.381056331436491,5.623500081614741,0.0,0.0,0.0,4.795204248162574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2225,4.381548292649256,4.381548292649256,5.624364363862451,0.0,0.0,0.0,4.795820316386988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2374,4.382078030828755,4.382078030828755,5.6252950769543935,0.0,0.0,0.0,4.796483712870635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2522,4.3826384872283715,4.3826384872283715,5.6262798319572385,0.0,0.0,0.0,4.7971856021379935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.267,4.383233156817887,4.383233156817887,5.627324782653181,0.0,0.0,0.0,4.797930365429652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2819,4.383866464288317,4.383866464288317,5.628437719468273,0.0,0.0,0.0,4.798723549348303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2967,4.38452997105615,4.38452997105615,5.629603828306748,0.0,0.0,0.0,4.7995545901396826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3115,4.385227876968681,4.385227876968681,5.630830505580768,0.0,0.0,0.0,4.80042875317271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3264,4.385965316687441,4.385965316687441,5.632126794563476,0.0,0.0,0.0,4.801352475979453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3412,4.386732464410475,4.386732464410475,5.633475441224669,0.0,0.0,0.0,4.802313456681873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.356,4.387534228719508,4.387534228719508,5.634885092363001,0.0,0.0,0.0,4.803317849934006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3709,4.38837645896656,4.38837645896656,5.63636605359122,0.0,0.0,0.0,4.804372990508114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3857,4.389247933501091,4.389247933501091,5.637898613667294,0.0,0.0,0.0,4.805464826889825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
