energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.505376081586089,2.505376081586089,2.3000968107376902,0.0,0.0,0.0,2.436949657969956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0903
0.0158,2.505378563231737,2.505378563231737,2.3000987580335304,0.0,0.0,0.0,2.4369519614990014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0315,2.505385945516512,2.505385945516512,2.3001045507487574,0.0,0.0,0.0,2.4369588139272604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0473,2.505398322708712,2.505398322708712,2.3001142628221176,0.0,0.0,0.0,2.436970302746514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.063,2.5054155385090997,2.5054155385090997,2.300127771557417,0.0,0.0,0.0,2.436986282858539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0788,2.5054378127553547,2.5054378127553547,2.300145249381374,0.0,0.0,0.0,2.4370069582973612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0945,2.5054648641682915,2.5054648641682915,2.3001664754902915,0.0,0.0,0.0,2.4370320679422917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1103,2.5054970381819635,2.5054970381819635,2.3001917208162026,0.0,0.0,0.0,2.4370619323933767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1261,2.5055341791939982,2.5055341791939982,2.3002208631265475,0.0,0.0,0.0,2.4370964071715147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1418,2.505576006204496,2.505576006204496,2.30025368178395,0.0,0.0,0.0,2.4371352313976473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1576,2.505623053325616,2.505623053325616,2.300290595689098,0.0,0.0,0.0,2.43717890078011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1733,2.505674726447463,2.505674726447463,2.3003311384958325,0.0,0.0,0.0,2.4372268637969197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1891,2.5057316854133678,2.5057316854133678,2.300375827697027,0.0,0.0,0.0,2.437279732841254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2048,2.5057932109477514,2.5057932109477514,2.300424098718908,0.0,0.0,0.0,2.4373368402048037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2206,2.505860088705941,2.505860088705941,2.300476567698647,0.0,0.0,0.0,2.437398915036843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2364,2.5059319446020076,2.5059319446020076,2.3005329408502755,0.0,0.0,0.0,2.437465610018097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2521,2.5060082788719695,2.5060082788719695,2.300592825801917,0.0,0.0,0.0,2.4375364611819523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2679,2.506090066274764,2.506090066274764,2.300656986933449,0.0,0.0,0.0,2.437612373160992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2836,2.5061762740063536,2.5061762740063536,2.3007246136776263,0.0,0.0,0.0,2.4376923872301113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2994,2.5062680029079916,2.5062680029079916,2.300796569232642,0.0,0.0,0.0,2.4377775250162084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3152,2.5063647224862136,2.5063647224862136,2.300872437045201,0.0,0.0,0.0,2.437867294005876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3309,2.5064657762537874,2.5064657762537874,2.300951701772335,0.0,0.0,0.0,2.4379610847599698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3467,2.5065724546345587,2.5065724546345587,2.3010353751632633,0.0,0.0,0.0,2.4380600948107936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3624,2.5066834105105418,2.5066834105105418,2.301122400149898,0.0,0.0,0.0,2.438163073723661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3782,2.506800060755708,2.506800060755708,2.301213887536485,0.0,0.0,0.0,2.4382713363493003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3939,2.506920932332629,2.506920932332629,2.3013086815404735,0.0,0.0,0.0,2.4383835154019105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4097,2.507047568739949,2.507047568739949,2.301407992133388,0.0,0.0,0.0,2.4385010432044285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4255,2.5071792198534397,2.5071792198534397,2.301511230465822,0.0,0.0,0.0,2.4386232233909007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4412,2.5073150089501364,2.5073150089501364,2.3016177085085596,0.0,0.0,0.0,2.4387492421362773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.457,2.5074566700291347,2.5074566700291347,2.3017287853745154,0.0,0.0,0.0,2.438880708477595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4727,2.5076024142339266,2.5076024142339266,2.30184305780883,0.0,0.0,0.0,2.4390159620922276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4885,2.5077541026943044,2.5077541026943044,2.30196198441695,0.0,0.0,0.0,2.439156729935186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5042,2.5079098199371543,2.5079098199371543,2.3020840627798758,0.0,0.0,0.0,2.4393012342180618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.52,2.5080715544531564,2.5080715544531564,2.30221085114348,0.0,0.0,0.0,2.4394513200165977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5358,2.508238335372842,2.508238335372842,2.302341587641594,0.0,0.0,0.0,2.4396060861290927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5515,2.5084090644299746,2.5084090644299746,2.3024754107143384,0.0,0.0,0.0,2.439764513191429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5673,2.508585921826568,2.508585921826568,2.3026140285266683,0.0,0.0,0.0,2.439928624059935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.583,2.5087666742851007,2.5087666742851007,2.3027556899076074,0.0,0.0,0.0,2.4400963461592693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5988,2.508953630015268,2.508953630015268,2.3029022030775974,0.0,0.0,0.0,2.4402698210360447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6145,2.5091444282319784,2.5091444282319784,2.303051717127697,0.0,0.0,0.0,2.4404468578638845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6303,2.5093415054397328,2.5093415054397328,2.303206140517931,0.0,0.0,0.0,2.4406297171324653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6461,2.5095436685747528,2.5095436685747528,2.303364537429783,0.0,0.0,0.0,2.4408172915264292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6618,2.509749596181484,2.509749596181484,2.3035258717113187,0.0,0.0,0.0,2.4410083546914287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6776,2.509961917985713,2.509961917985713,2.3036922027097786,0.0,0.0,0.0,2.441205346227068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6933,2.5101779529225707,2.5101779529225707,2.30386142917141,0.0,0.0,0.0,2.4414057783388503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
