energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.946568497559154,7.186275775804051,5.823863999741714,0.0,0.0,-0.6087070405263565,5.31890275770164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8476
0.0164,2.946577104981821,7.186364907718907,5.823927840315211,0.0,0.0,-0.6087162699566937,5.318956617671979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.86517545267,0.0,
0.0329,2.946603139204705,7.186634501741635,5.8241209377617045,0.0,0.0,-0.6087441854465283,5.319119526236015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.6977197574665,0.0,
0.0493,2.946646289720105,7.187081352678731,5.824440999969403,0.0,0.0,-0.6087904538328586,5.31938954745608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3898.740787697321,0.0,
0.0658,2.946707091261524,7.187711015224722,5.824892011640021,0.0,0.0,-0.6088556481185752,5.319770039375422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5203.871795451082,0.0,
0.0822,2.9467848186669268,7.188516003448069,5.825468619256044,0.0,0.0,-0.608938990234335,5.3202564804570125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6501.330350248257,0.0,
0.0987,2.946880435178606,7.189506324148051,5.82617800162637,0.0,0.0,-0.6090415123252337,5.320854920317676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7806.999034304291,0.0,
0.1151,2.9469928004411345,7.190670203893553,5.8270117386416755,0.0,0.0,-0.6091619908425214,5.321558247658788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9105.11106406875,0.0,
0.1316,2.9471233069993383,7.192022111287552,5.827980210790652,0.0,0.0,-0.6093019178650022,5.322375209692514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10411.55714697745,0.0,
0.148,2.9472703984553443,7.193545974753649,5.829071923203949,0.0,0.0,-0.6094596234626674,5.323296098804314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11710.561259536686,0.0,
0.1645,2.9474358978065833,7.1952607387452705,5.83030046902187,0.0,0.0,-0.6096370607932382,5.3243323685245745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13018.025201441389,0.0,
0.1809,2.9476178314512285,7.197146018982689,5.831651267441614,0.0,0.0,-0.6098321123132483,5.325471705958511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14318.16085149933,0.0,
0.1974,2.947818454350114,7.1992252542042605,5.833141138662714,0.0,0.0,-0.6100471937601739,5.326728282405696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15626.88407943615,0.0,
0.2138,2.948035374219733,7.2014737289220925,5.834752401738228,0.0,0.0,-0.6102797384124017,5.328087168293352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16928.39179734147,0.0,
0.2303,2.948271279861107,7.203919399031831,5.8365051218173605,0.0,0.0,-0.6105326264462412,5.329565266903432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18238.61693637409,0.0,
0.2467,2.9485233585109127,7.206533195338657,5.838378500520819,0.0,0.0,-0.610802840062004,5.331145018123462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19541.738558926227,0.0,
0.2632,2.948794735059809,7.209347618271756,5.8403958693803375,0.0,0.0,-0.6110937260952791,5.332846074237301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20853.70966554471,0.0,
0.2796,2.9490821741405435,7.212329218380366,5.842533292168514,0.0,0.0,-0.611401813429851,5.334648228229807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22158.688569262707,0.0,
0.2961,2.949389239363656,7.215515072584282,5.844817391846577,0.0,0.0,-0.6117309181461812,5.336573901264838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23472.651367473587,0.0,
0.3125,2.949712270301463,7.218867320510889,5.847221070736856,0.0,0.0,-0.612077113230633,5.338600220516402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24779.732704750826,0.0,
0.329,2.950055272305051,7.222427652199507,5.849774271975586,0.0,0.0,-0.6124446869636768,5.340752398826715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26095.934825282493,0.0,
0.3454,2.9504141570897584,7.226153761495113,5.852446709577535,0.0,0.0,-0.6128292535064007,5.3430048760541355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27405.36576384697,0.0,
0.3619,2.950793375169394,7.2300919929634135,5.855271679395674,0.0,0.0,-0.6132355766689098,5.3453856825094945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28724.056986888376,0.0,
0.3783,2.9511884072572485,7.2341955555225965,5.85821567694613,0.0,0.0,-0.6136588085071134,5.347866546575325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30036.086952980706,0.0,
0.3948,2.9516041528662833,7.238515494569245,5.861315387248885,0.0,0.0,-0.6141041920704671,5.350478344894804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31357.519454866582,0.0,
0.4112,2.95203565820408,7.243000490566523,5.864534053706845,0.0,0.0,-0.6145664136719682,5.353190067492483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32672.40038054128,0.0,
0.4277,2.9524882760481117,7.247706341079725,5.867911790993022,0.0,0.0,-0.6150511996964093,5.356035469373619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33996.828984784755,0.0,
