energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.408123406624732,2.4168585964732445,2.4438293686480916,0.0,0.0,0.0,2.422937123915356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.287
0.0155,2.4081255560728803,2.4168607206586668,2.4438316073916164,0.0,0.0,0.0,2.4229392947077213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0311,2.408132060035445,2.416867148178532,2.4438383815524505,0.0,0.0,0.0,2.422945863255476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0466,2.408142835304159,2.416877796799972,2.4438496044701097,0.0,0.0,0.0,2.422956745524747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0622,2.408158021210467,2.4168928042125133,2.4438654212722013,0.0,0.0,0.0,2.4229720822317273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0777,2.4081774234738926,2.4169119784132658,2.443885629617605,0.0,0.0,0.0,2.4229916771682545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0933,2.4082012929788013,2.416935567329886,2.4439104908278146,0.0,0.0,0.0,2.423015783712167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1088,2.4082293243514377,2.4169632691689156,2.4439396868585757,0.0,0.0,0.0,2.423044093459643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1244,2.408261880056564,2.416995442122859,2.443973595254624,0.0,0.0,0.0,2.423076972478016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1399,2.408298543594027,2.4170316745754925,2.444011782233212,0.0,0.0,0.0,2.4231140001342437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1555,2.4083397890486724,2.41707243502284,2.4440547416046963,0.0,0.0,0.0,2.4231556552254028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.171,2.408385088748792,2.417117201981845,2.4441019237996184,0.0,0.0,0.0,2.4232014048434185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1865,2.4084346944318322,2.4171662242121505,2.4441535910480274,0.0,0.0,0.0,2.42325150323067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2021,2.408488969255435,2.4172198605795794,2.444210121636768,0.0,0.0,0.0,2.423306317157261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2176,2.408547218858249,2.4172774248694644,2.4442707923840192,0.0,0.0,0.0,2.423365145370578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2332,2.4086101964496747,2.417339661406381,2.44433638784827,0.0,0.0,0.0,2.4234287485681087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2487,2.4086770963310453,2.4174057739474324,2.4444060688840006,0.0,0.0,0.0,2.4234963130541596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2643,2.4087487835672152,2.417476617349858,2.444480736566713,0.0,0.0,0.0,2.4235687124945953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2798,2.4088243410346397,2.417551285257325,2.4445594356937708,0.0,0.0,0.0,2.423645020661912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2954,2.408904745748562,2.41763074315218,2.4446431839590104,0.0,0.0,0.0,2.4237262242865842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3109,2.4089889690608306,2.417713974467512,2.444730909996224,0.0,0.0,0.0,2.4238112845081887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3264,2.4090775147436876,2.4178014770106344,2.444823138585521,0.0,0.0,0.0,2.4239007101132812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.342,2.40917099841458,2.417893859108906,2.4449205110177816,0.0,0.0,0.0,2.423995122847089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3575,2.409268224104392,2.4179899388490473,2.445021781640359,0.0,0.0,0.0,2.4240933148646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
