energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.391783438649031,2.391783438649031,2.322686907911306,0.0,0.0,0.0,2.368751261736456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.971299999999999
0.0164,2.391785233389963,2.391785233389963,2.322688638745949,0.0,0.0,0.0,2.3687530351752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0327,2.3917905739422416,2.3917905739422416,2.3226937891361676,0.0,0.0,0.0,2.368758312340217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0491,2.391799525945691,2.391799525945691,2.322702422389975,0.0,0.0,0.0,2.3687671580937857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0654,2.39181198041392,2.39181198041392,2.3227144334105922,0.0,0.0,0.0,2.368779464746144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0818,2.3918280904227043,2.3918280904227043,2.3227299698361494,0.0,0.0,0.0,2.3687953835605193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0982,2.3918477908453295,2.3918477908453295,2.3227489688752305,0.0,0.0,0.0,2.3688148501886297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1145,2.3918709291913918,2.3918709291913918,2.322771283486065,0.0,0.0,0.0,2.368837713956283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1309,2.391897789850537,2.391897789850537,2.3227971879574674,0.0,0.0,0.0,2.3688642558861805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1472,2.391928045807166,2.391928045807166,2.3228263669419866,0.0,0.0,0.0,2.3688941528521066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1636,2.3919620689324566,2.3919620689324566,2.32285917910475,0.0,0.0,0.0,2.368927772323221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,2.3919996852689707,2.3919996852689707,2.3228954567153446,0.0,0.0,0.0,2.368964942417762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1963,2.3920406334276683,2.3920406334276683,2.322934947724173,0.0,0.0,0.0,2.3690054048598364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2127,2.392085416696231,2.392085416696231,2.322978137551111,0.0,0.0,0.0,2.369049656981191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.229,2.3921334898605977,2.3921334898605977,2.3230245004265555,0.0,0.0,0.0,2.3690971600492503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2454,2.3921854437811767,2.3921854437811767,2.3230746062391585,0.0,0.0,0.0,2.3691484979338373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2618,2.392240995580219,2.392240995580219,2.323128182228774,0.0,0.0,0.0,2.369203391129737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2781,2.39229977483501,2.39229977483501,2.3231848712012426,0.0,0.0,0.0,2.369261473623754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2945,2.3923625039937795,2.3923625039937795,2.323245369973586,0.0,0.0,0.0,2.369323459320382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3108,2.3924284193615266,2.3924284193615266,2.323308942067981,0.0,0.0,0.0,2.3693885935970114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3272,2.392498331096207,2.392498331096207,2.323376368909054,0.0,0.0,0.0,2.369457677033823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3436,2.392571847253868,2.392571847253868,2.3234472725592537,0.0,0.0,0.0,2.369530322355663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3599,2.3926484881865804,2.3926484881865804,2.323521190485913,0.0,0.0,0.0,2.369606055619691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3763,2.392729195880314,2.392729195880314,2.323599031285558,0.0,0.0,0.0,2.3696858076820617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3926,2.392812987763099,2.392812987763099,2.3236798473709257,0.0,0.0,0.0,2.3697686076323747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.409,2.3929008937136347,2.3929008937136347,2.323764632131713,0.0,0.0,0.0,2.3698554731863273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4254,2.392992412519292,2.392992412519292,2.32385290224791,0.0,0.0,0.0,2.3699459090954984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4417,2.3930869550586964,2.3930869550586964,2.323944089596929,0.0,0.0,0.0,2.370039333238107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4581,2.393185683348025,2.393185683348025,2.3240393150540912,0.0,0.0,0.0,2.370136893916714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
