energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.051460081417931,3.051460081417931,3.1405334606761297,0.0,0.0,0.0,3.081151207837331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9316000000000004
0.0145,3.051465087925354,3.051465087925354,3.1405388587824996,0.0,0.0,0.0,3.0811563448777357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.029,3.051480107683072,3.051480107683072,3.14055505336595,0.0,0.0,0.0,3.081171756244031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0435,3.0515051413974126,3.0515051413974126,3.1405820452195976,0.0,0.0,0.0,3.081197442671474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.058,3.0515401902457393,3.0515401902457393,3.140619835665417,0.0,0.0,0.0,3.081233405385632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0725,3.0515852558765975,3.0515852558765975,3.1406684265544733,0.0,0.0,0.0,3.0812796461025562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0871,3.0516407550953013,3.0516407550953013,3.140728267393571,0.0,0.0,0.0,3.0813365925280576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1016,3.0517059302469463,3.0517059302469463,3.140798541374078,0.0,0.0,0.0,3.0814034672893236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1161,3.051781129979777,3.051781129979777,3.140879624554778,0.0,0.0,0.0,3.081480628171444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1306,3.0518663578337675,3.0518663578337675,3.1409715209108007,0.0,0.0,0.0,3.0815680788594455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1451,3.0519616178221702,3.0519616178221702,3.141074234948831,0.0,0.0,0.0,3.0816658235310572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1596,3.052066914432135,3.052066914432135,3.1411877717077887,0.0,0.0,0.0,3.0817738668573527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1741,3.0521822526254203,3.0521822526254203,3.1413121367597907,0.0,0.0,0.0,3.0818922140035436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1886,3.0523076378391707,3.0523076378391707,3.141447336210956,0.0,0.0,0.0,3.0820208706297656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2031,3.05244307598681,3.05244307598681,3.1415933767025344,0.0,0.0,0.0,3.0821598428920516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2176,3.05258857345896,3.05258857345896,3.1417502654119764,0.0,0.0,0.0,3.0823091374432985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2321,3.052744137124459,3.052744137124459,3.1419180100541184,0.0,0.0,0.0,3.0824687614343453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2466,3.052909774331452,3.052909774331452,3.1420966188824964,0.0,0.0,0.0,3.0826387225151333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2612,3.053086739782975,3.053086739782975,3.142287445234852,0.0,0.0,0.0,3.082820308266934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2757,3.0532726176546423,3.0532726176546423,3.142487884442362,0.0,0.0,0.0,3.0830110399172157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2902,3.053468594062607,3.053468594062607,3.142699215913348,0.0,0.0,0.0,3.0832121346795205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3047,3.0536746782881474,3.0536746782881474,3.142921450074755,0.0,0.0,0.0,3.083423602217017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3192,3.053890880098516,3.053890880098516,3.1431545979000846,0.0,0.0,0.0,3.0836454526990384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3337,3.0541172097484894,3.0541172097484894,3.143398670911315,0.0,0.0,0.0,3.0838776968027646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3482,3.0543536779820477,3.0543536779820477,3.143653681180776,0.0,0.0,0.0,3.084120345714957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3627,3.0546002960340464,3.0546002960340464,3.1439196413332966,0.0,0.0,0.0,3.0843734111337966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3772,3.05485707563214,3.05485707563214,3.1441965645482544,0.0,0.0,0.0,3.0846369052708447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3917,3.0551240289985353,3.0551240289985353,3.14448446456186,0.0,0.0,0.0,3.084910840852977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4062,3.055401168852077,3.055401168852077,3.1447833556695284,0.0,0.0,0.0,3.0851952311245605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4208,3.0556905255078983,3.0556905255078983,3.145095428198145,0.0,0.0,0.0,3.08549215973798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4353,3.0559881489751772,3.0559881489751772,3.1454164226934553,0.0,0.0,0.0,3.085797573547937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4498,3.056296000186522,3.056296000186522,3.145748454661249,0.0,0.0,0.0,3.086113485011431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4643,3.0566140938720983,3.0566140938720983,3.1460915406629835,0.0,0.0,0.0,3.08643990946906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4788,3.05694244526982,3.05694244526982,3.1464456978325743,0.0,0.0,0.0,3.0867768627907384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
