energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.085759411550149,3.620533430566694,4.019975846278964,0.0,0.0,0.0,3.908756229465269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7028000000000008
0.0186,4.085772446431811,3.6205416973374076,4.019988499421288,0.0,0.0,0.0,3.9087675477301693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0372,4.085811552131687,3.6205664981091057,4.020026459863832,0.0,0.0,0.0,3.908801503368208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0558,4.085876731814835,3.620607834260581,4.0200897306535115,0.0,0.0,0.0,3.908858098909642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0744,4.0859679907572755,3.620665708090068,4.020178316869395,0.0,0.0,0.0,3.908937338572246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.093,4.086085336347391,3.6207401228156915,4.020292225624127,0.0,0.0,0.0,3.909039228262403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1116,4.086228778087959,3.6208310825760632,4.020431466065663,0.0,0.0,0.0,3.909163775576561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1302,4.086398327598541,3.620938592431014,4.020596049379836,0.0,0.0,0.0,3.90931098980313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1488,4.0865939986187385,3.621062658362526,4.020785988793184,0.0,0.0,0.0,3.909480881924816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1674,4.086815807011767,3.621203287275823,4.021001299576523,0.0,0.0,0.0,3.909673464621371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.186,4.0870637707687045,3.6213604870006684,4.021241999049012,0.0,0.0,0.0,3.909888752272795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
