energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.022826388553754,3.262892227055495,3.2219045666077704,0.0,0.0,0.0,3.169207727405673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7458
0.0158,3.022831919157698,3.2628986322080396,3.221910635237164,0.0,0.0,0.0,3.169213728867634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0315,3.0228483714302565,3.262917686060524,3.2219286880021554,0.0,0.0,0.0,3.1692315818309784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0473,3.022875955723533,3.2629496322257983,3.221958955689988,0.0,0.0,0.0,3.16926151454644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0631,3.02291460353925,3.262994391370706,3.2220013630916076,0.0,0.0,0.0,3.169303452667188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0788,3.0229639672423123,3.2630515608844504,3.222055528689845,0.0,0.0,0.0,3.1693570189388693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0946,3.0230246779777525,3.263121871708086,3.222122144940421,0.0,0.0,0.0,3.169422898208753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1103,3.023095970052504,3.2632044370635214,3.2222003715666205,0.0,0.0,0.0,3.169500259560882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1261,3.023178754980297,3.263300312591711,3.2222912086226234,0.0,0.0,0.0,3.1695900920648774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1419,3.02327261757646,3.263409017445456,3.222394200396471,0.0,0.0,0.0,3.169691945139462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1576,3.023376863163886,3.263529747088997,3.2225085844907335,0.0,0.0,0.0,3.1698050649145393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1734,3.0234928245910613,3.2636640451175434,3.2226358232025665,0.0,0.0,0.0,3.169930897637057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1892,3.0236198783713717,3.263811189439945,3.222775232207046,0.0,0.0,0.0,3.170068766672788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2049,3.023757121156549,3.2639701338498552,3.222925820102128,0.0,0.0,0.0,3.170217691702844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2207,3.0239063076923345,3.264142910546586,3.223089512024248,0.0,0.0,0.0,3.170379576754389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2364,3.024065556431024,3.2643273404439186,3.223264243230259,0.0,0.0,0.0,3.1705523800350672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2522,3.0242369034859773,3.2645257815951707,3.223452247514177,0.0,0.0,0.0,3.170738310865108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.268,3.0244193777345134,3.2647371092974815,3.2236524590398044,0.0,0.0,0.0,3.1709363153572667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2837,3.024611727316397,3.2649598737205694,3.223863503964751,0.0,0.0,0.0,3.1711450350005723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2995,3.0248164115768263,3.2651969230637565,3.22408808033712,0.0,0.0,0.0,3.1713671383259006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3153,3.025032250214277,3.2654468903666487,3.2243248927768877,0.0,0.0,0.0,3.1716013444526046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.331,3.0252577815063035,3.2657080827518117,3.224572337172989,0.0,0.0,0.0,3.171846067143701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3468,3.0254958890712174,3.2659838397675216,3.224833576931362,0.0,0.0,0.0,3.1721044352567005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3625,3.0257435699312785,3.2662706835764355,3.225105316927234,0.0,0.0,0.0,3.1723731901449828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
