energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,4.539097984484867,4.539097984484867,4.189357749825871,0.0,0.0,0.0,4.422517906265202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8426
0.0199,4.539121138450043,4.539121138450043,4.189377411303328,0.0,0.0,0.0,4.422539896067804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0397,4.539190138076117,4.539190138076117,4.189436003127325,0.0,0.0,0.0,4.42260542642652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0596,4.539305688031623,4.539305688031623,4.189534123474369,0.0,0.0,0.0,4.422715166512538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0795,4.539467569085908,4.539467569085908,4.189671585845974,0.0,0.0,0.0,4.42286890800593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0993,4.539674637011647,4.539674637011647,4.189847418149926,0.0,0.0,0.0,4.423065564057739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1192,4.539929006533857,4.539929006533857,4.19006341550763,0.0,0.0,0.0,4.423307142858448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1391,4.540229776726408,4.540229776726408,4.1903188121522845,0.0,0.0,0.0,4.423592788535033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1589,4.540575120291763,4.540575120291763,4.1906120555914885,0.0,0.0,0.0,4.423920765391672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1788,4.540968564172004,4.540968564172004,4.190946139668737,0.0,0.0,0.0,4.424294422670915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1987,4.541408524896413,4.541408524896413,4.191319718648732,0.0,0.0,0.0,4.424712256147186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2186,4.541895051686231,4.541895051686231,4.1917328330411685,0.0,0.0,0.0,4.425174312137877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2384,4.542425403232061,4.542425403232061,4.192183153797895,0.0,0.0,0.0,4.425677986754006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
