energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.7548254282780684,3.649907501975488,4.01028859044836,0.0,0.0,-0.07999952972013101,3.8050071735673057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3536
0.0225,3.7548414679242774,3.6499229379911755,4.010307837211867,0.0,0.0,-0.07999998862216699,3.80502408104244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.0167699358644,0.0,
0.045,3.7548895884821034,3.64996924764286,4.01036557961806,0.0,0.0,-0.08000136532135309,3.8050748052476746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0446397513315,0.0,
0.0676,3.75497022291156,3.650046847737636,4.010462337722023,0.0,0.0,-0.08000367204308335,3.8051598027904063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937.9616640263816,0.0,
0.0901,3.755082665769096,3.650155059611455,4.010597265887853,0.0,0.0,-0.08000688833898112,3.8052783304228015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2583.045203006952,0.0,
0.1126,3.7552272138930354,3.650294169257575,4.010770721520615,0.0,0.0,-0.08001102232739576,3.805430701557075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3228.1731848315526,0.0,
0.1351,3.7554038818848667,3.650464191146765,4.010982723700672,0.0,0.0,-0.08001607394514233,3.8056169322441016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3873.356703368267,0.0,
0.1576,3.7556126875965457,3.6506651429715746,4.011233295756808,0.0,0.0,-0.08002204311450974,3.8058370421083096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4518.606849464437,0.0,
0.1802,3.755854794906297,3.6508981454505527,4.011523836670715,0.0,0.0,-0.08002896239789911,3.8060922590091883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5166.80302415042,0.0,
0.2027,3.7561280857392156,3.651161160865119,4.011851807260728,0.0,0.0,-0.08003677045455682,3.806380351288354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5812.22010210422,0.0,
0.2252,3.7564335875397092,3.651455178812455,4.012218443454925,0.0,0.0,-0.08004549573866496,3.8067024032690298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6457.737105014997,0.0,
0.2477,3.756771331239866,3.6517802299517124,4.012623785683097,0.0,0.0,-0.08005513811076306,3.807058448958225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7103.365105326909,0.0,
0.2702,3.757141351059024,3.6521363482014886,4.013067878674546,0.0,0.0,-0.080065697414795,3.807448525978353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7749.115169257726,0.0,
0.2928,3.7575455448496533,3.652525361226594,4.013553004345739,0.0,0.0,-0.0800772265282664,3.807874636807329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8397.869261689813,0.0,
0.3153,3.757980376660098,3.652943867061679,4.0140749231297,0.0,0.0,-0.08008962323181802,3.8083330556171586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9043.897288625412,0.0,
0.3378,3.758447607282907,3.65339356163311,4.014635753079549,0.0,0.0,-0.08010293629245455,3.8088256406651886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9690.08058265889,0.0,
