energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.515544282812956,3.515544282812956,3.633239487486225,0.0,0.0,0.0,3.5547760177040453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8049
0.0138,3.5155520199333834,3.5155520199333834,3.6332480007661863,0.0,0.0,0.0,3.5547840135443174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0277,3.515575456394624,3.515575456394624,3.633273788328378,0.0,0.0,0.0,3.5548082337058755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0415,3.515614256258763,3.515614256258763,3.633316480656403,0.0,0.0,0.0,3.554848331057976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0554,3.5156689839934723,3.5156689839934723,3.633376699051955,0.0,0.0,0.0,3.554904889012967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0692,3.515738855132697,3.515738855132697,3.633453580631461,0.0,0.0,0.0,3.5549770969656183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0831,3.515824886175785,3.515824886175785,3.6335482442543645,0.0,0.0,0.0,3.5550660055353114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0969,3.5159258439574606,3.5159258439574606,3.6336593334654714,0.0,0.0,0.0,3.555170340460131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1108,3.5160431972341586,3.5160431972341586,3.633788464951806,0.0,0.0,0.0,3.5552916198067077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1246,3.5161752638721953,3.5161752638721953,3.6339337883650664,0.0,0.0,0.0,3.555428105369819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1384,3.51632283920703,3.51632283920703,3.6340961795514524,0.0,0.0,0.0,3.5555806193218373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
