energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.2472074560586544,3.2472074560586544,3.1948889421404143,0.0,0.0,0.0,3.229767951419241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514
0.0155,3.247213615646141,3.247213615646141,3.1948948952346674,0.0,0.0,0.0,3.22977404217565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.031,3.2472320947016593,3.2472320947016593,3.1949127548035747,0.0,0.0,0.0,3.229792314735631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0466,3.247263132812503,3.247263132812503,3.1949427524114564,0.0,0.0,0.0,3.229823006012154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0621,3.247306333529389,3.247306333529389,3.1949845049140486,0.0,0.0,0.0,3.229865723990942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0776,3.2473618581258856,3.2473618581258856,3.1950381681989404,0.0,0.0,0.0,3.229920628150237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0931,3.247429709244371,3.247429709244371,3.1951037448462642,0.0,0.0,0.0,3.229987721111669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1086,3.247509890114368,3.247509890114368,3.195181238009512,0.0,0.0,0.0,3.230067006079416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1241,3.247602404552978,3.247602404552978,3.1952706514159166,0.0,0.0,0.0,3.230158486840624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1397,3.2477079734998022,3.2477079734998022,3.195372681884963,0.0,0.0,0.0,3.2302628762948555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1552,3.2478252485295216,3.2478252485295216,3.1954860262383535,0.0,0.0,0.0,3.230378841099132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1707,3.2479548721483558,3.2479548721483558,3.1956113055021,0.0,0.0,0.0,3.230507016599604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1862,3.248096850533731,3.248096850533731,3.195748525708513,0.0,0.0,0.0,3.230647408925325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2017,3.248251190454207,3.248251190454207,3.1958976934672036,0.0,0.0,0.0,3.2308000247918724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2173,3.2484190149851924,3.2484190149851924,3.1960598942950833,0.0,0.0,0.0,3.230965974755156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2328,3.248598180528651,3.248598180528651,3.1962330565053025,0.0,0.0,0.0,3.231143139187535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2483,3.248789731526699,3.248789731526699,3.1964181896263533,0.0,0.0,0.0,3.2313325508932507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2638,3.2489936771266543,3.2489936771266543,3.1966153025913853,0.0,0.0,0.0,3.2315342189482315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2793,3.249210027072602,3.249210027072602,3.196824404916519,0.0,0.0,0.0,3.231748153020574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2949,3.2494403079368492,3.2494403079368492,3.197046972145963,0.0,0.0,0.0,3.2319758626732202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3104,3.249681578403344,3.249681578403344,3.197280161599511,0.0,0.0,0.0,3.232214439468733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3259,3.2499352861194852,3.2499352861194852,3.197525372548537,0.0,0.0,0.0,3.232465314929169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3414,3.250201443235037,3.250201443235037,3.1977826168597,0.0,0.0,0.0,3.2327285011099245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3569,3.250480062504396,3.250480062504396,3.198051906990585,0.0,0.0,0.0,3.233004010666459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3724,3.2507711572883426,3.2507711572883426,3.198333255991342,0.0,0.0,0.0,3.233291856856009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.388,3.251076740744107,3.251076740744107,3.198628609774259,0.0,0.0,0.0,3.2335940304208237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4035,3.2513929097949212,3.2513929097949212,3.1989341960723374,0.0,0.0,0.0,3.233906671887393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.419,3.251721598200693,3.251721598200693,3.1992518840642044,0.0,0.0,0.0,3.23423169348853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4345,3.252062821771818,3.252062821771818,3.1995816891947118,0.0,0.0,0.0,3.234569110912783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,3.2524165969355754,3.2524165969355754,3.1999236275118395,0.0,0.0,0.0,3.2349189404609966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4656,3.252785345090467,3.252785345090467,3.200280039591949,0.0,0.0,0.0,3.235283576590961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4811,3.253164356461397,3.253164356461397,3.200646373405865,0.0,0.0,0.0,3.2356583621095525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4966,3.25355597255218,3.25355597255218,3.2010248923110294,0.0,0.0,0.0,3.2360456124717967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5121,3.2539602122862537,3.2539602122862537,3.2014156147968382,0.0,0.0,0.0,3.2364453464564487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5276,3.25437709521666,3.25437709521666,3.201818559968681,0.0,0.0,0.0,3.2368575834673337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5431,3.2548066415289596,3.2548066415289596,3.20223374755083,0.0,0.0,0.0,3.237282343536249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5587,3.2552517663712437,3.2552517663712437,3.2026639954911693,0.0,0.0,0.0,3.2377225094112188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5742,3.255706784591813,3.255706784591813,3.2031038088763,0.0,0.0,0.0,3.2381724593533083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5897,3.2561745307203798,3.2561745307203798,3.203555927729095,0.0,0.0,0.0,3.2386349963899512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6052,3.2566550275069623,3.2566550275069623,3.204020374283808,0.0,0.0,0.0,3.239110143099244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6207,3.2571482983496907,3.2571482983496907,3.204497171409328,0.0,0.0,0.0,3.239597922702903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
