energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.383306715020174,3.2410252515769886,3.275634744549888,0.0,0.0,0.0,3.299988903715684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.514200000000001
0.0156,3.3833138230897655,3.2410318000416294,3.2756414595127916,0.0,0.0,0.0,3.2999956942147293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0312,3.3833351476595865,3.2410514457636252,3.2756616047419387,0.0,0.0,0.0,3.3000160660550506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0468,3.3833706898127445,3.2410841897272014,3.275695181258774,0.0,0.0,0.0,3.3000500202662395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0625,3.3834208162110806,3.2411303697042997,3.2757425354440355,0.0,0.0,0.0,3.3000979071198056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0781,3.383484890845534,3.241189399726438,3.275803066458562,0.0,0.0,0.0,3.3001591190101784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0937,3.3835631906706967,3.241261534902911,3.2758770359346907,0.0,0.0,0.0,3.300233920502766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1093,3.383655719665466,3.2413467788493033,3.2759644476246317,0.0,0.0,0.0,3.3003223153798005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1249,3.3837624825327324,3.2414451358390277,3.276065305963326,0.0,0.0,0.0,3.3004243081116953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1405,3.3838834847000765,3.241556610804031,3.2761796160691024,0.0,0.0,0.0,3.3005399038577363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1562,3.3840196452581766,3.24168205038947,3.276308246191418,0.0,0.0,0.0,3.3006699806130215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1718,3.3841692365962817,3.241819862925635,3.276449564254453,0.0,0.0,0.0,3.3008128879254564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1874,3.384333087925171,3.241970812238096,3.2766043535964258,0.0,0.0,0.0,3.3009694179198976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.203,3.384511207585132,3.2421349059052265,3.276772622082407,0.0,0.0,0.0,3.301139578524255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2186,3.3847036046462438,3.242312152168601,3.2769543782656974,0.0,0.0,0.0,3.3013233783601805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2342,3.3849102889098237,3.242502559934099,3.2771496313891757,0.0,0.0,0.0,3.301520826744366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2499,3.385132733604898,3.2427074862731002,3.277359773183073,0.0,0.0,0.0,3.301733331020357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2655,3.3853681163719656,3.24292433095453,3.2775821373671516,0.0,0.0,0.0,3.3019581948978822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2811,3.385617820227267,3.243154367927459,3.277818030446442,0.0,0.0,0.0,3.302196739533722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2967,3.385881857917461,3.2433976087735656,3.278067464441352,0.0,0.0,0.0,3.302448977044126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3123,3.386160242928925,3.2436540657464685,3.2783304520698207,0.0,0.0,0.0,3.302714920248405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3279,3.386452989489725,3.243923751773517,3.2786070067492092,0.0,0.0,0.0,3.302994582670817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3435,3.386760112571755,3.2442066804577507,3.2788971425983364,0.0,0.0,0.0,3.3032879785426146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3592,3.3870837353485235,3.2445048075001406,3.279202865327994,0.0,0.0,0.0,3.3035971360588863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3748,3.3874197517938436,3.2448143501467315,3.279520295994671,0.0,0.0,0.0,3.3039181326450824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3904,3.3877701942752165,3.2451371804368287,3.279851354524542,0.0,0.0,0.0,3.304252909745529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.406,3.388135080768512,3.245473314701827,3.2801960578692224,0.0,0.0,0.0,3.3046014844465206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4216,3.388514430005941,3.2458227699599007,3.2805544236935122,0.0,0.0,0.0,3.3049638745531182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4372,3.388908261478845,3.246185563918677,3.2809264703781174,0.0,0.0,0.0,3.30534009859188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4529,3.389319259791333,3.246564169328991,3.2813147339912723,0.0,0.0,0.0,3.3057327210371987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4685,3.389742210429642,3.2469537823908032,3.281714288429018,0.0,0.0,0.0,3.306136760416488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4841,3.39017970650476,3.2473567915686132,3.2821275833269827,0.0,0.0,0.0,3.3065546938001185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4997,3.3906317705804168,3.247773217359674,3.282554639963151,0.0,0.0,0.0,3.3069865426344136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5153,3.3910984259954997,3.2482030809650104,3.2829954803464774,0.0,0.0,0.0,3.3074323291023293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5309,3.3915796968677117,3.2486464042925913,3.2834501272202767,0.0,0.0,0.0,3.30789207612686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5466,3.3920788342953303,3.2491061817416926,3.2839216517852745,0.0,0.0,0.0,3.308368889274099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5622,3.392589505666105,3.2495765797337914,3.284404071713683,0.0,0.0,0.0,3.3088567190378595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5778,3.393114869729437,3.2500605076039686,3.2849003709666533,0.0,0.0,0.0,3.3093585827666865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5934,3.3936549537613807,3.250557990126901,3.285410575265813,0.0,0.0,0.0,3.3098745063846984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.609,3.39420978583654,3.2510690528019843,3.285934711085858,0.0,0.0,0.0,3.310404516574794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6246,3.394779394832373,3.2515937218571627,3.2864728056585353,0.0,0.0,0.0,3.3109486407826902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6403,3.395367604514186,3.252135518945448,3.287028471138083,0.0,0.0,0.0,3.3115105315325724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6559,3.395966952427589,3.2526875700408917,3.2875946578984436,0.0,0.0,0.0,3.3120830601223084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6715,3.3965811689602026,3.2532533107971906,3.2881748898840506,0.0,0.0,0.0,3.312669789880481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6871,3.397210286252415,3.2538327704026795,3.2887691974035604,0.0,0.0,0.0,3.313270751352885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
