energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.4726224117945246,3.4726224117945246,3.3155534643016726,0.0,0.0,0.0,3.4202660959635742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.693499999999999
0.0198,3.472632334156355,3.472632334156355,3.3155618236401585,0.0,0.0,0.0,3.4202754973176233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0397,3.472662302644735,3.472662302644735,3.315587071281266,0.0,0.0,0.0,3.4203038921902453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0595,3.4727120181506814,3.4727120181506814,3.3156289550812796,0.0,0.0,0.0,3.4203509971275476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0793,3.472781584610713,3.472781584610713,3.315687562350647,0.0,0.0,0.0,3.420416910524024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0991,3.4728710068627144,3.4728710068627144,3.315762896810672,0.0,0.0,0.0,3.420501636845367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.119,3.4729808934894937,3.4729808934894937,3.315855470702782,0.0,0.0,0.0,3.42060575256059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1388,3.4731101477415476,3.4731101477415476,3.3159643595114887,0.0,0.0,0.0,3.420728218331528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1586,3.473259280645405,3.473259280645405,3.3160899930936223,0.0,0.0,0.0,3.420869518128144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1785,3.4734292067268004,3.4734292067268004,3.316233141090319,0.0,0.0,0.0,3.4210305181813063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1983,3.473618230009451,3.473618230009451,3.3163923739216905,0.0,0.0,0.0,3.421209611313531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2181,3.4738271673278365,3.4738271673278365,3.316568378739838,0.0,0.0,0.0,3.4214075711318372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2379,3.4740560332447497,3.4740560332447497,3.3167611667440258,0.0,0.0,0.0,3.4216244110778415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2578,3.4743061509868305,3.4743061509868305,3.3169718513588338,0.0,0.0,0.0,3.4218613844441648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2776,3.4745750242447664,3.4745750242447664,3.3171983285591686,0.0,0.0,0.0,3.4221161256829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2974,3.4748638782835806,3.4748638782835806,3.3174416290714936,0.0,0.0,0.0,3.4223897952128848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3173,3.475174343954607,3.475174343954607,3.317703125010747,0.0,0.0,0.0,3.4226839376399867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3371,3.47550332268537,3.47550332268537,3.3179802049494906,0.0,0.0,0.0,3.422995616773411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3569,3.475852347094419,3.475852347094419,3.3182741580948902,0.0,0.0,0.0,3.423326284094576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3767,3.476221441617757,3.476221441617757,3.3185850032315263,0.0,0.0,0.0,3.4236759621556803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3966,3.4766126487758546,3.4766126487758546,3.3189144585349575,0.0,0.0,0.0,3.424046585362222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4164,3.477022064251404,3.477022064251404,3.3192592339663474,0.0,0.0,0.0,3.424434454156385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4362,3.4774516318786133,3.4774516318786133,3.3196209644431347,0.0,0.0,0.0,3.4248414094001203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4561,3.4779037045804952,3.4779037045804952,3.320001628961894,0.0,0.0,0.0,3.425269679374295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4759,3.478373770682341,3.478373770682341,3.3203974261605222,0.0,0.0,0.0,3.4257149891750682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4957,3.478864084010958,3.478864084010958,3.32081025146068,0.0,0.0,0.0,3.426179473160865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5155,3.4793746791263316,3.4793746791263316,3.321240131413391,0.0,0.0,0.0,3.426663163222018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5354,3.479908325067475,3.479908325067475,3.321689394485553,0.0,0.0,0.0,3.427168681540168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5552,3.4804596962295777,3.4804596962295777,3.3221535544054537,0.0,0.0,0.0,3.427690982288203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.575,3.4810314619147356,3.4810314619147356,3.322634855570143,0.0,0.0,0.0,3.4282325931332047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5948,3.4816236626206583,3.4816236626206583,3.323133329078819,0.0,0.0,0.0,3.428793551440045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6147,3.4822394867242554,3.4822394867242554,3.323651655337678,0.0,0.0,0.0,3.429376876262063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6345,3.482872788738832,3.482872788738832,3.324184658588023,0.0,0.0,0.0,3.4299767453552286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6543,3.483526656554159,3.483526656554159,3.324734934586869,0.0,0.0,0.0,3.4305960825650623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6742,3.4842045956045204,3.4842045956045204,3.3253054296607516,0.0,0.0,0.0,3.4312382069565976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.694,3.4848998407532363,3.4848998407532363,3.3258904472742485,0.0,0.0,0.0,3.4318967095935737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7138,3.4856157963112557,3.4856157963112557,3.326492848613672,0.0,0.0,0.0,3.432574813745395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7336,3.486352513514443,3.486352513514443,3.3271126729882035,0.0,0.0,0.0,3.4332725666723634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7535,3.4871139240082036,3.4871139240082036,3.3277532239267225,0.0,0.0,0.0,3.43399369064771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7733,3.487892430052664,3.487892430052664,3.328408105629618,0.0,0.0,0.0,3.4347309885783157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7931,3.488691861222132,3.488691861222132,3.329080535754361,0.0,0.0,0.0,3.4354880860662083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.813,3.4895164719820717,3.4895164719820717,3.32977408816065,0.0,0.0,0.0,3.4362690107082643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8328,3.4903580342689295,3.4903580342689295,3.330481838072481,0.0,0.0,0.0,3.4370659688701135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8526,3.4912206996895216,3.4912206996895216,3.3312072728707656,0.0,0.0,0.0,3.437882890749936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8724,3.4921045307619005,3.4921045307619005,3.3319504404668203,0.0,0.0,0.0,3.438719833996874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8923,3.4930142166726155,3.4930142166726155,3.332715278431915,0.0,0.0,0.0,3.4395812372590484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9121,3.4939406809862676,3.4939406809862676,3.3334941506186566,0.0,0.0,0.0,3.440458504197064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9319,3.494888508876404,3.494888508876404,3.3342909072297737,0.0,0.0,0.0,3.441355974994194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9518,3.495862719374148,3.495862719374148,3.3351097615370358,0.0,0.0,0.0,3.4422784000951108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9716,3.496853592701838,3.496853592701838,3.335942538426538,0.0,0.0,0.0,3.4432165746100716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9914,3.4978660429310815,3.4978660429310815,3.3367933630723114,0.0,0.0,0.0,3.4441751496448245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0112,3.498900144539046,3.498900144539046,3.337662292475211,0.0,0.0,0.0,3.445154193851101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0311,3.499961361519895,3.499961361519895,3.338553911442366,0.0,0.0,0.0,3.4461588781607184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0509,3.5010391067431526,3.5010391067431526,3.3394593189320187,0.0,0.0,0.0,3.4471791774727745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0707,3.5021387378713373,3.5021387378713373,3.3403830105972507,0.0,0.0,0.0,3.4482201621133086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0906,3.503266057109002,3.503266057109002,3.3413298533316325,0.0,0.0,0.0,3.4492873225165455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1104,3.50440981848241,3.50440981848241,3.3422903952471703,0.0,0.0,0.0,3.4503700107373305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1302,3.5055757167497075,3.5055757167497075,3.3432694132256358,0.0,0.0,0.0,3.4514736155750168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.15,3.5067638391724625,3.5067638391724625,3.3442669739505413,0.0,0.0,0.0,3.452598217431822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1699,3.5079804450095184,3.5079804450095184,3.3452883250733696,0.0,0.0,0.0,3.453749738364136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1897,3.509213398538314,3.509213398538314,3.3463232716265767,0.0,0.0,0.0,3.454916689567735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2095,3.5104688499679244,3.5104688499679244,3.3473769700169997,0.0,0.0,0.0,3.456104889984283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2294,3.511753406571877,3.511753406571877,3.348454957454436,0.0,0.0,0.0,3.4573205901993966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2492,3.513054255633344,3.513054255633344,3.3495464742349883,0.0,0.0,0.0,3.458551661833892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.269,3.5143778940819645,3.5143778940819645,3.350656965329488,0.0,0.0,0.0,3.4598042511644724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2888,3.515724422956531,3.515724422956531,3.3517865078163918,0.0,0.0,0.0,3.4610784512431514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3087,3.51710092066782,3.51710092066782,3.352941030386506,0.0,0.0,0.0,3.462380957240715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3285,3.518493658694021,3.518493658694021,3.35410901033305,0.0,0.0,0.0,3.4636987759070306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3483,3.519909603251317,3.519909603251317,3.355296282686934,0.0,0.0,0.0,3.4650384963965224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3682,3.5213561921249097,3.5213561921249097,3.356509074338664,0.0,0.0,0.0,3.466407152862828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.388,3.5228189987966743,3.5228189987966743,3.3577352818001223,0.0,0.0,0.0,3.4677910931311566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4078,3.5243053473705297,3.5243053473705297,3.3589810371614557,0.0,0.0,0.0,3.469197243967505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4276,3.5258153538469554,3.5258153538469554,3.3602464287441145,0.0,0.0,0.0,3.4706257121460085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4475,3.5273569433941607,3.5273569433941607,3.36153808726536,0.0,0.0,0.0,3.472083991351227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4673,3.5289147436798074,3.5289147436798074,3.3628431233290588,0.0,0.0,0.0,3.4735575368962244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.4871,3.530496564073438,3.530496564073438,3.3641680712291855,0.0,0.0,0.0,3.4750537331253537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5069,3.532102529739108,3.532102529739108,3.365513026150348,0.0,0.0,0.0,3.4765726952095215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5268,3.533741063557146,3.533741063557146,3.366885030473261,0.0,0.0,0.0,3.4781223858625174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5466,3.5353958283305142,3.5353958283305142,3.368270394374859,0.0,0.0,0.0,3.4796873503452956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5664,3.5370751288613556,3.5370751288613556,3.369676062067082,0.0,0.0,0.0,3.481275439929931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.5863,3.5387877687427842,3.5387877687427842,3.3711093903182965,0.0,0.0,0.0,3.4828949759346215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6061,3.5405166734296105,3.5405166734296105,3.372556078535147,0.0,0.0,0.0,3.484529808464789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6259,3.542270526615125,3.542270526615125,3.374023383923759,0.0,0.0,0.0,3.4861881457180033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.6457,3.5440494707478543,3.5440494707478543,3.3755114145694134,0.0,0.0,0.0,3.487870118688374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
