energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.250080240202744,3.261825159928901,3.0966401272406916,0.0,0.0,-0.001720853357090272,3.2028485091241126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1477
0.0137,3.250087924727037,3.2618329063393596,3.096647065378266,0.0,0.0,-0.0017208779018590312,3.202855965481554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.60220672069079,0.0,
0.0275,3.250111203623801,3.261856372708294,3.096668083230211,0.0,0.0,-0.001720952256181925,3.2028785531874355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.6273653916848,0.0,
0.0412,3.250149741150249,3.2618952205862937,3.0967028776661207,0.0,0.0,-0.001721075348627567,3.2029159464675545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.23701163760416,0.0,
0.0549,3.2502036526054203,3.261949566196401,3.096751552789877,0.0,0.0,-0.001721247549047013,3.2029682571972327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.85407085539373,0.0,
0.0686,3.2502729417756777,3.262019413349022,3.096814112025148,0.0,0.0,-0.0017214688717426777,3.2030354890499493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.48100881298,0.0,
0.0824,3.2503582881350175,3.2621054469814488,3.096891168856503,0.0,0.0,-0.0017217414899910433,3.203118301324323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.54106808819586,0.0,
0.0961,3.2504584607695306,3.2622064262574266,3.0969816119344413,0.0,0.0,-0.001722061475423395,3.2032154996538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.19528083902003,0.0,
0.1098,3.250574029024884,3.2623229250954613,3.097085955314484,0.0,0.0,-0.0017224306507497324,3.203327636478276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.8667922939514,0.0,
0.1235,3.250705001027596,3.262454951673714,3.097204206344803,0.0,0.0,-0.001722849046648129,3.2034547196820378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519.5580718757453,0.0,
0.1373,3.2508525111818214,3.2626036495141597,3.097337389260576,0.0,0.0,-0.001723320292575212,3.2035978499855187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.6929447290121,0.0,
0.151,3.2510144320291983,3.2627668740114655,3.097483583251295,0.0,0.0,-0.0017238375980081968,3.2037549630973197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635.4313637739859,0.0,
0.1647,3.2511917876232412,3.262945657445049,3.097643712922131,0.0,0.0,-0.001724404240977212,3.2039270526634738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.1969859071144,0.0,
0.1784,3.2513845904615852,3.2631400123917853,3.0978177895735355,0.0,0.0,-0.0017250202686106184,3.204114130808969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.9922868723395,0.0,
0.1922,3.251594431186014,3.263351542274043,3.098007249373584,0.0,0.0,-0.001725690771430033,3.2043177409445467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.2419669534746,0.0,
0.2059,3.2518182834161697,3.2635771963245555,3.098209359900819,0.0,0.0,-0.0017264060877346466,3.2045349465471813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.1043229037491,0.0,
0.2196,3.2520576271014145,3.263818466379088,3.0984254573842103,0.0,0.0,-0.0017271709552982406,3.204767183621571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0038156820149,0.0,
0.2333,3.2523124791581695,3.2640753694610947,3.0986555571195504,0.0,0.0,-0.0017279854378139115,3.2050144685796043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.9429300336269,0.0,
0.2471,3.2525848883060156,3.2643499707448007,3.098901508871496,0.0,0.0,-0.0017288560937291566,3.2052787893074375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041.347534906416,0.0,
0.2608,3.2528709258519166,3.264638309888816,3.0991597655418017,0.0,0.0,-0.0017297703773119036,3.205556333760845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.3736921782975,0.0,
0.2745,3.2531725293606315,3.2649423400154154,3.099432076537854,0.0,0.0,-0.0017307344924758505,3.2058489819713003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.4469601417725,0.0,
0.2882,3.2534897202321797,3.2652620826595133,3.0997184612092816,0.0,0.0,-0.0017317485196329755,3.206156754700325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1215.5698352432544,0.0,
0.302,3.2538250076439366,3.2656000671421705,3.100021185069234,0.0,0.0,-0.0017328204940101075,3.206482086618447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.1696498929086,0.0,
0.3157,3.2541735561738676,3.2659514191032635,3.1003358823492455,0.0,0.0,-0.0017339349691295237,3.206820285875459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.3996499808286,0.0,
0.3294,3.2545377632598873,3.266318555223281,3.1006647176764406,0.0,0.0,-0.0017350996234289544,3.20717367871987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.6867856015363,0.0,
0.3431,3.2549176548681036,3.2667015016314918,3.101007714528785,0.0,0.0,-0.0017363145542330979,3.2075422903427935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1449.033567626864,0.0,
0.3569,3.255316203563225,3.267103254743205,3.101367556816479,0.0,0.0,-0.0017375892844146302,3.20792900504097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.86908832442,0.0,
0.3706,3.255727661735388,3.267518020686188,3.10173905516493,0.0,0.0,-0.0017389054461339995,3.208328245862169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.3431934492296,0.0,
0.3843,3.2561548895007286,3.267948682521568,3.102124791957108,0.0,0.0,-0.0017402722027446123,3.2087427879931347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1624.8845208858052,0.0,
0.398,3.256597917492519,3.268395271074131,3.1025247948904258,0.0,0.0,-0.0017416896687169438,3.2091726611523588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1683.4955986852183,0.0,
0.4118,3.257060185153353,3.2688612533656634,3.1029421694279917,0.0,0.0,-0.0017431688674748897,3.209621202649003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.6075772907468,0.0,
0.4255,3.257535026163668,3.269339909448547,3.103370896691969,0.0,0.0,-0.0017446884852484474,3.2100819441013946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1801.366314502768,0.0,
0.4392,3.25802576668159,3.2698345921489294,3.103813979862313,0.0,0.0,-0.0017462591827299805,3.2105581128976106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.2024338283793,0.0,
0.4529,3.258532442127812,3.2703453371078206,3.1042714509643536,0.0,0.0,-0.0017478810918079876,3.2110497433999954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1919.1184832855527,0.0,
0.4667,3.259058962888723,3.2708760860441957,3.104746840690066,0.0,0.0,-0.0017495667514312056,3.2115606298743278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978.5479720637784,0.0,
0.4804,3.2595977363251385,3.271419185277195,3.1052332937774785,0.0,0.0,-0.0017512918733188236,3.212083405126604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.6321778714678,0.0,
0.4941,3.2601525585732545,3.271978461358183,3.1057342377620363,0.0,0.0,-0.0017530686299856442,3.212621752564491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2096.80400984352,0.0,
0.5078,3.2607234699818175,3.272553954885319,3.106249709123824,0.0,0.0,-0.0017548971710488756,3.2131757113303205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.066038789749,0.0,
0.5216,3.261314856538992,3.273150086961031,3.1067836679946623,0.0,0.0,-0.0017567915680584462,3.213749537164895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.8544358016534,0.0,
0.5353,3.2619181905585735,3.2737582613891445,3.107328414837354,0.0,0.0,-0.0017587245255614333,3.214334955595024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.305301385799,0.0,
0.549,3.2625377426793123,3.2743827829982957,3.107887805633247,0.0,0.0,-0.0017607097444716233,3.214936110436952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2334.854132813921,0.0,
0.5627,3.2631735583403847,3.2750236975064455,3.1084618814634513,0.0,0.0,-0.0017627473924836084,3.215553045770094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.5035265526813,0.0,
0.5765,3.2638305044010236,3.2756859107006275,3.1090550366631784,0.0,0.0,-0.0017648530929657074,3.21619048392161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2454.6926216728916,0.0,
0.5902,3.2644991082488968,3.2763598739288193,3.10965871848786,0.0,0.0,-0.0017669965064724654,3.216839233555192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2514.551738731968,0.0,
0.6039,3.2651841201573792,3.2770503754597184,3.1102772160040137,0.0,0.0,-0.0017691928810236554,3.217503903873704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2574.5192684861577,0.0,
0.6177,3.2658907716995857,3.277762688679121,3.110915252869848,0.0,0.0,-0.0017714590184933897,3.2181895710828514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2635.0367803309578,0.0,
0.6314,3.266608873934176,3.2784865429106205,3.1115636295332014,0.0,0.0,-0.0017737622683178266,3.2188863487926658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2695.229857557929,0.0,
0.6451,3.2673435408275147,3.2792270929943004,3.1122269634604134,0.0,0.0,-0.0017761190531434745,3.2195991990940764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2755.53926481241,0.0,
0.6588,3.2680948271903616,3.2799843940724718,3.112905304202066,0.0,0.0,-0.001778529573257031,3.2203281751549664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.967650493264,0.0,
0.6726,3.268868456231073,3.2807642150437113,3.113603819350021,0.0,0.0,-0.0017810122212734826,3.2210788302082682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2876.9600958078836,0.0,
0.6863,3.269653273896314,3.281555312465557,3.1143124378943368,0.0,0.0,-0.0017835312279041843,3.2218403414187358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937.635333405704,0.0,
0.7,3.270454884299425,3.282363335193243,3.115036219889184,0.0,0.0,-0.001786104600900753,3.222618146460617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2998.437563765604,0.0,
0.7137,3.271273347912256,3.2831883440608536,3.115775220000352,0.0,0.0,-0.0017887325597701078,3.2234123039911537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3059.369469035053,0.0,
0.7275,3.272114886653322,3.284036610596495,3.116535056148375,0.0,0.0,-0.0017914351132034538,3.2242288511327306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.879958108977,0.0,
0.7412,3.2729673680926905,3.284895905246084,3.11730477387322,0.0,0.0,-0.0017941733244504028,3.225056015737332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182.0802912221934,0.0,
0.7549,3.273836893414251,3.2857723778443204,3.11808988207508,0.0,0.0,-0.0017969668111562469,3.225899717777884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3243.4184195937037,0.0,
0.7686,3.274723529009493,3.2866660951762485,3.1188904407676237,0.0,0.0,-0.0017998158125245426,3.226760021651122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3304.897062133158,0.0,
0.7824,3.275634003293572,3.287583839231088,3.1197125252376234,0.0,0.0,-0.0018027419809757968,3.227643455920761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.96927550985,0.0,
0.7961,3.2765551908679993,3.288512379663192,3.120544284383417,0.0,0.0,-0.0018057031590290788,3.228537284971536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.738217540442,0.0,
0.8098,3.277493697615946,3.289458374959917,3.121391682846115,0.0,0.0,-0.0018087206013140315,3.229447918473993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3490.6559092104553,0.0,
0.8235,3.278449596138165,3.290421898147285,3.122254786247967,0.0,0.0,-0.001811794567234515,3.2303754268444727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3552.7251092348297,0.0,
0.8373,3.27943012987946,3.2914102502577425,3.123140134953649,0.0,0.0,-0.0018149483829652277,3.2313268383636173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3615.403346703299,0.0,
0.851,3.280421164492161,3.2924091840780676,3.124034966773545,0.0,0.0,-0.0018181366123748398,3.2322884384479242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3677.785038061323,0.0,
0.8647,3.28142981892722,3.293425875164698,3.1249457096526774,0.0,0.0,-0.0018213821765226926,3.2332671345815314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3740.3265975524873,0.0,
0.8784,3.282456172318022,3.2944604031087246,3.12587243511269,0.0,0.0,-0.0018246853555391397,3.2342630035131457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3803.03082675946,0.0,
