energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,3.818229494174272,4.079445385571908,4.476034107825217,0.0,0.0,0.0,4.1245696625237995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5084999999999997
0.0147,3.8182405907632435,4.079458595124253,4.476049824482993,0.0,0.0,0.0,4.12458300345683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0293,3.8182735799550436,4.079497865982532,4.476096548770849,0.0,0.0,0.0,4.124622664902808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.044,3.81832891625517,4.079563739229538,4.47617492453174,0.0,0.0,0.0,4.124689193338816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0586,3.818405851079722,4.079655323791533,4.476283891676921,0.0,0.0,0.0,4.124781688849392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0733,3.818505444392914,4.07977388154336,4.47642495173491,0.0,0.0,0.0,4.124901425890395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0879,3.8186263489097216,4.079917808746691,4.476596196771005,0.0,0.0,0.0,4.125046784809139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1026,3.8187702303890934,4.080089088472079,4.476799986487869,0.0,0.0,0.0,4.12521976844968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1172,3.8189351424290408,4.080285403816051,4.477033564499018,0.0,0.0,0.0,4.125418036914703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1319,3.819123357111469,4.080509459679671,4.477300149449775,0.0,0.0,0.0,4.125644322080305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1465,3.819332328316485,4.080758225270742,4.477596135625824,0.0,0.0,0.0,4.125895563071016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1612,3.8195649351699696,4.081035128187194,4.4779256016641495,0.0,0.0,0.0,4.126175221673772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1758,3.8198180310472303,4.081336422800953,4.478284091375887,0.0,0.0,0.0,4.126479515074689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1905,3.8200951030329247,4.081666260505792,4.4786765447201455,0.0,0.0,0.0,4.126812636086288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2051,3.820392403023922,4.082020179665738,4.479097653614795,0.0,0.0,0.0,4.127170078768152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2198,3.820714027172995,4.082403056803141,4.479553220954554,0.0,0.0,0.0,4.127556768310231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2344,3.8210556247373217,4.082809712876582,4.480037085071991,0.0,0.0,0.0,4.127967474228631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2491,3.821421902242958,4.083245751104571,4.480555913695498,0.0,0.0,0.0,4.128407855681009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2637,3.821807904957204,4.083705273415392,4.4811026896051604,0.0,0.0,0.0,4.128871955992586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2784,3.822218951281863,4.08419461152824,4.481684947547671,0.0,0.0,0.0,4.129366170119258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.293,3.822649480953845,4.0847071464873626,4.482294812506664,0.0,0.0,0.0,4.129883813315957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3077,3.823105425951985,4.085249940555594,4.48294068872047,0.0,0.0,0.0,4.13043201840935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3223,3.8235806187505688,4.085815651809075,4.483613840853025,0.0,0.0,0.0,4.131003370470889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.337,3.8240816068073884,4.086412075337728,4.4843235453991515,0.0,0.0,0.0,4.131605742514756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3516,3.8246016134080407,4.087031143932719,4.485060203898091,0.0,0.0,0.0,4.132230987079617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3663,3.825147803594275,4.087681388037715,4.485833968160158,0.0,0.0,0.0,4.132887719930715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
