energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.551533265292024,2.551533265292024,2.7326241636436555,0.0,0.0,0.0,2.611896898075901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2771
0.0147,2.5515361861503747,2.5515361861503747,2.732627414459146,0.0,0.0,0.0,2.611899928919965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0295,2.5515450284320167,2.5515450284320167,2.732637255608486,0.0,0.0,0.0,2.6119091041575064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0442,2.5515596729213827,2.5515596729213827,2.732653554385593,0.0,0.0,0.0,2.611924300076119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.059,2.5515803193254882,2.5515803193254882,2.7326765330176874,0.0,0.0,0.0,2.6119457238895545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0737,2.551606689280391,2.551606689280391,2.732705881642149,0.0,0.0,0.0,2.6119730867343103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0885,2.5516391423935136,2.5516391423935136,2.7327420004157514,0.0,0.0,0.0,2.6120067617342593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1032,2.5516772411178157,2.5516772411178157,2.7327844022836505,0.0,0.0,0.0,2.6120462948397605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.118,2.55172150500636,2.55172150500636,2.7328336653785668,0.0,0.0,0.0,2.612092225130429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1327,2.5517713372744684,2.5517713372744684,2.732889125397303,0.0,0.0,0.0,2.6121439333154135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
