energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4477456562773376,2.4477456562773376,2.6581375005931855,0.0,0.0,0.0,2.517876271049287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1292
0.0152,2.447748237201969,2.447748237201969,2.658140584622772,0.0,0.0,0.0,2.51787901967557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0304,2.447755980056238,2.447755980056238,2.6581498368026586,0.0,0.0,0.0,2.5178872656383784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0456,2.4477688850812878,2.4477688850812878,2.6581652574060666,0.0,0.0,0.0,2.5179010091895475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0608,2.4477869526790847,2.4477869526790847,2.6581868468884817,0.0,0.0,0.0,2.5179202507488836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.076,2.447810183412357,2.447810183412357,2.6582146058875886,0.0,0.0,0.0,2.5179449909041005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0912,2.4478385780047893,2.4478385780047893,2.6582485352233673,0.0,0.0,0.0,2.517975230410982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1064,2.447872137340967,2.447872137340967,2.658288635898161,0.0,0.0,0.0,2.5180109701933646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1216,2.4479108624665455,2.4479108624665455,2.658334909096777,0.0,0.0,0.0,2.518052211343289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1368,2.44795475458827,2.44795475458827,2.658387356186512,0.0,0.0,0.0,2.518098955121017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.152,2.4480038150742214,2.4480038150742214,2.6584459787173547,0.0,0.0,0.0,2.518151202955266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1672,2.44805804545378,2.44805804545378,2.6585107784220625,0.0,0.0,0.0,2.5182089564432073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1824,2.4481174474178813,2.4481174474178813,2.6585817572163437,0.0,0.0,0.0,2.518272217350702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1976,2.448182022819178,2.448182022819178,2.6586589171989607,0.0,0.0,0.0,2.5183409876124387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2128,2.4482517736721556,2.4482517736721556,2.658742260651954,0.0,0.0,0.0,2.5184152693320883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.228,2.4483267021533743,2.4483267021533743,2.658831790040849,0.0,0.0,0.0,2.5184950647825324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2432,2.448406810601684,2.448406810601684,2.6589275080147723,0.0,0.0,0.0,2.5185803764060464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2584,2.4484921015183843,2.4484921015183843,2.6590294174067775,0.0,0.0,0.0,2.518671206814515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2736,2.4485825775675463,2.4485825775675463,2.6591375212340265,0.0,0.0,0.0,2.5187675587897065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2888,2.4486782415762196,2.4486782415762196,2.659251822698034,0.0,0.0,0.0,2.518869435283491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.304,2.448779096534702,2.448779096534702,2.6593723251849832,0.0,0.0,0.0,2.518976839418129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3192,2.448885145596845,2.448885145596845,2.659499032265953,0.0,0.0,0.0,2.5190897744865475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3344,2.448996392080364,2.448996392080364,2.659631947697272,0.0,0.0,0.0,2.5192082439526664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3496,2.4491128394671153,2.4491128394671153,2.6597710754207666,0.0,0.0,0.0,2.5193322514516656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3648,2.4492344914035047,2.4492344914035047,2.6599164195641745,0.0,0.0,0.0,2.5194618007903946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.38,2.449361351700756,2.449361351700756,2.660067984441403,0.0,0.0,0.0,2.5195968959476382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
