energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.4442035010784355,2.4442035010784355,2.483271641936338,0.0,0.0,0.0,2.4572262146977364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0057
0.0141,2.4442065989775354,2.4442065989775354,2.483274833957579,0.0,0.0,0.0,2.457229343970883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0283,2.444215980869961,2.444215980869961,2.4832845008935394,0.0,0.0,0.0,2.4572388208778206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0424,2.4442315150795,2.4442315150795,2.4833005070599867,0.0,0.0,0.0,2.457254512406329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0566,2.4442534227291737,2.4442534227291737,2.4833230802856967,0.0,0.0,0.0,2.457276641914681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0707,2.4442813963422236,2.4442813963422236,2.4833519037351706,0.0,0.0,0.0,2.457304898806539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0848,2.4443155696039414,2.4443155696039414,2.4833871151332674,0.0,0.0,0.0,2.4573394181137167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.099,2.4443562527000524,2.4443562527000524,2.4834290340610057,0.0,0.0,0.0,2.4573805131537036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1131,2.4444028746392137,2.4444028746392137,2.483477072149994,0.0,0.0,0.0,2.457427607142807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1272,2.4444557022361755,2.4444557022361755,2.4835315042834143,0.0,0.0,0.0,2.457480969585255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1414,2.4445151789779898,2.4445151789779898,2.4835927873750197,0.0,0.0,0.0,2.4575410484436664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1555,2.4445804701057385,2.4445804701057385,2.4836600612666784,0.0,0.0,0.0,2.4576070004927186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1697,2.4446525050191683,2.4446525050191683,2.4837342835296354,0.0,0.0,0.0,2.4576797645226574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1838,2.4447302727081732,2.4447302727081732,2.4838144123972166,0.0,0.0,0.0,2.457758319271188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1979,2.4448142622762665,2.4448142622762665,2.483900951763526,0.0,0.0,0.0,2.4578431587720195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2121,2.4449051399632618,2.4449051399632618,2.4839945880237932,0.0,0.0,0.0,2.457934955983439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2262,2.4450016303085436,2.4450016303085436,2.4840940069286015,0.0,0.0,0.0,2.4580324225152297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2403,2.4451043560064027,2.4451043560064027,2.4841998499980207,0.0,0.0,0.0,2.458136187336942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2545,2.445214117272859,2.445214117272859,2.4843129416440686,0.0,0.0,0.0,2.458247058729929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2686,2.445329373629506,2.445329373629506,2.484431694559053,0.0,0.0,0.0,2.4583634806060215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2828,2.4454517657462915,2.4454517657462915,2.484557799091996,0.0,0.0,0.0,2.4584871101948598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2969,2.4455795758833054,2.4455795758833054,2.484689485301547,0.0,0.0,0.0,2.4586162123560524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.311,2.445713650156394,2.445713650156394,2.484827624866709,0.0,0.0,0.0,2.458751641726499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3252,2.445855013026478,2.445855013026478,2.484973273193354,0.0,0.0,0.0,2.458894433082103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3393,2.446001680524196,2.446001680524196,2.4851243860524757,0.0,0.0,0.0,2.459042582366956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3534,2.4461546332554045,2.4461546332554045,2.4852819736603,0.0,0.0,0.0,2.459197080057036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
