energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.096601546430966,2.09748932415285,2.101940098917681,0.0,0.0,0.0,2.0986769898338324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2813
0.0154,2.096602733499811,2.0974905319253936,2.1019413267497757,0.0,0.0,0.0,2.09867819739166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0308,2.0966062947277027,2.097494155264699,2.1019450102686585,0.0,0.0,0.0,2.09868182008702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0462,2.096612230178759,2.097500194235825,2.1019511495420833,0.0,0.0,0.0,2.098687857985556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0616,2.0966205399598365,2.097508648947191,2.1019597446830067,0.0,0.0,0.0,2.098696311196678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.077,2.096631224220543,2.0975195195506067,2.101970795849548,0.0,0.0,0.0,2.098707179873566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0924,2.0966442831532426,2.0975328062412704,2.101984303245052,0.0,0.0,0.0,2.0987204642131885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1078,2.0966597169930736,2.09754850925777,2.102000267118057,0.0,0.0,0.0,2.0987361644563003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1232,2.096677526017952,2.0975666288821007,2.102018687762311,0.0,0.0,0.0,2.0987542808874546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1386,2.0966977105486126,2.0975871654397142,2.102039565516842,0.0,0.0,0.0,2.0987748138350564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.154,2.096720270948597,2.097610119299483,2.1020629007659,0.0,0.0,0.0,2.098797763671327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1694,2.096745207624285,2.097635490873758,2.1020886939390353,0.0,0.0,0.0,2.0988231308123595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1848,2.096772521024932,2.097663280618379,2.1021169455111153,0.0,0.0,0.0,2.0988509157181423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2002,2.0968022116426686,2.0976934890327223,2.1021476560023338,0.0,0.0,0.0,2.098881118892575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2156,2.0968342800125663,2.09772611665968,2.1021808259782535,0.0,0.0,0.0,2.0989137408835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.231,2.0968687267126276,2.0977611640857567,2.1022164560498435,0.0,0.0,0.0,2.0989487822827426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2464,2.096905552363849,2.0977986319410444,2.1022545468735103,0.0,0.0,0.0,2.0989862437261344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2618,2.0969447576302445,2.097838520899302,2.102295099151138,0.0,0.0,0.0,2.099026125893561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2772,2.0969863432188935,2.097880831677967,2.102338113630128,0.0,0.0,0.0,2.099068429508996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2926,2.0970303098799787,2.0979255650381985,2.1023835911034503,0.0,0.0,0.0,2.0991131553405427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.308,2.097076658406818,2.097972721784954,2.1024315324096694,0.0,0.0,0.0,2.0991603042004807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3234,2.0971253896359237,2.0980223027669873,2.1024819384330327,0.0,0.0,0.0,2.0992098769453142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3388,2.097176504447053,2.098074308876921,2.102534810103493,0.0,0.0,0.0,2.0992618744758222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3542,2.097230003763254,2.0981287410513123,2.1025901483967475,0.0,0.0,0.0,2.0993162977371047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3696,2.0972858885509194,2.09818560027069,2.1026479543343535,0.0,0.0,0.0,2.0993731477186546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.385,2.0973441598198477,2.0982448875595994,2.1027082289837447,0.0,0.0,0.0,2.0994324254543972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4004,2.097404818623298,2.098306603986696,2.102770973458293,0.0,0.0,0.0,2.0994941320227625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4158,2.097467866058051,2.098370750664773,2.1028361889174048,0.0,0.0,0.0,2.0995582685467427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4312,2.0975333032644854,2.0984373287508524,2.1029038765665615,0.0,0.0,0.0,2.0996248361939664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4466,2.097601131426629,2.098506339446225,2.1029740376574018,0.0,0.0,0.0,2.0996938361767516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.462,2.0976713517722296,2.098577783996542,2.103046673487812,0.0,0.0,0.0,2.099765269752195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4774,2.0977439655728407,2.098651663691885,2.1031217854019686,0.0,0.0,0.0,2.0998391382222312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4928,2.0978189741438884,2.0987279798668377,2.1031993747904534,0.0,0.0,0.0,2.0999154429337263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5082,2.097896378844751,2.098806733900552,2.103279443090323,0.0,0.0,0.0,2.099994185278542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5236,2.09797618107883,2.0988879272168437,2.10336199178518,0.0,0.0,0.0,2.100075366693618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.539,2.0980583822936456,2.0989715612842748,2.103447022405294,0.0,0.0,0.0,2.1001589886610716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5544,2.0981429839809187,2.0990576376162187,2.103534536527657,0.0,0.0,0.0,2.100245052708265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5698,2.0982299876766555,2.099146157770985,2.1036245357761265,0.0,0.0,0.0,2.1003335604079223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5852,2.098319394961234,2.099237123351871,2.103717021821455,0.0,0.0,0.0,2.1004245133781865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6006,2.0984112074595154,2.099330536007284,2.103811996381461,0.0,0.0,0.0,2.100517913282754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.616,2.0985054268409318,2.099426397430825,2.103909461221081,0.0,0.0,0.0,2.100613761830946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6314,2.098602054819562,2.099524709361395,2.1040094181525113,0.0,0.0,0.0,2.100712060777823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6468,2.0987010931542756,2.0996254735832727,2.104111869035277,0.0,0.0,0.0,2.1008128119242753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6622,2.0988025436488176,2.099728691926269,2.1042168157764047,0.0,0.0,0.0,2.100916017117164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.6776,2.098906408151889,2.0998343662657817,2.1043242603304604,0.0,0.0,0.0,2.101021678249377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.693,2.0990126885573104,2.0999424985229243,2.1044342046997464,0.0,0.0,0.0,2.101129797259994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7084,2.099121386804093,2.100053090664665,2.104546650934357,0.0,0.0,0.0,2.101240376134372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7238,2.099232504876574,2.100166144703901,2.1046616011323533,0.0,0.0,0.0,2.101353416904276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7392,2.0993460448045225,2.100281662699593,2.1047790574398464,0.0,0.0,0.0,2.1014689216479874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7546,2.0994620086632745,2.100399646756908,2.104899022051167,0.0,0.0,0.0,2.10158689249045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7701,2.0995811752721654,2.100520889255408,2.1050223007112443,0.0,0.0,0.0,2.1017081217462725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.7855,2.0997020091762426,2.100643827985718,2.1051473050313882,0.0,0.0,0.0,2.101831047397783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8009,2.099825273526273,2.100769239386229,2.105274824544251,0.0,0.0,0.0,2.1019564458189177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8163,2.0999509705814106,2.1008971257484226,2.1054048616386476,0.0,0.0,0.0,2.102084319322827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8317,2.10007910264701,2.1010274894106207,2.105537418752302,0.0,0.0,0.0,2.1022146702699778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8471,2.1002096720747954,2.1011603327581234,2.105672498371976,0.0,0.0,0.0,2.1023475010682984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8625,2.1003426812629726,2.1012956582233455,2.10581010303365,0.0,0.0,0.0,2.1024828141733227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8779,2.1004781326563835,2.1014334682859825,2.10595023532265,0.0,0.0,0.0,2.1026206120883386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.8933,2.100616028746671,2.101573765473126,2.106092897873833,0.0,0.0,0.0,2.102760897364543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9087,2.1007563720724,2.101716552359436,2.1062380933717284,0.0,0.0,0.0,2.102903672601188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9241,2.1008991652192366,2.1018618315672892,2.1063858245507188,0.0,0.0,0.0,2.103048940445748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9395,2.1010444108200925,2.1020096057669426,2.1065360941951896,0.0,0.0,0.0,2.103196703594075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9549,2.1011921115552887,2.1021598776766766,2.106688905139718,0.0,0.0,0.0,2.103346964790561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9703,2.1013422701527213,2.1023126500629834,2.1068442602692468,0.0,0.0,0.0,2.1034997268283173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.9857,2.1014948893880145,2.1024679257407124,2.107002162519263,0.0,0.0,0.0,2.10365499254933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0011,2.1016499720847164,2.1026257075732366,2.1071626148759592,0.0,0.0,0.0,2.1038127648446374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0165,2.101807521114454,2.10278599847265,2.1073256203764514,0.0,0.0,0.0,2.1039730466545183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0319,2.1019675393970987,2.1029488013999256,2.1074911821089515,0.0,0.0,0.0,2.1041358409686586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0473,2.102130029900969,2.1031141193650877,2.1076593032129636,0.0,0.0,0.0,2.10430115082634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0627,2.102294995643014,2.1032819554274207,2.1078299868794685,0.0,0.0,0.0,2.1044689793166342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0781,2.1024624396889635,2.1034523126956177,2.1080032363511347,0.0,0.0,0.0,2.1046393295785717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.0935,2.102632365153564,2.103625194328009,2.108179054922545,0.0,0.0,0.0,2.1048122048013727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1089,2.1028047752007333,2.1038006035327257,2.1083574459403245,0.0,0.0,0.0,2.104987608224594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1243,2.1029796730437864,2.103978543567905,2.108538412803468,0.0,0.0,0.0,2.1051655431383867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1397,2.1031570619456117,2.1041590177418925,2.108721958963446,0.0,0.0,0.0,2.10534601288365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1551,2.103336945218883,2.1043420294134387,2.108908087924481,0.0,0.0,0.0,2.1055290208522677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1705,2.1035193262262712,2.104527581991905,2.1090968032437623,0.0,0.0,0.0,2.105714570487313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.1859,2.103704208380648,2.1047156789374855,2.1092881085316586,0.0,0.0,0.0,2.105902665283264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2013,2.1038915951452855,2.104906323761396,2.1094820074519554,0.0,0.0,0.0,2.106093308786212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2167,2.104081490034113,2.105099520026119,2.109678503722078,0.0,0.0,0.0,2.1062865045941037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2321,2.104273896611884,2.105295271345595,2.1098776011133378,0.0,0.0,0.0,2.106482256356939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2475,2.1044688184944462,2.1054935813854594,2.1100793034511818,0.0,0.0,0.0,2.1066805677770293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2629,2.104666259348946,2.1056944538632933,2.1102836146154136,0.0,0.0,0.0,2.1068814426092177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2783,2.1048662228940573,2.1058978925488034,2.1104905385404598,0.0,0.0,0.0,2.107084884661107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.2937,2.10506871290023,2.106103901264097,2.1107000792156168,0.0,0.0,0.0,2.1072908977933147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3091,2.1052737331899234,2.1063124838839125,2.110912240685302,0.0,0.0,0.0,2.1074994859197127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3245,2.10548128763784,2.1065236443358404,2.1111270270493283,0.0,0.0,0.0,2.1077106530076697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1.3399,2.105691380171184,2.1067373866006003,2.111344442463155,0.0,0.0,0.0,2.107924403078313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
