energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.2053109083680686,2.186402908205392,2.22337997944396,0.0,0.0,-0.004612176312560846,2.2050312653391404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0142
0.0145,2.205312650407067,2.186404641517811,2.2233817216504006,0.0,0.0,-0.00461218829378466,2.205033004525093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.807928554819,0.0,
0.029,2.2053178765701755,2.1864098415010247,2.2233869483141913,0.0,0.0,-0.004612224237915467,2.2050382221284637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.6166349404683,0.0,
0.0435,2.205326586995711,2.1864185082929177,2.223395659568796,0.0,0.0,-0.004612284146331412,2.205046918285808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.42689702737954,0.0,
0.058,2.2053387819142327,2.186430642123316,2.2234078556366814,0.0,0.0,-0.004612368021329531,2.2050590932247434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.2394927651915,0.0,
0.0726,2.2053545818850306,2.18644636294819,2.2234236570769137,0.0,0.0,-0.004612476693116974,2.2050748673033778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.7435970232733,0.0,
0.0871,2.205373770887933,2.1864654558302465,2.2234428478345123,0.0,0.0,-0.004612608677201754,2.2050940248508972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.5632239564471,0.0,
0.1016,2.2053964456329274,2.1864880169959626,2.2234655246106194,0.0,0.0,-0.004612764640314545,2.20511666241317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.3875246301802,0.0,
0.1161,2.205422606720404,2.1865140470438016,2.223491687984536,0.0,0.0,-0.004612944588437865,2.205142780582914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.2172777090777,0.0,
0.1306,2.2054522548431827,2.186543546664392,2.2235213386247388,0.0,0.0,-0.004613148528475511,2.2051723800441043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899.0532621355364,0.0,
