energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.889179291301783,1.8717504250919084,1.8525500103942094,0.0,0.0,0.0,1.8711599089293003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.616
0.0148,1.8891803041453281,1.8717514128587602,1.8525509629373489,0.0,0.0,0.0,1.8711608933138126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0296,1.8891833426941744,1.8717543761769413,1.8525538205836032,0.0,0.0,0.0,1.8711638464849063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0445,1.889188448111431,1.8717593551900724,1.8525586220446173,0.0,0.0,0.0,1.8711688084487068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0593,1.889195551959678,1.871766283154549,1.8525653029561058,0.0,0.0,0.0,1.8711757126901107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0741,1.8892046817872519,1.8717751869358312,1.8525738892244417,0.0,0.0,0.0,1.8711845859825083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0889,1.8892158377582473,1.8717860666928974,1.8525843810015465,0.0,0.0,0.0,1.8711954284842303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1038,1.8892291160354306,1.8717990162062268,1.8525968687219285,0.0,0.0,0.0,1.8712083336545284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1186,1.8892443386252955,1.871813861887841,1.8526111849859264,0.0,0.0,0.0,1.8712231284996876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1334,1.8892615880714572,1.871830684235837,1.8526274074187334,0.0,0.0,0.0,1.8712398932420093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
