energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,1.9065932212378662,1.9064369962014547,1.9104572816805143,0.0,0.0,0.0,1.9078291663732785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.508000000000001
0.0154,1.9065940329968551,1.906437801580072,1.910458095439738,0.0,0.0,0.0,1.9078299766722218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0308,1.9065964682848775,1.9064402177267654,1.910460536728459,0.0,0.0,0.0,1.907832407580034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0462,1.9066005271351552,1.906444244674069,1.9104646055798526,0.0,0.0,0.0,1.9078364591296921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0615,1.9066061674664898,1.9064498406708426,1.9104702598088097,0.0,0.0,0.0,1.9078420893153805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0769,1.9066134630857074,1.9064570789427928,1.9104775734037258,0.0,0.0,0.0,1.9078493718107419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0923,1.9066223824989574,1.9064659282423428,1.9104865147927574,0.0,0.0,0.0,1.9078582751780193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1077,1.9066329258278973,1.906476388688636,1.9104970840973894,0.0,0.0,0.0,1.9078687995379742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1231,1.9066450932163364,1.9064884604225112,1.9105092814612266,0.0,0.0,0.0,1.907880945033358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1385,1.9066588848302535,1.906502143606521,1.9105231070500084,0.0,0.0,0.0,1.9078947118289278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
