energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.8404282598902153,3.087975068835224,3.054096393025486,0.0,0.0,0.07080151795082473,2.9941665739169747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1355999999999997
0.014,2.8404341755993654,3.087982655452525,3.054103688084813,0.0,0.0,0.07080199185946438,2.9941735063789015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0281,2.840452092500289,3.0880056330685757,3.0541257826476484,0.0,0.0,0.07080342718606825,2.994194502738838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0421,2.8404817577956063,3.088043677594388,3.0541623650487426,0.0,0.0,0.07080580367928217,2.9942292668129125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0562,2.840523597536513,3.0880973356120287,3.0542139608112975,0.0,0.0,0.07080915547064523,2.994278297986613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0702,2.8405770213887944,3.088165850300488,3.0542798421283393,0.0,0.0,0.07081343526900329,2.994340904605874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0843,2.8406427966244063,3.088250206006231,3.054360955417957,0.0,0.0,0.07081870454152103,2.9944179860161984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0983,2.8407199951961273,3.0883492129356505,3.0544561565041946,0.0,0.0,0.07082488894301396,2.9945084548786576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1123,2.8408090470955463,3.0884634230285095,3.054565975977262,0.0,0.0,0.0708320229212479,2.994612815367106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1264,2.840910722494119,3.08859382461764,3.054691364013834,0.0,0.0,0.07084016817604888,2.9947319703751973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1404,2.8410235868259224,3.0887385784697754,3.054830551915921,0.0,0.0,0.07084920978490303,2.9948642390705396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1545,2.841149261064272,3.088899764280836,3.0549855392121037,0.0,0.0,0.07085927760574702,2.99501152151907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1685,2.8412859720483095,3.08907510864067,3.055154139697976,0.0,0.0,0.07087022959083751,2.995171740128985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1825,2.8414345789607305,3.0892657143618147,3.0553374135396782,0.0,0.0,0.07088213457051155,2.995345902287408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1966,2.8415962823947964,3.0894731223315346,3.055536842078239,0.0,0.0,0.0708950887256274,2.9955354156015233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2106,2.8417688008745126,3.089694407246948,3.0557496122702896,0.0,0.0,0.0709089092861669,2.9957376067972503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2247,2.8419546121839385,3.0899327484029904,3.0559787807688834,0.0,0.0,0.07092379474889259,2.9959553804519374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2387,2.8421510947341773,3.09018478424694,3.0562211150664376,0.0,0.0,0.07093953509615969,2.996185664682518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
