energies(eV),real_xx,real_yy,real_zz,real_xy,real_yz,real_xz,real_ave,imag_xx,imag_yy,imag_zz,imag_xy,imag_yz,imag_xz,imag_ave,absorption_xx,absorption_yy,absorption_zz,absorption_xy,absorption_yz,absorption_xz,absorption_ave,band_gap
0.0,2.865669138619865,2.912082416535225,3.1024731326315322,0.0,0.0,0.0,2.9600748959288743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0112000000000005
0.0145,2.865674135604195,2.9120876928814274,3.102479279166689,0.0,0.0,0.0,2.960080369217437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.029,2.865689126862245,2.9121035222505074,3.102497719175751,0.0,0.0,0.0,2.9600967894295014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0435,2.865714113309266,2.9121299056339045,3.1025284538694606,0.0,0.0,0.0,2.9601241576042105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0579,2.865748820969505,2.9121665537795174,3.1025711463818237,0.0,0.0,0.0,2.960162173710282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0724,2.865793734015763,2.9122139779880127,3.102626392471541,0.0,0.0,0.0,2.9602113681584385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0869,2.865848648639393,2.912271963131203,3.1026939416971095,0.0,0.0,0.0,2.960271517822569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1014,2.8659135681953836,2.912340512843495,3.1027737984969592,0.0,0.0,0.0,2.9603426265119466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1159,2.8659884966511546,2.9124196314227757,3.1028659681198065,0.0,0.0,0.0,2.9604246987312455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1304,2.8660734385873723,2.9125093238313133,3.1029704566258753,0.0,0.0,0.0,2.9605177396815203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1449,2.866168399198969,2.9126095956968685,3.1030872708881927,0.0,0.0,0.0,2.9606217552613434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1594,2.8662733842961767,2.9127204533138946,3.103216418594122,0.0,0.0,0.0,2.960736752068064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1738,2.86638757272542,2.912841029764703,3.103356890170667,0.0,0.0,0.0,2.9608618308869303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1883,2.866512557439263,2.9129730073081683,3.1035106458769675,0.0,0.0,0.0,2.9609987368747994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2028,2.866647587719278,2.9131155934412454,3.1036767629201165,0.0,0.0,0.0,2.96114664802688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2173,2.8667926718462753,2.9132687971355358,3.1038552522579783,0.0,0.0,0.0,2.9613055737465963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2318,2.866947818723821,2.9134326280375085,3.1040461256730776,0.0,0.0,0.0,2.9614755241448023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2463,2.867113037880121,2.9136070964706695,3.1042493957751818,0.0,0.0,0.0,2.9616565100419905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2608,2.867288339470023,2.9137922134377807,3.1044650760041947,0.0,0.0,0.0,2.961848542970666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2753,2.867473734277226,2.9139879906232427,3.104693180633058,0.0,0.0,0.0,2.962051635177842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2897,2.8676678508142306,2.914192980026582,3.104932023211097,0.0,0.0,0.0,2.96226428468397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3042,2.8678733971210706,2.914410041701029,3.105184936850787,0.0,0.0,0.0,2.962489458557629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3187,2.86808907270314,2.9146378026659416,3.105450322621874,0.0,0.0,0.0,2.962725732663652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3332,2.8683148908793425,2.9148762773544696,3.1057281981575957,0.0,0.0,0.0,2.962973122130469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3477,2.86855086561018,2.915125480895659,3.10601858194214,0.0,0.0,0.0,2.963231642815993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3622,2.868797011500857,2.9153854291177757,3.106321493314775,0.0,0.0,0.0,2.963501311311136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3767,2.869053343804336,2.9156561385517232,3.106636952474237,0.0,0.0,0.0,2.963782144943432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3912,2.8693198784246654,2.915937626434784,3.1069649804832755,0.0,0.0,0.0,2.9640741617809083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
